,iteration,init_slope,init_intercept,est_intercept,est_slope,ss_res,nrmse,r_squared,aic
0,1.0,0.4510849566508569,6.532324584203936,0.2892144037042542,0.5709997044324895,0.08779820634928052,0.1630976998181302,0.7428181115838886,-26.650370495001145
1,2.0,0.5148685418128043,9.238099483111737,0.28921443023210797,0.570999638224767,0.08779820634931745,0.16309769981816452,0.7428181115837893,-26.650370494998196
2,3.0,0.6882672397420361,1.0403841421710947,0.2892143515222291,0.5710000911806413,0.08779820634929968,0.163097699818148,0.7428181115840686,-26.650370494999613
3,4.0,0.3419099918707562,8.732420803634458,0.28921447174737736,0.5709995337582734,0.08779820634939094,0.16309769981823274,0.7428181115835923,-26.65037049499234
4,5.0,0.054442155159468486,4.153480809193373,0.28921456153656205,0.5709993078595721,0.08779820634961356,0.16309769981843952,0.7428181115829959,-26.650370494974588
5,6.0,0.6641077079008214,7.219496752460121,0.28921436269228873,0.5709998043035378,0.08779820634923922,0.16309769981809183,0.7428181115840002,-26.650370495004438
6,7.0,0.8555614683301934,1.6024610005887039,0.28921452072115955,0.5710002578219796,0.08779820635018512,0.1630976998189704,0.7428181115839361,-26.650370494929025
7,8.0,0.85812734398573,6.8694668692674075,0.2892143261080871,0.5709998922678716,0.0877982063492167,0.16309769981807093,0.742818111584061,-26.650370495006236
8,9.0,0.37755283948086016,1.242383479112871,0.2892144238513457,0.5710001296498264,0.08779820634950784,0.16309769981834132,0.7428181115840491,-26.650370494983022
9,10.0,0.5854703298108642,6.58178379663247,0.28921436792759003,0.5709997911458845,0.08779820634924376,0.16309769981809605,0.7428181115839882,-26.650370495004072
10,11.0,0.35386079480874577,6.334773825616264,0.2892144285217314,0.5709996416594979,0.0877982063493155,0.16309769981816266,0.7428181115837948,-26.65037049499836
11,12.0,0.7699525267225075,2.8022602748947394,0.28921408265497756,0.5709998341985743,0.08779820634980014,0.16309769981861283,0.7428181115840249,-26.650370494959716
12,13.0,0.00899648083576643,0.942579850723288,0.28921426202802303,0.5710000328665263,0.08779820634920757,0.16309769981806244,0.7428181115840851,-26.650370495006964
13,14.0,0.920063695103802,9.784446103549136,0.28921436043400733,0.570999809248903,0.08779820634923766,0.16309769981809039,0.7428181115840046,-26.650370495004562
14,15.0,0.9263779995801644,4.790358847388876,0.28921428774198094,0.5709999824066745,0.0877982063492069,0.16309769981806183,0.7428181115840868,-26.650370495007014
15,16.0,0.5818312147131227,0.566680279171274,0.2892142779518528,0.5710000040053106,0.08779820634920663,0.16309769981806155,0.7428181115840875,-26.65037049500704
16,17.0,0.41748063840961,7.81550957018337,0.28921443617301784,0.5709996235440726,0.08779820634932663,0.16309769981817301,0.7428181115837644,-26.650370494997468
17,18.0,0.361907352156849,9.059744516771682,0.2892144693126554,0.5709995396191161,0.08779820634938644,0.16309769981822858,0.7428181115836046,-26.6503704949927
18,19.0,0.507506948460803,2.00958500354025,0.28921428199016325,0.5709999970271091,0.08779820634920658,0.16309769981806152,0.7428181115840875,-26.65037049500704
19,20.0,0.7822683792379184,7.02559419143867,0.28921433966693766,0.5709998595622919,0.0877982063492236,0.1630976998180773,0.7428181115840424,-26.65037049500568
20,21.0,0.16715807377056835,3.7067045806704284,0.289214456483074,0.570999571936742,0.087798206349362,0.16309769981820588,0.7428181115836701,-26.650370494994647
21,22.0,0.09962542072686098,9.490453323290309,0.28921456833671866,0.570999287158338,0.0877982063496397,0.1630976998184638,0.7428181115829298,-26.650370494972506
22,23.0,0.7653604723837093,9.011711217850085,0.2892143726410147,0.5709997782359639,0.08779820634924868,0.16309769981810063,0.7428181115839754,-26.65037049500368
23,24.0,0.5097009207749756,7.620440978682162,0.289214404032611,0.5709997019051464,0.0877982063492821,0.16309769981813166,0.742818111583885,-26.65037049500102
