,social_skill,attn_switch,img,attn_to_det,comm,posAffect,negAffect,neuroticism,extraversion,openness,agreeableness,conscientiousness,loneliness,nfriends
0,0.1905112957900739,0.170463276542422,0.1145632139053203,0.3219108011587503,-0.5675237533039839,-0.0458165653819357,0.1299940998745543,-0.0503930622887466,-0.0671759346841236,-0.1618912991618798,0.0111234108258301,-0.0633332823471466,-0.3082466291416433,0.1599673521198475
1,-0.2486414694744817,0.0115210283893536,-0.0907211371475194,0.146410071950874,-0.1758657188188974,-0.4031024442611793,0.1666814924074543,-0.2568183248602911,-0.1994439806604347,-0.2557429845359869,-0.2121565069281024,-0.0117787580503573,-0.0516737840469911,0.2054509707241568
2,-0.1146859699876154,0.1043671908824761,0.1510806134405198,-0.0081675765019353,0.0724469340370713,0.117401147981803,0.0189697546506078,0.079609476860435,-0.525475637828001,-0.2731183921305264,-0.0060657218630952,-0.1074067812253487,-0.4637285443241533,0.1146771742214263
3,-0.2981346961090662,0.1861196904146337,-0.0803914813863217,0.2578711295812179,0.0973018994568674,-0.2483649531275922,0.1107068604381481,-0.1569167655365554,-0.2819163811075992,-0.0796806441368836,-0.1281732767938042,-0.0720758181096421,-0.5821572488137852,-0.1709358094513575
4,-0.2182133025354104,0.5920299317064315,-0.0347385095210563,-0.0991080573435043,0.2178119287859363,-0.2804532660052055,-0.0243041402606874,-0.1028074300952853,0.2524357169129578,0.1906980002426867,0.0584306661768683,0.204884066213566,-0.1946276897746794,-0.1645849780532469
5,-0.1634937455052388,0.3222033455189518,-0.1041779741261716,0.2978137127105114,-0.2248334134452813,0.0582711656289499,0.2081596415122913,0.0329413377333694,-0.2659479968320841,-0.3860961767543753,-0.2625868676584451,0.0810548180238791,-0.6035147488167405,0.2453798538757968
6,-0.412435913623952,0.1100624618301455,-0.1424607760272604,0.1572001540280406,0.2322062642049158,-0.1781991998438572,0.2038539190029933,0.0970535363748626,-0.6069521223341501,-0.0964436615904449,-0.3547099665073348,0.3014763999546315,-0.5292408318777353,0.179355546741939
7,-0.1702338745198655,-0.0607449460853614,0.1565878199880188,0.0845038998611819,-0.1200601485604933,0.2918431990852891,0.2713715414810119,-0.0736865934477179,-0.6246384682543817,-0.1648883868997828,-0.0737204614519648,-0.0555963743234154,-0.463484273851006,0.1170461396377934
8,0.3427610828445322,0.1463254534731663,-0.2022445959575603,0.2644502076686207,-0.2325477664969048,-0.5923469678962725,-0.0350507627285786,0.017952994894839,0.0133198538539792,-0.3593283296930417,-0.2517836892908847,0.028674620104315,-0.675259325906124,0.0968198997184931
9,-0.1471079757118563,-0.2781024367497688,0.0515340193112519,0.0033820692248769,0.0471764538248071,0.2273638610001928,0.0221434033988648,0.2721839198846882,-0.4067576256417118,0.0569531699597534,0.0944380592646624,-0.1327047122415967,-0.1499683797589428,0.1656612378250045
10,0.4219045701664806,0.0069695759270819,0.062623387058969,0.0273903408186111,-0.2328572356023769,-0.0282712243021566,0.2682385139905235,-0.0954749502034935,-0.0308446043187326,-0.1462064217195209,-0.1631834393940023,0.0639891952863838,-0.3833628884350454,0.1808094275050846
11,-0.0169590688222723,-0.1566869714783018,-0.2042538092814825,0.2779598884176071,-0.0849496438995346,-0.2447870916215599,0.1366274864368274,-0.0662666281608328,-0.2680871701987066,-0.3740270943047085,-0.2127163340681996,-0.0725348981419589,-0.3148790658280689,0.1255208810438302
12,0.3899636260222203,-0.1166125479692678,-0.03762071399798,0.2283647650205086,-0.1929910949634198,-0.1100137491350954,0.3766989658882203,-0.057880485149412,-0.0296631254780784,-0.2320100723307444,-0.2876773193021392,0.0426269589297508,-0.6556027296536097,0.1406089346563803
13,-0.1088689749354563,-0.0916805639527799,-0.1546479622051159,0.2205701482722454,0.0738452290195714,-0.4001815390928801,-0.0094479490715633,-0.2344814329339339,-0.2105364560169078,-0.2978052713413881,-0.2852089102353943,-0.0628259958695982,-0.4106579782340784,0.223408688506191
14,0.143902470153698,0.3552010928962513,-0.0168652797376024,0.2295628871915442,-0.3314162555800881,-0.3417349780630083,0.3900009503933309,-0.38176514899965,0.4107229823057534,-0.1171910433993988,-0.204367416232905,0.0666142724178091,-0.0857176502395143,0.1175979882434537
15,0.1890621240258607,0.1805899228889809,-0.1391668597129608,0.1436840725755185,0.0528558280076271,-0.2228377819535943,-0.0549352982065083,-0.1776785594831451,0.0288691186887156,-0.2964241342466171,-0.2569225797726145,-0.3221127450373987,-0.479802063877902,0.3169169707065154
16,-0.2008819286858755,-0.1141277778554085,-0.0013278516168703,0.1420731840749501,0.3743073339175939,0.0944318892685899,-0.0329453266119075,0.2804378497652901,-0.5808483826599322,0.0329866238627016,-0.1456891005664127,0.186158623571526,-0.5338600303901961,0.142243025577077
17,-0.1721898063596374,0.1155608206437392,-0.0734488632674277,0.2184106807983568,-0.2084748031660663,-0.1996057860633869,0.2427234401554046,-0.200860522983823,-0.3821764461939814,-0.3216434617871773,-0.1053126095468449,0.1627725992967365,-0.3547323713884884,0.114855527902719
18,-0.4781792683644674,0.1191096343123279,-0.1153888078642453,0.2118564289708909,0.2343907177988238,-0.1566188432789845,-0.1271945693239106,0.2160940051070999,-0.3251882142635015,-0.3691290526748143,-0.0865663970082881,-0.0006320537516057,-0.5700376362531392,0.0505978021816448
19,0.2185076038361539,0.0414140496776627,-0.1127937364446568,0.0160069780324968,-0.4572319973555286,0.0011745236607314,0.3660038793709046,0.24113644375761,-0.0125969828673084,-0.3740257704615569,-0.3455652138644386,0.2638197390650307,-0.201140981313518,0.4098911212136842
20,0.1749605168314871,0.1382620337832867,0.1078593044316239,0.192310862279862,-0.4622938817339094,-0.0280224923250648,0.2852462474569215,0.0829780415355845,0.0751335545461444,-0.2420677848853141,-0.1100272286099247,-0.1165863777367954,-0.2605657510875006,0.3315884074018245
21,-0.0934664579681508,0.0894902511459571,-0.2603438270771137,0.2715595518702908,-0.135130677856075,-0.4030813010266083,0.1786071923151198,-0.1430247333247976,-0.0283526789315806,-0.4451801171862056,-0.3743743626539758,-0.0802439233265547,-0.2990190313955787,0.2129187851075064
22,-0.097972694324886,0.2856438546757593,0.145596922546716,0.1081179693642375,-0.385991153513388,-0.1784801247405738,0.2706714352283205,0.0590348145318555,-0.1308161618207457,-0.036210126527265,-0.3720575017099968,0.1403806090976705,-0.4091072983093443,-0.0521560006954194
23,0.1338050582278532,-0.2689661391480563,-0.0152354993589057,0.1243073890008967,-0.1661707850255626,-0.1581474766805854,0.1914807746893715,0.0305288322362355,-0.2834000099064616,-0.1882847992193723,-0.2088013855783646,-0.0175475936095691,-0.5280460162391317,0.0592132366050286
24,-0.0470805255185919,0.4239794910389135,-0.1327286851620681,0.3602476820746373,-0.4694760387671517,-0.2138164610017279,0.2069392401454853,-0.4411201300188677,-0.0397977551116945,-0.2045148174433808,-0.1473733080047546,-0.0301131355715039,-0.0521527671222917,0.3105711417920507
25,0.1743078818903419,0.0416897050626116,-0.1341367852661232,0.3532598678596462,0.0455028718347866,-0.3361822048680327,0.185811660078304,0.2146406055664846,-0.2275863311081012,-0.3064690694273208,-0.2516854226410649,0.0548465620611664,-0.934182932340864,0.1171823669819886
26,0.1586989784607942,0.3657598682807405,-0.1755011456993697,0.162011419333334,-0.2388843010518763,0.0627389291760713,0.1107694706407502,0.3016830892833692,-0.001704843227953,-0.4545671503827744,-0.1726306585909265,0.1375239044549923,-0.6536088620188916,-0.0002595107034966
27,0.1401076590724909,-0.2116873881071108,0.0750206338231041,0.114370954692728,-0.1423025168548507,-0.3070251068897736,0.0918067880603791,0.2777942806681364,-0.0254160790333475,-0.3735661565669347,-0.0818662306631475,-0.1464808045738486,-0.5521972599336528,0.0958155834822711
28,0.3087404062335936,-0.0143903642990146,0.0983338782932367,0.1121583006944127,-0.6303624061641764,-0.0716649149895608,0.3402021082440031,-0.2441695303494331,-0.1122283107070372,-0.2107820123202341,-0.2532063680846262,-0.2620168416550555,-0.4333089501995396,0.1877745373020012
29,-0.8653764700334332,-0.2894479652118181,0.138523653554653,-0.0497855104050225,0.2631441698137825,-0.2837031763696311,0.3159187221443011,-0.0713089478620904,-0.7878652790888454,-0.4160430487176867,0.0013525466828395,0.0326977205643969,-0.3513101954203502,0.0223713140212854
30,0.115988514962774,0.0821068175618787,0.0597469695261132,0.0566231275169316,-0.4611094901251791,-0.017885104885494,-0.0382472766881099,-0.0343871504503336,-0.417554371938004,-0.1401875373320976,-0.2169735478279632,-0.1107887989940221,-0.4834113590241171,-0.0024478259024764
31,0.5126103774746266,0.0701326987154197,-0.2061401066841841,0.1747625326782996,-0.3690722838993417,-0.2767853368977904,0.1844343460360397,-0.2271691503741334,0.0031902612149487,-0.2393832129454445,-0.3584190487620677,0.0430783557426075,-0.6057044504834492,0.1597188332606257
32,-0.0910231961812564,0.1982757897586319,-0.2044582391713743,0.2756503499548978,0.0808336112166827,-0.0198287488340387,0.145692148920082,-0.0449390902450138,-0.3622009164738096,-0.0571069895448018,-0.0852334756736042,0.1412075886284034,-0.2312487802610782,0.2017178109987973
