,condition,subtlety,pred_startpos,pred_color,prey_startpos,prey_color,preyMimic_startpos,preyMimic_color,sceneKeys,metadata_flname,pred_clipID,prey_clipID,preyMimic_clipID,reps
21,chase,30,550,grey,250,black,,,PredatorPrey_subtlety_30_pos550_col13421772,0b80e3d6-cded-42b9-b7ff-67c9cdbcb3c5,eeb9403f-c8c6-4e6e-a2e0-114253b4606e,2e615b20-5b61-4e4e-a28b-22fa399bd082,,0
22,chase,30,550,grey,250,black,,,PredatorPrey_subtlety_30_pos550_col13421772,57dbdc86-9c49-4214-a908-c4a254e90229,60069268-692e-484e-bea9-846ccb353aac,fb9d5162-0f87-47ce-8907-0958f046bfc0,,1
23,chase,30,550,grey,250,black,,,PredatorPrey_subtlety_30_pos550_col13421772,9093ecfa-6a76-4110-b88c-dd9330281781,dad9fe66-39cb-4be4-ae8d-cd1bfecb3ccf,7b48eded-9b4a-44b4-a036-e6585aac1f3c,,2
24,chase,60,250,black,550,grey,,,PredatorPrey_subtlety_60_pos250_col0,249089b6-ef6d-4ddb-973d-6d7b9d53baf8,45bc367e-af18-4045-ad88-63724203b0d9,5b53e544-17c0-4920-bca0-6cab93a73899,,0
25,chase,60,250,black,550,grey,,,PredatorPrey_subtlety_60_pos250_col0,35fbacfe-f7fd-45d5-9266-5f6631809d11,12bfcd77-9582-4455-afe1-858b50c95b99,dffffbcb-fcf8-4fe2-a365-b4ebad1b6cb9,,1
26,chase,60,250,black,550,grey,,,PredatorPrey_subtlety_60_pos250_col0,804f9681-f112-463c-a764-a40a823d6845,5225e3ed-3f5d-4c29-a360-f78ee61f678b,cfef9c98-9c70-42d1-9e0f-183313c26fbb,,2
27,chase,60,250,grey,550,black,,,PredatorPrey_subtlety_60_pos250_col13421772,7b3797d6-d4cc-4819-b3ad-adfd144217e2,962048de-75e9-491e-b8cc-add8eebf020f,e8c2f6e8-6c0a-4407-8460-ff3833e853a0,,0
28,chase,60,250,grey,550,black,,,PredatorPrey_subtlety_60_pos250_col13421772,91659665-5079-44c4-96c1-49da784170fa,0bf21131-6bc2-44c0-b4a1-657f351466ea,bbc80910-2e45-4ab8-be68-a0c81931430c,,1
29,chase,60,250,grey,550,black,,,PredatorPrey_subtlety_60_pos250_col13421772,adf2a5c5-86f0-4a90-976a-f3fdfdf528fc,402fb409-9ecc-4ca0-8a23-19f01399c7d4,c12875ed-db7c-4c8f-8b7e-f41ccaadf46f,,2
30,chase,60,550,black,250,grey,,,PredatorPrey_subtlety_60_pos550_col0,85aa46c9-fe72-469c-a4cd-96f72ab4ccba,3802f79f-5690-4a3a-b61f-6284692fa661,4a77a3db-171e-4bef-9c21-713fc0a6142e,,0
31,chase,60,550,black,250,grey,,,PredatorPrey_subtlety_60_pos550_col0,8d9b8961-4fb1-4413-b875-966e01b9963a,0c141264-b622-4225-9f62-6628bd45580a,0acbc296-743b-4773-a257-2e230756533c,,1
32,chase,60,550,black,250,grey,,,PredatorPrey_subtlety_60_pos550_col0,cca827ad-af9d-4cfd-ae71-7e028e3f8520,2414d9db-fe41-438a-9100-6c9c15d6e942,fc98f2eb-57c9-491a-a506-706f7c639574,,2
33,chase,60,550,grey,250,black,,,PredatorPrey_subtlety_60_pos550_col13421772,3273fde2-4b65-4cc7-b9b3-ef2604e8a514,92f4cb80-0609-42e8-a9de-7c4ebeb7c6de,88ec02d2-fa47-48e1-985f-9228c63662e0,,0
34,chase,60,550,grey,250,black,,,PredatorPrey_subtlety_60_pos550_col13421772,8bb5c4ad-b420-47c6-8e6a-c74a127a30ce,d15d5855-d298-416b-90e0-57cc39abdebb,93a48e9e-fb32-4c29-80bc-a7fbad8782bc,,1
35,chase,60,550,grey,250,black,,,PredatorPrey_subtlety_60_pos550_col13421772,a7fd07d1-e946-43a4-882d-0b3b7882ed21,39bc20be-ebe6-4ae9-a15d-9e63e955c509,61292fef-b653-4440-a282-ec4191c50009,,2
36,chase,90,250,black,550,grey,,,PredatorPrey_subtlety_90_pos250_col0,22162d51-e2bc-4fd2-af29-7d21f36eca1d,851899fb-3d92-4073-8e7e-f57519951d96,ac0b1911-61d8-4664-8a2c-a91d0449bddc,,0
37,chase,90,250,black,550,grey,,,PredatorPrey_subtlety_90_pos250_col0,42ffed3d-edac-4ca7-9b33-6f525cb7c364,d724b38c-b930-4c50-ba50-031a41e8d248,bc7584cf-f986-4d95-829d-9bc35466bf90,,1
38,chase,90,250,black,550,grey,,,PredatorPrey_subtlety_90_pos250_col0,68c0fec8-cf83-48bf-8079-a5f414fe7504,2b7a7e25-858b-4c04-bf8c-1233a1625956,e02b07d3-d789-4b9e-ac04-6420997a6a98,,2
39,chase,90,250,grey,550,black,,,PredatorPrey_subtlety_90_pos250_col13421772,06f1dd04-cfbc-433c-9833-32cdb01c0683,2e1f98b2-1a90-4b9b-ab56-0819ad9a54cd,e10030d4-832b-43aa-b21f-9b9864350054,,0
40,chase,90,250,grey,550,black,,,PredatorPrey_subtlety_90_pos250_col13421772,1841b8a9-ff1d-481d-80de-2134f2461e8b,36e3ba50-cf3e-431d-9dab-8a5d6cde086c,22a6fe46-275d-4819-ab7c-14c591881f09,,1
41,chase,90,250,grey,550,black,,,PredatorPrey_subtlety_90_pos250_col13421772,a8c7fb1b-9db5-4f8f-a05c-2ea241668e0f,60e3bd69-ef41-4413-92c5-948b7fcdc531,d9ee86a1-a3cf-415c-8175-17de626df2ab,,2
42,chase,90,550,black,250,grey,,,PredatorPrey_subtlety_90_pos550_col0,16088d09-c11d-4b03-8c77-f92a33554c1e,a1115ec8-915f-4769-bf97-c704d22a9a3f,bbba1c74-cd56-4be1-b386-0c35d8d17bbf,,0
43,chase,90,550,black,250,grey,,,PredatorPrey_subtlety_90_pos550_col0,1d4805c2-68cf-415b-af2f-f7c0564b59aa,c2ee5b18-8cd2-416f-acbe-e84bce815bf5,ee488afb-b9ef-4222-b7c4-abe0dcbcb909,,1
44,chase,90,550,black,250,grey,,,PredatorPrey_subtlety_90_pos550_col0,89ce6bb6-b2cb-44cb-ba57-d78ab0224625,5e50a97c-3de4-4c45-9d0d-556e2848bfcb,b2d77441-9824-44c3-a5d4-d90d9470d5f0,,2
45,chase,90,550,grey,250,black,,,PredatorPrey_subtlety_90_pos550_col13421772,7d6cad69-203a-49a4-9c6e-b0423a669e50,0f54f46a-8560-401a-a20c-a90a01971c16,c5ab4255-788c-4bee-89d6-b20193587c80,,0
46,chase,90,550,grey,250,black,,,PredatorPrey_subtlety_90_pos550_col13421772,c7f85153-52e8-4379-839f-9596d6a3ee62,d3cc9aef-09f4-482d-8105-38a83e952194,fbc0454e-27c8-4857-b9a9-39be66b2c6bf,,1
47,chase,90,550,grey,250,black,,,PredatorPrey_subtlety_90_pos550_col13421772,ceedd529-39a5-4c29-8103-d6ac89521de6,3eef92ff-d7ff-4e7e-b04a-19369b331c9d,38e919a3-4492-4bb2-bfd7-72f4d50c495c,,2
48,chase,120,250,black,550,grey,,,PredatorPrey_subtlety_120_pos250_col0,5d84c995-f49b-42d0-bf89-eb7f4bfcb1d4,e6446b77-b2ab-4204-a733-d7ad8ca8be8c,67a0e4ed-ddaa-47d9-90d6-cdb2968b2f99,,0
49,chase,120,250,black,550,grey,,,PredatorPrey_subtlety_120_pos250_col0,7da9ad01-3df5-45e9-8edf-4af0795536e1,6a1aaaeb-058b-4a9f-af07-9a5c1908caf3,f63c24ec-d497-4b2f-a1fd-6ee71a4bde15,,1
50,chase,120,250,black,550,grey,,,PredatorPrey_subtlety_120_pos250_col0,94a4e86e-f727-4ed5-85c3-c9ab9c1c8e73,c94b676a-0154-4d9b-aea4-f044cb399a51,fa7d8bc4-a854-4f0a-99b7-edeb400b4fbb,,2
51,chase,120,250,grey,550,black,,,PredatorPrey_subtlety_120_pos250_col13421772,1bc0b0c8-e058-4a68-bdab-65b544a8848d,ee631d1a-f736-43f7-8203-cf808e361e3e,6741d0e8-aa41-476f-bb23-ffba395dd274,,0
52,chase,120,250,grey,550,black,,,PredatorPrey_subtlety_120_pos250_col13421772,87b8564c-7590-4001-b1e8-6f26c4e4bf8a,62a48c5a-4f69-48c5-84b7-134627ffb9a6,dfe59e2d-417d-49a2-b577-c42943f81ac0,,1
53,chase,120,250,grey,550,black,,,PredatorPrey_subtlety_120_pos250_col13421772,9996b324-9da6-4bd7-a5d5-305513d257ce,fd8bc1d6-d80b-4e7b-b5e7-812d8a4bc990,0a211df2-ec52-453e-a441-33f2174eb9fa,,2
54,chase,120,550,black,250,grey,,,PredatorPrey_subtlety_120_pos550_col0,3d2cbd5f-05d3-4457-8c01-5b302d4c5de7,01668adb-86a0-49d6-8616-44e2217be8ae,78092ada-715e-4ba4-a2e6-3356d68c16ed,,0
55,chase,120,550,black,250,grey,,,PredatorPrey_subtlety_120_pos550_col0,6480385b-e9eb-45a9-88e3-aade6c90476d,9e1c68de-ea73-498a-aea5-ca21c1dae17b,5aeaa7b9-8bbf-4c8a-a81c-90c25a27e6ca,,1
56,chase,120,550,black,250,grey,,,PredatorPrey_subtlety_120_pos550_col0,987cd79f-7d6a-426b-8983-8bee8675f0ba,252edab5-d9ae-4a24-b5cd-eeb6dfec457f,c8a6d10a-81fa-4223-a087-1665bb8dd4dd,,2
57,chase,120,550,grey,250,black,,,PredatorPrey_subtlety_120_pos550_col13421772,5d69d5c8-83dd-43c4-be85-f1c2ff45960d,2d078c52-d6f5-4e71-b0a2-9d79bc3a1e4a,fd5f310b-ece2-4930-aebf-794234cf4c8f,,0
58,chase,120,550,grey,250,black,,,PredatorPrey_subtlety_120_pos550_col13421772,a68cb7dc-2812-45a9-b8f6-862ff43630fb,beb88a62-8047-409a-836c-ecdd6f42af21,619bc5bb-4a3c-41a9-bd8c-2e8623393845,,1
59,chase,120,550,grey,250,black,,,PredatorPrey_subtlety_120_pos550_col13421772,b7261f19-79df-4505-b935-0cb890ebda9c,eea24f81-abd9-45a5-844f-3e4b5eb60f2e,49c94398-f9a1-4743-8db1-4f4278aed909,,2
60,chase,150,250,black,550,grey,,,PredatorPrey_subtlety_150_pos250_col0,1247c2a3-9c1a-478d-ad2b-6640715d76a4,1b9ca865-15d1-48ab-bf8b-b09a995438d8,535142f9-172a-46e0-bcd9-69a233d63e3d,,0
61,chase,150,250,black,550,grey,,,PredatorPrey_subtlety_150_pos250_col0,2a1ab94f-201b-4fa2-9947-1eab7365fb0f,ddf1cf7d-61bf-40f3-b32f-5f88b16c9a90,8ae88171-12d5-4e8a-b714-b4cd2462bad5,,1
62,chase,150,250,black,550,grey,,,PredatorPrey_subtlety_150_pos250_col0,7e113c5d-92b4-4c01-9588-dae0fb76eb5f,aded9ff7-4c60-4ccb-b89b-457429a5dc9d,c28c9aa8-a142-4abd-b395-f1682931c74c,,2
63,chase,150,250,grey,550,black,,,PredatorPrey_subtlety_150_pos250_col13421772,18487641-212a-4e1e-8730-31709d721382,898a7f53-448c-40e8-a747-f9640e2d9650,fa74d9ad-063f-4930-9ac2-74df13270df4,,0
64,chase,150,250,grey,550,black,,,PredatorPrey_subtlety_150_pos250_col13421772,275adee0-f228-423e-816a-e5e70b874bf3,8afaccbe-b6fe-4f22-a242-8ad77a0e1522,a3e713d4-a92f-4542-967e-bb658ed08b16,,1
65,chase,150,250,grey,550,black,,,PredatorPrey_subtlety_150_pos250_col13421772,9c46112a-3307-42b7-8386-bdf38ba679af,226c7c7f-295c-4e5e-8e48-73b75bf4afca,64c7f334-42ee-4b2a-b121-c9229d29ae86,,2
66,chase,150,550,black,250,grey,,,PredatorPrey_subtlety_150_pos550_col0,14f7fa8d-a7a5-4171-bdbf-8a076fb08d9c,d8b54512-87a8-41bb-96f9-a0788810b935,67d66ea9-7dd8-4336-ba9e-73696be192ce,,0
67,chase,150,550,black,250,grey,,,PredatorPrey_subtlety_150_pos550_col0,4cd79935-2124-4c73-9bff-ce0554f08119,b1b82358-975d-408d-ac53-fd49c1c1a81d,4d755746-fa3f-4294-8812-ae7ae79fa494,,1
68,chase,150,550,black,250,grey,,,PredatorPrey_subtlety_150_pos550_col0,5744f837-93bf-4eba-bddf-e630dedf974e,555dde6a-4eaa-4270-979f-3bfbc0753ee5,da2745ec-3063-4db9-96d6-8f7736fc7e8f,,2
69,chase,150,550,grey,250,black,,,PredatorPrey_subtlety_150_pos550_col13421772,10a07293-2c74-4b8a-bbef-b0f436cde5fb,d5c05e70-a3ef-4574-bd95-1cca5beb962b,d334bad5-68b4-45b0-80d3-bed606ab7d14,,0
70,chase,150,550,grey,250,black,,,PredatorPrey_subtlety_150_pos550_col13421772,4270e833-4dad-483f-85cb-3dee1fccc571,e0dab3da-ddc2-4920-9f5a-b93a497e3e26,ec0da91f-cb57-434a-a91e-96f0cde96bb3,,1
71,chase,150,550,grey,250,black,,,PredatorPrey_subtlety_150_pos550_col13421772,99fed5db-be9d-4d5f-8fef-1baaad5f1b70,7112c97a-71a9-4c49-80ab-9e9b7c690745,6e9c8e57-c126-44ef-b95a-6e07d0cb3528,,2
72,mimic,0,250,black,632,yellow,550,grey,"PredatorPreyMimic_mimic_0_preyPos632, 580_mimicPos550, 300",65ae3786-93f4-4878-bcfe-7cee118774dc,f7bb0853-40de-4e93-858e-d9bf7fd46011,58456ee0-9927-4fc6-ae39-f530e168046d,871596a6-9f3a-4207-aada-4fb70564308c,0
73,mimic,0,250,black,609,yellow,550,grey,"PredatorPreyMimic_mimic_0_preyPos609, 354_mimicPos550, 300",a0f0c207-c5ff-40e5-a612-66cc47e3aca2,4b8483ee-29da-4bbe-8cb4-4fbdb07d687b,68454232-b25f-4802-ac05-f6b4bd215ec3,3047f1e9-24e5-4e77-b747-65a2b02bfda0,1
74,mimic,0,250,black,726,yellow,550,grey,"PredatorPreyMimic_mimic_0_preyPos726, 439_mimicPos550, 300",d9b1d24b-8e48-46f4-a110-6e0eaa636dd5,9702f2a4-3bd5-4e0b-b5bc-0c19416cbb86,d7d082df-5bdb-47af-92ee-21d68416473f,c21216f8-0e88-4f74-981b-c2716652a583,2
75,mimic,0,250,grey,750,yellow,550,black,"PredatorPreyMimic_mimic_0_preyPos750, 217_mimicPos550, 300",00efb6ff-56f7-4917-9518-d8ff1ed4d352,b34b0367-0352-4d86-ab3c-638055c84fd7,dc959e8a-6529-4c88-9f39-3211f0b8bf4e,62870a31-67f8-4853-9ada-d0fa0e0b7acf,0
76,mimic,0,250,grey,503,yellow,550,black,"PredatorPreyMimic_mimic_0_preyPos503, 102_mimicPos550, 300",1133544c-e02a-40fa-8f0e-321e09bfaf18,00d3a6f8-2dca-4979-b57c-eb4208eb0583,8bb9399e-c5e1-4fee-9c76-db0d005e8e91,83860010-c0c0-4170-ad2c-86831119de5c,1
77,mimic,0,250,grey,768,yellow,550,black,"PredatorPreyMimic_mimic_0_preyPos768, 67_mimicPos550, 300",1b715dd0-d113-4da2-bf60-7a9f9abdbe20,b3eb4feb-a59f-4212-92f4-1252fc6e97ee,aaed94f1-c105-4865-9cf9-8d5b7f897de3,f4b39a05-23e2-491c-a2ef-dab18aa1d13f,2
78,mimic,0,550,black,54,yellow,250,grey,"PredatorPreyMimic_mimic_0_preyPos54, 186_mimicPos250, 300",5de53504-97fe-436b-ba5c-5bfff70f79fe,b29bcdf5-49ab-4b18-ad3e-a54693c05ee5,cc307b17-849e-409b-8a01-68ddea83e8a4,659cd720-542d-435a-844d-3249b61952b1,0
79,mimic,0,550,black,293,yellow,250,grey,"PredatorPreyMimic_mimic_0_preyPos293, 287_mimicPos250, 300",64673679-e709-4919-9505-54ee39e19ae5,28f033b4-a911-4024-9d63-f44cf0db468d,d68a9490-54f7-43c4-ae91-766a17a4622f,338c917d-0cd4-47c1-873a-687046d1b7b1,1
80,mimic,0,550,black,606,yellow,250,grey,"PredatorPreyMimic_mimic_0_preyPos606, 142_mimicPos250, 300",a95096ac-e30b-4f2f-a457-133bcf21a9ec,4a99e7eb-4132-4e68-873a-b183c5a5f51b,61fc0669-a077-4e3b-abb7-de7f1fe3b786,5ef6ea80-579b-4f22-b49c-359bd4751a3b,2
81,mimic,0,550,grey,160,yellow,250,black,"PredatorPreyMimic_mimic_0_preyPos160, 331_mimicPos250, 300",1046d4b0-4bd4-4ae8-a4f2-949e08b5aa4a,a53921a5-2676-4f2e-b541-93e7e7df7583,110fff16-8c10-44bd-9769-642ed73af3da,fb57a11d-1638-4ba6-9c3a-a8cf64a3d539,0
