,iteration,init_sigma,init_center,est_sigma,est_center,ss_res,nrmse,r_squared,aic
0,1.0,0.4777619243085781,2.9558482069725978,0.11225582186374014,0.621915379186397,0.07785704281971578,0.10546295410489329,0.9309590140973137,-27.491537471203106
1,2.0,0.8372699620759821,4.3984820761594,0.11225615413500249,0.6219148983792764,0.07785704282180075,0.1054629541063054,0.9309587843017572,-27.49153747101565
2,3.0,0.44564487010253595,2.376423420517545,0.11225596097855614,0.6219154229155297,0.07785704281949425,0.10546295410474324,0.9309590298569617,-27.491537471223026
3,4.0,0.5232149393765534,1.7296539662566741,0.0,0.6289737538933677,0.4321904485411525,0.2484783544873398,0.559856101243054,-15.493593586851997
4,5.0,0.15243759124597944,9.993154269204174,0.15243759124597944,9.993154269204174,2.3044796051676584,0.5737694416460398,-2.220446049250313e-16,-3.7773868614346435
5,6.0,0.7142156717630151,7.159608871397486,0.11225588039313192,0.6219155838812519,0.07785704281978645,0.10546295410494116,0.9309591058575752,-27.491537471196754
6,7.0,0.34858930242979524,5.261449817320542,0.0,0.570669044901312,0.4321904485411525,0.2484783544873398,0.559856101243054,-15.493593586851997
7,8.0,0.1177549604709246,8.706167626512418,0.1177549604709246,8.706167626512418,2.3044796051676584,0.5737694416460398,-2.220446049250313e-16,-3.7773868614346435
8,9.0,0.02720628373212608,1.0431755719396711,0.1122558912925804,0.6219154078946338,0.07785704281953357,0.10546295410476991,0.9309590251083815,-27.491537471219488
9,10.0,0.2981496849390416,5.587604992048404,0.29818845392708193,5.587602505148814,2.304478870409001,0.5737693501759098,3.265639053617875e-07,-3.777389093310078
10,11.0,0.5363099086369666,0.008290737877859097,0.11225593952746211,0.6219153941838715,0.07785704281949209,0.10546295410474178,0.9309590173789796,-27.491537471223218
11,12.0,0.9404862787819646,3.696151320093366,0.11225589516917817,0.6219153031333736,0.07785704281963986,0.10546295410484188,0.9309589771191921,-27.491537471209934
12,13.0,0.9574974946117267,1.8984410933178613,0.0,0.7128512880719777,0.3815880389025983,0.233479285989326,0.7696267456937722,-16.365266834846075
13,14.0,0.01369411370776541,8.969849472613587,0.01369411370776541,8.969849472613587,2.3044796051676584,0.5737694416460398,-2.220446049250313e-16,-3.7773868614346435
14,15.0,0.032707943208601375,4.362196464285809,0.032707943208601375,4.362196464285809,2.3044796051676584,0.5737694416460398,-2.220446049250313e-16,-3.7773868614346435
15,16.0,0.7893958972235341,4.394414900988742,0.11225594189231515,0.6219154017636542,0.07785704281949035,0.10546295410474062,0.9309590207708329,-27.491537471223374
16,17.0,0.7175471387522805,4.19482556930286,0.11225595141464284,0.6219154016907082,0.07785704281948902,0.10546295410473971,0.9309590204484431,-27.491537471223495
17,18.0,0.1976990505774986,5.00060018093989,0.1976990505774986,5.00060018093989,2.3044796002512316,0.5737694410339937,2.4840978163354066e-09,-3.7773868763685954
18,19.0,0.5205321083246262,6.061451105720557,0.0,0.7199714582467318,0.3815880389025983,0.233479285989326,0.7696267456937722,-16.365266834846075
19,20.0,0.8429998437871518,8.08319014696635,0.0,0.704908173605524,0.3815880389025983,0.233479285989326,0.7696267456937722,-16.365266834846075
20,21.0,0.6423016708129117,2.8962600128133333,0.1122560058264719,0.6219152279277183,0.07785704281975375,0.105462954104919,0.9309589393943112,-27.491537471199692
21,22.0,0.4305814148785544,7.370553045371232,0.43063399504102834,7.370549492657532,2.304478102373824,0.5737692545631692,5.621374727926565e-07,-3.777391426265785
22,23.0,0.8028275593761833,1.7464872253122088,0.1122559485649925,0.6219154051424841,0.07785704281948917,0.1054629541047398,0.9309590221122616,-27.49153747122348
23,24.0,0.374829801718887,4.858177459637728,0.0,0.5439100033662183,0.4321904485411525,0.2484783544873398,0.559856101243054,-15.493593586851997
24,25.0,0.936389877180792,3.36304568200107,0.11225592182365829,0.6219153628037352,0.07785704281951944,0.1054629541047603,0.9309590035769815,-27.49153747122076
25,26.0,0.2269379490011768,0.01587640327412384,0.1122564100801476,0.621914934361456,0.07785704282310223,0.10546295410718687,0.9309587929732042,-27.491537470898635
26,27.0,0.7477151744617578,6.070768217762827,0.0,0.7176175733700798,0.3815880389025983,0.233479285989326,0.7696267456937722,-16.365266834846075
27,28.0,0.1844264343717127,0.9140194151239759,0.11225649413517948,0.6219150676083545,0.07785704282333308,0.10546295410734327,0.9309588513089806,-27.491537470877883
28,29.0,0.07284570232053611,7.347517444975368,0.07284570232053611,7.347517444975368,2.3044796051676584,0.5737694416460398,-2.220446049250313e-16,-3.7773868614346435
29,30.0,0.8217103349148479,1.4506303078337448,0.11225591646625098,0.6219153651418672,0.07785704281952271,0.10546295410476253,0.9309590048080324,-27.491537471220465
30,31.0,0.2432866554829114,3.4117612340819155,0.11225577434369187,0.6219153841010057,0.0778570428198953,0.10546295410501487,0.930959017785401,-27.491537471186966
31,32.0,0.33051267210371793,6.207191591373114,0.33053834046006075,6.20719003706087,2.3044790780830753,0.5737693760292637,2.2443937708338524e-07,-3.777388462487
32,33.0,0.23398361352648722,3.9778728603026052,0.11225630789551296,0.6219160056236731,0.07785704282513402,0.10546295410856296,0.9309592855947219,-27.49153747071596
33,34.0,0.8460930248293369,4.85349441674152,0.0,0.5443429366501633,0.4321904485411525,0.2484783544873398,0.559856101243054,-15.493593586851997
34,35.0,0.1671124195469056,4.412952412549437,0.1671124195469056,4.412952412549437,2.304479601351496,0.5737694411709657,1.995102416607608e-09,-3.777386873026474
35,36.0,0.09010862876296422,0.6350192897666582,0.11225592723806395,0.6219153696327618,0.07785704281950973,0.1054629541047537,0.9309590065332058,-27.491537471221633
36,37.0,0.14225090668278184,6.809756264744305,0.14225090668278184,6.809756264744305,2.3044796051676584,0.5737694416460398,-2.220446049250313e-16,-3.7773868614346435
37,38.0,0.9969212457009164,7.26009504167197,0.1122557238380183,0.6219155451105848,0.07785704282017339,0.10546295410520323,0.9309590928929277,-27.491537471161962
38,39.0,0.37343642425401946,3.6486075399941287,0.112255915561649,0.6219154127100847,0.07785704281950481,0.10546295410475041,0.9309590265721613,-27.491537471222074
39,40.0,0.21364441335532391,0.2844410955910567,0.11225593496977561,0.6219154337432904,0.07785704281949889,0.10546295410474642,0.9309590355943048,-27.491537471222603
40,41.0,0.945463387870595,9.731591123380785,0.11225594806551263,0.6219154014843443,0.07785704281948926,0.10546295410473984,0.9309590204558089,-27.491537471223474
41,42.0,0.5725387087445556,3.291843965322036,0.11225594823136148,0.6219153636456244,0.07785704281950323,0.10546295410474932,0.9309590031600793,-27.49153747122222
42,43.0,0.8493738773868239,6.172769008496987,0.0,0.7215579503961602,0.3815880389025983,0.233479285989326,0.7696267456937722,-16.365266834846075
43,44.0,0.4110629786588177,8.882375481535894,0.4110629786588177,8.882375481535894,2.3044795866587378,0.5737694393418639,7.097107901365973e-09,-3.7773869176566395
44,45.0,0.38434464345416774,8.244897094583589,0.38434464345416774,8.244897094583589,2.304479580086834,0.5737694385237274,9.952813240232672e-09,-3.777386937619206
45,46.0,0.6123010614751263,2.8485782907976476,0.11225593839283997,0.621915550388207,0.07785704281967433,0.10546295410486524,0.9309590887920973,-27.491537471206833
46,47.0,0.019646243952627263,5.634826210057728,0.019646243952627263,5.634826210057728,2.3044796051676584,0.5737694416460398,-2.220446049250313e-16,-3.7773868614346435
47,48.0,0.0561885976306048,2.0303396634910977,0.0561885976306048,2.0303396634910977,2.3044795831158096,0.5737694389008047,1.2315962472086994e-08,-3.777386928418503
48,49.0,0.5548869395573014,3.089427629291331,0.0,0.6965268382228895,0.3815880389025983,0.233479285989326,0.7696267456937722,-16.365266834846075
49,50.0,0.0023035484526753303,9.670461208985438,0.0023035484526753303,9.670461208985438,2.3044796051676584,0.5737694416460398,-2.220446049250313e-16,-3.7773868614346435
50,51.0,0.1056902654842754,6.524062475849573,0.1056902654842754,6.524062475849573,2.3044796051676584,0.5737694416460398,-2.220446049250313e-16,-3.7773868614346435
51,52.0,0.699527921809348,5.231750380096291,0.0,0.5826449857589632,0.4321904485411525,0.2484783544873398,0.559856101243054,-15.493593586851997
52,53.0,0.28572213825852877,1.2861441593051286,0.11225596125045265,0.6219154134996657,0.07785704281949139,0.10546295410474128,0.9309590255460594,-27.491537471223282
53,54.0,0.6027908446956993,7.998802469707572,0.11225591401719404,0.6219154729938409,0.07785704281953912,0.10546295410477362,0.9309590541661534,-27.49153747121899
54,55.0,0.1825694157268244,1.523715280841683,0.11225597572406115,0.6219152187039588,0.07785704281977524,0.1054629541049336,0.9309589360932187,-27.49153747119776
55,56.0,0.9698714999091199,6.082449293573664,0.0,0.7158143376027556,0.3815880389025983,0.233479285989326,0.7696267456937722,-16.365266834846075
56,57.0,0.7555316849396022,4.361778545060295,0.0,0.5678998185208544,0.4321904485411525,0.2484783544873398,0.559856101243054,-15.493593586851997
57,58.0,0.4752742269856406,3.771682884631033,0.11225595948605786,0.6219154457772889,0.07785704281950724,0.10546295410475204,0.9309590403491148,-27.491537471221857
58,59.0,0.25171418509393484,9.316639661819371,0.25171418509393484,9.316639661819371,2.3044796051676437,0.5737694416460379,7.216449660063518e-15,-3.777386861434687
59,60.0,0.208995451409821,4.983605944531307,0.208995451409821,4.983605944531307,2.3044795888963168,0.5737694396204202,8.11121214638888e-09,-3.777386910859854
