,subID,stimset_rows,subtlety,responses,movie,trial_num
0,15025,37,60,the grey dot followed the black dot slowly upwards towards the top left corner,a7fd07d1-e946-43a4-882d-0b3b7882ed21,0
1,15026,27,60,This time the black dot was following the grey dot,85aa46c9-fe72-469c-a4cd-96f72ab4ccba,1
2,15027,35,60,"The dots were moving towards each other, but when they got close the grey dot tried to move away while the black dot followed.",35fbacfe-f7fd-45d5-9266-5f6631809d11,2
1,15028,30,60,The black dot was sort of chasing the grey dot. The black dot was actively approaching the grey one and the grey one would sort of back off.,8d9b8961-4fb1-4413-b875-966e01b9963a,1
6,15029,29,60,the black dot appeared to be moving to the top right corner of the box before 'spotting' the grey dot and following it to the top of the box. The grey dot apeared to be moving to the top center of the box before 'seeing' the grey dot and going to the top right and circling around to the top centre,249089b6-ef6d-4ddb-973d-6d7b9d53baf8,6
4,15030,40,60,white was following black,7b3797d6-d4cc-4819-b3ad-adfd144217e2,4
0,15031,41,60,black dot following grey dot,8d9b8961-4fb1-4413-b875-966e01b9963a,0
6,15032,39,60,dark dot moved towards light dot after light dot started to make circular movement,804f9681-f112-463c-a764-a40a823d6845,6
5,15033,45,60,Looked like the black dot was chasing the grey dot again,35fbacfe-f7fd-45d5-9266-5f6631809d11,5
0,15034,43,60,"Hovering around, with the black dot slowly hovering closer to the grey dot",85aa46c9-fe72-469c-a4cd-96f72ab4ccba,0
5,15035,44,60,They both moved left; the black dot seemed to 'bounce' off of the left side of the field,8bb5c4ad-b420-47c6-8e6a-c74a127a30ce,5
3,15036,42,60,The grey one is slowly following the black one again,adf2a5c5-86f0-4a90-976a-f3fdfdf528fc,3
0,15037,46,60,Travelling to the top right,91659665-5079-44c4-96c1-49da784170fa,0
5,15038,48,60,"the grey dot is approaching the black dot, backing it into a corner  (or against a wall)",7b3797d6-d4cc-4819-b3ad-adfd144217e2,5
3,15039,47,60,The grey dot appeared to be actively chasing the black dot. The black dot seemed to be purposefully moving away and trying to distance itself,3273fde2-4b65-4cc7-b9b3-ef2604e8a514,3
6,15040,51,60,"When they came close, the grey one followed the black one",3273fde2-4b65-4cc7-b9b3-ef2604e8a514,6
0,15041,52,60,Grey dot was following the black dot,a7fd07d1-e946-43a4-882d-0b3b7882ed21,0
0,15042,53,60,Moving to top right hand corner.,adf2a5c5-86f0-4a90-976a-f3fdfdf528fc,0
0,15043,56,60,Black dot was heading towards grey dot,cca827ad-af9d-4cfd-ae71-7e028e3f8520,0
0,15044,54,60,black is following grey,804f9681-f112-463c-a764-a40a823d6845,0
0,15045,50,60,Black dot is chasing the grey dot,35fbacfe-f7fd-45d5-9266-5f6631809d11,0
1,15046,57,60,they were moving to the top right of screen,91659665-5079-44c4-96c1-49da784170fa,1
0,15047,61,60,Black dot was following and tailing the grey one,85aa46c9-fe72-469c-a4cd-96f72ab4ccba,0
2,15048,60,60,"Grey was chasing black dot, black was getting stuck in a corner.",91659665-5079-44c4-96c1-49da784170fa,2
0,15049,58,60,Grey was going in a zig zag pattern from bottom to top on the left side. Black was going in a similar pattern from middle to top left.,85aa46c9-fe72-469c-a4cd-96f72ab4ccba,0
0,15050,62,60,The grey dot was 'chasing' the black dot,3273fde2-4b65-4cc7-b9b3-ef2604e8a514,0
2,15051,64,60,The black dot followed the grey dot into the top left corner,cca827ad-af9d-4cfd-ae71-7e028e3f8520,2
3,15052,69,60,the black dot was running away from the grey dot,adf2a5c5-86f0-4a90-976a-f3fdfdf528fc,3
0,15053,67,60,The dots were both fairly close to each other and were both moving around.,7b3797d6-d4cc-4819-b3ad-adfd144217e2,0
0,15054,70,60,The light dot was chasing the dark dot,8bb5c4ad-b420-47c6-8e6a-c74a127a30ce,0
0,15055,71,60,moving to the left and moving downwards slowly,8d9b8961-4fb1-4413-b875-966e01b9963a,0
4,15056,65,60,they both dots were moving from middle to the upward part,249089b6-ef6d-4ddb-973d-6d7b9d53baf8,4
4,15057,68,60,Grey dot was following/pushing the black dot into the corner,a7fd07d1-e946-43a4-882d-0b3b7882ed21,4
3,15058,73,60,the black dot started chasing the grey dot,804f9681-f112-463c-a764-a40a823d6845,3
4,15059,74,60,the dark dot was closing in on the light dot,8d9b8961-4fb1-4413-b875-966e01b9963a,4
6,15000,0,90,grey dot following black dot,06f1dd04-cfbc-433c-9833-32cdb01c0683,6
2,15001,1,90,A black dot appeared to trace the path of the grey dot from left to right.,22162d51-e2bc-4fd2-af29-7d21f36eca1d,2
4,15002,2,90,"they looked like they were going to collide, but they both went to the left with some distance between them",7d6cad69-203a-49a4-9c6e-b0423a669e50,4
6,15003,3,90,"Dots looked like they were in sync at first, then they became closer together",68c0fec8-cf83-48bf-8079-a5f414fe7504,6
6,15004,6,90,bothmoved randomly,c7f85153-52e8-4379-839f-9596d6a3ee62,6
5,15005,11,90,"the grey dot is spying on the black one, the grey dot does not feel confident",1841b8a9-ff1d-481d-80de-2134f2461e8b,5
1,15006,12,90,They slowly floated toward each other but seemed hesitant to touch and kept going seperate,c7f85153-52e8-4379-839f-9596d6a3ee62,1
3,15007,13,90,playing a game together,7d6cad69-203a-49a4-9c6e-b0423a669e50,3
3,15008,21,90,black dot followng grey dot,16088d09-c11d-4b03-8c77-f92a33554c1e,3
6,15009,10,90,They seemed to be keeping an equal distance from each other.,89ce6bb6-b2cb-44cb-ba57-d78ab0224625,6
6,15010,17,90,white dot moving away from black dot. But balck dot not chaseing white.,22162d51-e2bc-4fd2-af29-7d21f36eca1d,6
6,15011,15,90,Both dots moved semi randomly but toward the end the grey dot moved toward the black,a8c7fb1b-9db5-4f8f-a05c-2ea241668e0f,6
