,iteration,init_slope,init_intercept,est_intercept,est_slope,ss_res,nrmse,r_squared,aic
0,1.0,0.39763205831116355,8.597401922224268,0.0774999033246243,0.8421430434051465,0.06601547619050324,0.11314044472451457,0.8931129529683449,-28.64643358034855
1,2.0,0.16203039609886183,6.217052011260844,0.07749988380404335,0.8421430838146248,0.06601547619051622,0.11314044472452568,0.8931129529683239,-28.64643358034718
2,3.0,0.1421965941108556,3.485147199678939,0.07749989887077378,0.8421430527212845,0.06601547619050603,0.11314044472451695,0.8931129529683404,-28.64643358034826
3,4.0,0.7074486256063222,6.6205738703909205,0.07749994457472938,0.8421429578190003,0.06601547619048424,0.1131404447244983,0.8931129529683758,-28.646433580350568
4,5.0,0.47696630219880165,2.36069555929259,0.07749991094504334,0.8421430024563553,0.06601547619049451,0.11314044472450709,0.893112952968362,-28.64643358034948
5,6.0,0.6441845615368846,1.517592811535237,0.07749994370494587,0.8421429448213532,0.06601547619048326,0.11314044472449744,0.8931129529683789,-28.646433580350674
6,7.0,0.4841706012782113,3.6714905805737716,0.07749992070789859,0.8421429855626024,0.0660154761904906,0.11314044472450373,0.8931129529683679,-28.646433580349893
7,8.0,0.6379911745064765,3.9967590457949203,0.07749991593745117,0.8421429939571046,0.06601547619049247,0.11314044472450535,0.893112952968365,-28.646433580349694
8,9.0,0.13156893888361,3.3091256419773893,0.07749989709107408,0.8421430563512091,0.06601547619050714,0.11314044472451791,0.8931129529683386,-28.646433580348145
9,10.0,0.665446407749126,7.728679798783596,0.07749993257750287,0.8421429827467367,0.06601547619048861,0.11314044472450203,0.8931129529683687,-28.646433580350106
10,11.0,0.5430034070761085,2.1885083124013227,0.07749991230527954,0.8421430003021786,0.06601547619049393,0.11314044472450659,0.8931129529683628,-28.646433580349537
11,12.0,0.10897905323486945,8.063019643448902,0.07749987080758292,0.8421431114500922,0.06601547619052653,0.11314044472453454,0.8931129529683072,-28.646433580346084
12,13.0,0.2515140740899101,7.0831357928628815,0.07749989232580573,0.842143065320133,0.06601547619051003,0.11314044472452038,0.8931129529683339,-28.64643358034784
13,14.0,0.6934572372482041,1.2273446346972072,0.07749868858058913,0.8421458814814285,0.06601547619787236,0.11314044473082935,0.8931129529568701,-28.64643357956716
14,15.0,0.13913212326789115,4.943915071479903,0.07749988560603469,0.84214308075269,0.06601547619051513,0.11314044472452477,0.8931129529683256,-28.646433580347292
15,16.0,0.4305064168987197,2.1502741435959822,0.07749991148562659,0.8421430017206744,0.0660154761904943,0.1131404447245069,0.8931129529683622,-28.646433580349502
16,17.0,0.16507743539859732,7.634173766458319,0.07749988075539502,0.842143090383469,0.06601547619051853,0.11314044472452768,0.8931129529683202,-28.64643358034693
17,18.0,0.6984402057715686,2.855381073868931,0.07749991064150462,0.8421430027368618,0.06601547619049461,0.11314044472450717,0.8931129529683619,-28.646433580349466
18,19.0,0.40074107694982053,6.961735092644385,0.07749991291144795,0.8421430233868997,0.0660154761904978,0.1131404447245099,0.8931129529683538,-28.646433580349132
19,20.0,0.12414686030166056,2.053144176175053,0.07749991379535164,0.8421430213741797,0.06601547619049726,0.11314044472450946,0.8931129529683547,-28.64643358034919
20,21.0,0.7023389218646765,1.8975523364226896,0.07749993047811916,0.8421429681338798,0.06601547619048716,0.11314044472450079,0.893112952968373,-28.646433580350262
21,22.0,0.12157960540926227,1.132728094354556,0.07749994479572733,0.8421429573831252,0.0660154761904842,0.11314044472449825,0.8931129529683759,-28.646433580350575
22,23.0,0.5278341902879572,1.4621613865353036,0.07749993004431317,0.8421429685305936,0.06601547619048727,0.11314044472450088,0.8931129529683729,-28.646433580350248
