stim_file,condition,subtlety,slider,RT,accuracy,subID,trial_ind
4f1db8f7-63a7-4e49-b31b-12adcf107bf0,chase,150,31.0,2.166,1,265,68
bee25e5c-74fd-4f63-b2e7-43b8af6bb08c,chase,90,69.0,2.335,1,265,69
4e913eda-699f-4aa1-831d-c82fb169914c,chase,60,64.0,2.287,1,265,70
d145a05f-e3c9-4244-b83b-2792e29b0493,chase,150,52.0,2.572,1,265,71
64673dfa-0706-4fb2-a297-b988740292d5,chase,90,71.0,5.992,1,265,72
21ca5095-0a92-499b-9d26-d8a5f4a0841a,wander,180,44.0,3.424,1,265,73
dad72227-6303-403d-8c8f-61b79d192ff4,chase,120,35.0,3.035,1,265,74
ebb2b54b-03ef-482e-98e6-c30b11e93f54,chase,90,73.0,2.345,1,265,75
c40a4196-baf2-4992-afe5-aeca6b69a170,chase,30,85.0,2.177,1,265,76
84e883bc-3ec7-4bef-bdb3-2016001d7f47,chase,120,42.0,2.777,1,265,77
2b3090fe-a6e0-4e32-8e43-767b0d526444,chase,60,94.0,2.444,1,265,78
4fb304a5-e4d9-4469-a34d-360a50cb0d09,chase,60,74.0,1.994,1,265,79
2437aa32-b54d-48e7-b20d-fafb63156eb0,chase,0,73.0,1.965,1,265,80
65c87d60-ca32-4b8c-862c-41cd8e585b4b,chase,0,70.0,2.305,1,265,81
116d4cf9-2d22-4e06-8fbf-248789f8212c,chase,150,36.0,2.447,0,265,82
4b3782e4-fafc-4dd1-96aa-9b339f19d004,chase,0,78.0,1.574,1,265,83
7f76ce9f-1463-4e78-87a4-6a54cd80ee88,chase,90,100.0,2.793,1,325,0
1d35e834-4947-46b2-9cbd-816ea4587c6f,wander,180,0.0,2.904,1,325,1
18c4991b-f4d6-47a6-b29a-81f425410c0e,chase,120,2.0,2.446,1,325,2
bc18f2bb-8e1a-4fcf-bc63-d56da485f828,chase,90,33.0,2.95,1,325,3
e4dd3e31-b4f2-4f66-9e70-0665b6bcd089,chase,30,100.0,2.386,1,325,4
46975d67-ead1-4d29-93d2-9fbd40dad49d,wander,180,58.0,2.978,0,325,5
4e913eda-699f-4aa1-831d-c82fb169914c,chase,60,81.0,1.846,1,325,6
ebb2b54b-03ef-482e-98e6-c30b11e93f54,chase,90,73.0,2.082,1,325,7
c8a1258a-1920-42bf-98e8-6c2dcc03a258,chase,60,88.0,2.366,1,325,8
f8c01499-8009-448b-9476-a38a582d3db6,chase,150,60.0,2.553,1,325,9
f9e978d5-51e5-401a-8c9a-df747f2dec53,chase,0,87.0,2.336,1,325,10
496c052f-24cd-4731-b1a3-dc6a8076719b,chase,120,73.0,2.776,1,325,11
3dbf8de7-1bf7-4a43-a5e3-4366a94ea690,chase,90,34.0,2.95,1,325,12
411043c2-72c5-48c5-8cb7-febcebc40f98,chase,30,93.0,2.916,1,325,13
bee25e5c-74fd-4f63-b2e7-43b8af6bb08c,chase,90,93.0,3.028,1,325,14
7ef8daac-db75-4ee8-a071-f88ace7368fa,chase,60,95.0,1.816,1,325,15
2b3090fe-a6e0-4e32-8e43-767b0d526444,chase,60,100.0,2.398,1,325,16
d145a05f-e3c9-4244-b83b-2792e29b0493,chase,150,96.0,1.968,1,325,17
599df54c-434d-46db-a56a-5698a4ae9a9e,chase,150,7.0,2.149,0,325,18
12ba80f8-98cb-4c76-836d-72c2d6364a8e,chase,120,2.0,2.634,1,325,19
92158ea9-b156-4e87-a2e3-ff0845033b9c,chase,150,2.0,2.311,1,325,20
2d4bdbd9-d1de-4787-8cc8-a317b9d4c68d,wander,180,0.0,2.623,0,325,21
cd35aaa0-2e49-4c68-9db3-f26fb9be29c5,chase,0,100.0,2.15,1,325,22
0ea90462-f5e2-47a7-bd4b-2ea1c0bb7293,chase,60,100.0,2.705,1,325,23
67a027b6-67e1-4784-aaad-ab48b5731cca,chase,0,100.0,3.105,1,325,24
9d561139-a905-406b-83a0-38ea62293ed9,chase,90,100.0,1.989,1,325,25
84e883bc-3ec7-4bef-bdb3-2016001d7f47,chase,120,21.0,2.637,1,325,26
6164475a-8bff-4ee0-8fef-043a34cd7da5,chase,120,57.0,2.77,1,325,27
c4c5c990-2898-4b30-8454-9be48985cf75,chase,150,0.0,2.37,1,325,28
b3b1ce6f-50f4-4922-80d2-b53f06819db2,chase,120,100.0,2.031,1,325,29
7d329546-ecf4-4612-8f00-c127c77d5d6c,chase,60,100.0,2.196,1,325,30
dbce0a8f-ba45-4265-a60e-b98acd0e16d0,chase,150,100.0,2.262,1,325,31
