,stim_file,condition,subtlety,slider,RT,accuracy,subID,trial_ind,aq_social_skill,aq_attn_switch,aq_img,aq_attn_to_det,aq_comm,panas_pos,panas_neg,ffi_neuroticism,ffi_extraversion,ffi_openness,ffi_agreeableness,ffi_conscientiousness,ucla,friend_num,bias,amplitude
24,738dba2c-d7cb-488e-b971-0dc50c74bf4b,chase,30,100.0,2.43,1,265,24,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
25,9d561139-a905-406b-83a0-38ea62293ed9,chase,90,67.0,2.339,1,265,25,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
26,42d1593c-1903-4c06-8304-6d2b29c5be37,chase,30,92.0,2.861,1,265,26,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
27,45126725-a7eb-4318-86c4-1af84082e8b8,chase,30,84.0,3.059,1,265,27,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
28,981221b7-2aa0-476c-b101-390d6cc3dd1a,chase,120,69.0,2.669,1,265,28,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
29,1c695094-312c-450a-ac7f-f994dabb958d,wander,180,28.0,2.714,1,265,29,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
30,ae7d3eb8-dc5d-447b-b5c5-9b30fb3b8314,chase,60,76.0,3.277,1,265,30,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
31,81f068e9-cbbc-4d88-8e31-206979547986,chase,120,78.0,3.386,1,265,31,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
32,58ff2cb6-e661-4be4-945c-d3f9ab5180c6,chase,150,71.0,2.95,1,265,32,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
33,3dbf8de7-1bf7-4a43-a5e3-4366a94ea690,chase,90,73.0,2.863,1,265,33,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
34,67a027b6-67e1-4784-aaad-ab48b5731cca,chase,0,82.0,2.84,1,265,34,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
35,6d712780-43b4-49f9-9bb8-c6ef920b78bd,chase,0,82.0,3.347,1,265,35,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
36,f9e978d5-51e5-401a-8c9a-df747f2dec53,chase,0,78.0,3.362,1,265,36,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
37,c4c5c990-2898-4b30-8454-9be48985cf75,chase,150,29.0,2.479,1,265,37,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
38,6164475a-8bff-4ee0-8fef-043a34cd7da5,chase,120,81.0,2.888,1,265,38,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
39,184c8795-2f00-4c7d-bc10-bd7de3066a20,chase,60,85.0,2.874,1,265,39,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
40,1a3da098-0a3a-43af-af4a-a9fad5adcce6,chase,90,84.0,2.042,1,265,40,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
41,599df54c-434d-46db-a56a-5698a4ae9a9e,chase,150,31.0,2.377,0,265,41,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
42,b3b1ce6f-50f4-4922-80d2-b53f06819db2,chase,120,79.0,2.529,1,265,42,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
43,7f76ce9f-1463-4e78-87a4-6a54cd80ee88,chase,90,76.0,2.519,1,265,43,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
44,7ef8daac-db75-4ee8-a071-f88ace7368fa,chase,60,93.0,2.882,1,265,44,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
45,068dfd59-6b9c-4eca-b60c-7eb73cc72305,chase,0,97.0,2.06,1,265,45,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
46,46975d67-ead1-4d29-93d2-9fbd40dad49d,wander,180,15.0,2.572,0,265,46,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
47,e5de8a7b-b080-44aa-9279-c42f7862e210,chase,0,85.0,3.158,1,265,47,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
48,0ea38b84-b2dc-4072-b4b8-3dce5f53debc,chase,120,64.0,2.22,1,265,48,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
49,a680f7c6-9605-4481-a14d-c24d8d7b99bc,chase,30,74.0,2.677,1,265,49,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
50,2cf66fb7-ab1d-466b-be40-d9f856dc213f,wander,180,6.0,3.145,1,265,50,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
51,2d4bdbd9-d1de-4787-8cc8-a317b9d4c68d,wander,180,22.0,1.757,1,265,51,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
52,cd35aaa0-2e49-4c68-9db3-f26fb9be29c5,chase,0,99.0,1.713,1,265,52,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
53,7da2bf99-2525-456c-889d-33e4d57cefac,chase,150,21.0,2.298,1,265,53,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
54,c8a1258a-1920-42bf-98e8-6c2dcc03a258,chase,60,80.0,3.129,1,265,54,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
55,dbce0a8f-ba45-4265-a60e-b98acd0e16d0,chase,150,37.0,2.552,1,265,55,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
56,b75e278a-0fbd-474b-92b0-7038934dda4b,chase,30,97.0,2.138,1,265,56,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
57,2383c97c-89dc-495f-8ec8-8a517a45ca6c,chase,90,78.0,2.664,1,265,57,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
58,c1b6f573-136b-414a-a6ec-8628f66a51e1,chase,150,24.0,2.819,1,265,58,28.0,22.0,10.0,14.0,20.0,9.0,23.0,54.0,23.0,42.0,42.0,27.0,67.0,3.0,0.1232791376760382,0.6278015024181465
