stim_file,condition,subtlety,pred_color,slider,button_response,RT,accuracy,subID,trial_ind
8d9b8961-4fb1-4413-b875-966e01b9963a,chase,60,black,68.0,black,4.082,1,1,61
7bee52f4-919b-4633-b742-a0181f5f7f01,wander,180,grey,27.0,grey,4.133,1,1,62
9093ecfa-6a76-4110-b88c-dd9330281781,chase,30,grey,89.0,grey,2.146,1,1,63
27771508-6d61-4618-83ca-4bc020efddfe,wander,180,grey,0.0,black,2.225,0,1,64
53613c0d-b07e-4b22-b6ec-56dda26edc8f,chase,0,grey,85.0,grey,2.681,1,1,65
7d6cad69-203a-49a4-9c6e-b0423a669e50,chase,90,grey,58.0,grey,3.034,1,1,66
22162d51-e2bc-4fd2-af29-7d21f36eca1d,chase,90,black,56.0,black,3.343,1,1,67
10a07293-2c74-4b8a-bbef-b0f436cde5fb,chase,150,grey,11.0,black,3.315,0,1,68
1247c2a3-9c1a-478d-ad2b-6640715d76a4,chase,150,black,13.0,black,2.57,1,1,69
c7f85153-52e8-4379-839f-9596d6a3ee62,chase,90,grey,67.0,grey,2.645,1,1,70
a4bd654a-f8f1-44b4-907f-0114e1caa391,chase,30,black,94.0,black,2.514,1,1,71
249089b6-ef6d-4ddb-973d-6d7b9d53baf8,chase,60,black,100.0,black,2.881,1,1,72
42ffed3d-edac-4ca7-9b33-6f525cb7c364,chase,90,black,100.0,black,5.29,1,1,73
0ea51ff3-f8ac-4d29-a981-0a167d74909c,chase,30,black,100.0,black,2.113,1,1,74
70f615a0-31d5-42b9-a44b-f5746c0b41a8,wander,180,black,16.0,black,3.395,1,1,75
69cbd581-b3e6-4aa9-8cc0-319380d1e9ce,chase,30,black,100.0,black,2.331,1,1,76
c6499c88-e947-4ab5-8cde-3013da4d084f,chase,30,grey,90.0,grey,3.264,1,1,77
17e4063d-b2f1-4406-8a8f-be7151fd23c1,chase,30,black,99.0,black,3.483,1,1,78
1bc0b0c8-e058-4a68-bdab-65b544a8848d,chase,120,grey,45.0,grey,4.55,1,1,79
a68cb7dc-2812-45a9-b8f6-862ff43630fb,chase,120,grey,21.0,grey,5.149,1,1,80
cf5e29cd-eacd-4164-96d2-05de1fad88ba,chase,30,black,85.0,black,2.546,1,1,81
124f53c2-90c6-4716-8221-e86088f8d257,wander,180,grey,27.0,grey,2.713,1,1,82
07cdb9d7-6577-428d-9498-8a7243527554,chase,0,grey,95.0,grey,2.931,1,1,83
49e5ac90-6e7f-4243-9552-8c4c10545895,chase,0,black,100.0,black,2.921,1,2,0
87b8564c-7590-4001-b1e8-6f26c4e4bf8a,chase,120,grey,34.0,grey,4.34,1,2,1
cca827ad-af9d-4cfd-ae71-7e028e3f8520,chase,60,black,86.0,black,3.188,1,2,2
94a4e86e-f727-4ed5-85c3-c9ab9c1c8e73,chase,120,black,55.0,black,3.211,1,2,3
5d84c995-f49b-42d0-bf89-eb7f4bfcb1d4,chase,120,black,58.0,black,4.119,1,2,4
adf2a5c5-86f0-4a90-976a-f3fdfdf528fc,chase,60,grey,100.0,grey,2.986,1,2,5
0ea53c63-8350-4a50-8dec-ccbbf0e401dc,wander,180,black,34.0,grey,3.147,0,2,6
75182d69-6502-4d35-9298-e331061c7829,chase,0,grey,100.0,grey,2.73,1,2,7
9996b324-9da6-4bd7-a5d5-305513d257ce,chase,120,grey,19.0,grey,4.331,1,2,8
7da9ad01-3df5-45e9-8edf-4af0795536e1,chase,120,black,58.0,black,2.807,1,2,9
14f7fa8d-a7a5-4171-bdbf-8a076fb08d9c,chase,150,black,18.0,grey,2.749,0,2,10
72e764e1-0b34-4efd-96db-5df7934b2395,chase,0,grey,100.0,grey,2.954,1,2,11
802575f0-631d-4eeb-9e49-3b401b11b953,wander,180,black,0.0,grey,2.741,0,2,12
124f53c2-90c6-4716-8221-e86088f8d257,wander,180,grey,9.0,grey,2.929,1,2,13
4270e833-4dad-483f-85cb-3dee1fccc571,chase,150,grey,0.0,grey,3.88,1,2,14
816e0a69-dfb6-4a6f-8ffe-97d092e27835,chase,0,black,100.0,black,2.31,1,2,15
99fed5db-be9d-4d5f-8fef-1baaad5f1b70,chase,150,grey,0.0,grey,2.817,1,2,16
2a1ab94f-201b-4fa2-9947-1eab7365fb0f,chase,150,black,11.0,grey,2.284,0,2,17
7e113c5d-92b4-4c01-9588-dae0fb76eb5f,chase,150,black,0.0,grey,4.646,0,2,18
8d9b8961-4fb1-4413-b875-966e01b9963a,chase,60,black,100.0,black,3.183,1,2,19
c53236a2-f564-41ec-89aa-2bd90765b0a4,chase,30,black,84.0,black,5.289,1,2,20
57dbdc86-9c49-4214-a908-c4a254e90229,chase,30,grey,100.0,grey,2.91,1,2,21
6480385b-e9eb-45a9-88e3-aade6c90476d,chase,120,black,23.0,grey,3.382,0,2,22
07cdb9d7-6577-428d-9498-8a7243527554,chase,0,grey,100.0,grey,2.804,1,2,23
5d69d5c8-83dd-43c4-be85-f1c2ff45960d,chase,120,grey,67.0,grey,3.069,1,2,24
