,subID,subtlety,slider,RT,accuracy,trial_ind,rating180,diff_from_180,aq_social_skill,aq_attn_switch,aq_img,aq_attn_to_det,aq_comm,panas_pos,panas_neg,ffi_neuroticism,ffi_extraversion,ffi_openness,ffi_agreeableness,ffi_conscientiousness,ucla,friend_num
25,4,120,54.0,5.008666666666667,0.8333333333333334,39.583333333333336,29.833333333333332,24.166666666666668,10.0,14.0,6.0,15.0,12.0,19.0,13.0,40.0,37.0,52.0,50.0,45.81818181818182,36.0,3.0
26,4,150,41.833333333333336,4.259416666666667,0.5,50.666666666666664,29.833333333333332,12.000000000000004,10.0,14.0,6.0,15.0,12.0,19.0,13.0,40.0,37.0,52.0,50.0,45.81818181818182,36.0,3.0
27,4,180,29.833333333333332,5.0045,0.5833333333333334,37.0,29.833333333333332,0.0,10.0,14.0,6.0,15.0,12.0,19.0,13.0,40.0,37.0,52.0,50.0,45.81818181818182,36.0,3.0
28,5,0,96.91666666666667,2.826916666666667,1.0,45.166666666666664,16.25,80.66666666666667,22.0,20.0,16.0,21.0,18.0,22.0,26.0,46.0,29.0,41.0,36.0,44.0,74.0,1.0
29,5,30,91.25,2.953666666666667,1.0,35.916666666666664,16.25,75.0,22.0,20.0,16.0,21.0,18.0,22.0,26.0,46.0,29.0,41.0,36.0,44.0,74.0,1.0
30,5,60,87.25,2.90525,1.0,35.333333333333336,16.25,71.0,22.0,20.0,16.0,21.0,18.0,22.0,26.0,46.0,29.0,41.0,36.0,44.0,74.0,1.0
31,5,90,41.083333333333336,3.0240833333333335,0.75,34.833333333333336,16.25,24.833333333333336,22.0,20.0,16.0,21.0,18.0,22.0,26.0,46.0,29.0,41.0,36.0,44.0,74.0,1.0
32,5,120,33.25,3.095916666666667,0.5833333333333334,40.0,16.25,17.0,22.0,20.0,16.0,21.0,18.0,22.0,26.0,46.0,29.0,41.0,36.0,44.0,74.0,1.0
33,5,150,19.666666666666668,2.938916666666667,0.6666666666666666,46.333333333333336,16.25,3.416666666666668,22.0,20.0,16.0,21.0,18.0,22.0,26.0,46.0,29.0,41.0,36.0,44.0,74.0,1.0
34,5,180,16.25,2.8523333333333336,0.5,52.916666666666664,16.25,0.0,22.0,20.0,16.0,21.0,18.0,22.0,26.0,46.0,29.0,41.0,36.0,44.0,74.0,1.0
35,6,0,100.0,2.92,1.0,49.666666666666664,20.916666666666668,79.08333333333333,16.0,18.0,13.0,18.0,14.0,37.0,10.0,43.0,43.0,36.0,46.0,54.0,59.0,1.0
36,6,30,100.0,2.921416666666667,1.0,40.333333333333336,20.916666666666668,79.08333333333333,16.0,18.0,13.0,18.0,14.0,37.0,10.0,43.0,43.0,36.0,46.0,54.0,59.0,1.0
37,6,60,98.66666666666667,3.0430833333333336,1.0,55.166666666666664,20.916666666666668,77.75,16.0,18.0,13.0,18.0,14.0,37.0,10.0,43.0,43.0,36.0,46.0,54.0,59.0,1.0
38,6,90,91.16666666666667,3.4025,1.0,32.5,20.916666666666668,70.25,16.0,18.0,13.0,18.0,14.0,37.0,10.0,43.0,43.0,36.0,46.0,54.0,59.0,1.0
39,6,120,68.5,2.9685,0.9166666666666666,37.583333333333336,20.916666666666668,47.58333333333333,16.0,18.0,13.0,18.0,14.0,37.0,10.0,43.0,43.0,36.0,46.0,54.0,59.0,1.0
40,6,150,55.25,3.1811666666666665,0.5833333333333334,34.333333333333336,20.916666666666668,34.33333333333333,16.0,18.0,13.0,18.0,14.0,37.0,10.0,43.0,43.0,36.0,46.0,54.0,59.0,1.0
41,6,180,20.916666666666668,3.35075,0.5,40.916666666666664,20.916666666666668,0.0,16.0,18.0,13.0,18.0,14.0,37.0,10.0,43.0,43.0,36.0,46.0,54.0,59.0,1.0
42,7,0,94.16666666666667,4.293,1.0,51.916666666666664,22.666666666666668,71.5,16.0,15.0,14.0,11.0,10.0,3.0,3.0,37.0,29.0,39.0,40.0,39.0,51.72222222222222,4.0
43,7,30,89.41666666666667,4.404166666666667,1.0,36.083333333333336,22.666666666666668,66.75,16.0,15.0,14.0,11.0,10.0,3.0,3.0,37.0,29.0,39.0,40.0,39.0,51.72222222222222,4.0
44,7,60,88.0,4.3797500000000005,1.0,32.583333333333336,22.666666666666668,65.33333333333333,16.0,15.0,14.0,11.0,10.0,3.0,3.0,37.0,29.0,39.0,40.0,39.0,51.72222222222222,4.0
45,7,90,67.58333333333333,4.977166666666666,0.9166666666666666,45.0,22.666666666666668,44.91666666666666,16.0,15.0,14.0,11.0,10.0,3.0,3.0,37.0,29.0,39.0,40.0,39.0,51.72222222222222,4.0
46,7,120,34.75,5.0040000000000004,0.6666666666666666,41.666666666666664,22.666666666666668,12.083333333333332,16.0,15.0,14.0,11.0,10.0,3.0,3.0,37.0,29.0,39.0,40.0,39.0,51.72222222222222,4.0
47,7,150,18.416666666666668,4.9271666666666665,0.5,41.083333333333336,22.666666666666668,-4.25,16.0,15.0,14.0,11.0,10.0,3.0,3.0,37.0,29.0,39.0,40.0,39.0,51.72222222222222,4.0
48,7,180,22.666666666666668,4.589916666666666,0.4166666666666667,42.166666666666664,22.666666666666668,0.0,16.0,15.0,14.0,11.0,10.0,3.0,3.0,37.0,29.0,39.0,40.0,39.0,51.72222222222222,4.0
49,8,0,97.0,2.205083333333333,1.0,38.583333333333336,17.083333333333332,79.91666666666667,14.0,22.0,8.0,26.0,11.0,16.0,13.0,48.0,27.0,48.0,48.0,38.0,52.0,6.0
50,8,30,95.91666666666667,2.1214999999999997,1.0,45.333333333333336,17.083333333333332,78.83333333333334,14.0,22.0,8.0,26.0,11.0,16.0,13.0,48.0,27.0,48.0,48.0,38.0,52.0,6.0
51,8,60,96.25,2.1740833333333334,1.0,45.083333333333336,17.083333333333332,79.16666666666667,14.0,22.0,8.0,26.0,11.0,16.0,13.0,48.0,27.0,48.0,48.0,38.0,52.0,6.0
52,8,90,91.66666666666667,1.9704166666666667,1.0,39.333333333333336,17.083333333333332,74.58333333333334,14.0,22.0,8.0,26.0,11.0,16.0,13.0,48.0,27.0,48.0,48.0,38.0,52.0,6.0
