,subID,subtlety,block_type,responses_subt_1,responses_pf,RT,accuracy,rating180,diff_from_180
0,30002,0.0,1.0,94.33333333333333,,1606.8333333333333,1.0,2.6666666666666665,91.66666666666666
1,30002,30.0,1.0,92.0,,1759.1666666666667,1.0,2.6666666666666665,89.33333333333333
2,30002,60.0,1.0,70.0,,1760.1666666666667,0.8333333333333334,2.6666666666666665,67.33333333333333
3,30002,90.0,1.0,41.166666666666664,,1813.5,1.0,2.6666666666666665,38.5
4,30002,120.0,1.0,6.5,,1976.6666666666667,0.8333333333333334,2.6666666666666665,3.8333333333333335
5,30002,150.0,1.0,16.833333333333332,,2047.1666666666667,0.5,2.6666666666666665,14.166666666666666
6,30002,180.0,1.0,2.6666666666666665,,1548.3333333333333,0.5,2.6666666666666665,0.0
7,30004,0.0,1.0,99.5,,3421.0,1.0,18.0,81.5
8,30004,30.0,1.0,100.0,,3175.8333333333335,1.0,18.0,82.0
9,30004,60.0,1.0,99.33333333333333,,2803.0,1.0,18.0,81.33333333333333
10,30004,90.0,1.0,88.33333333333333,,3058.5,1.0,18.0,70.33333333333333
11,30004,120.0,1.0,67.83333333333333,,3935.3333333333335,0.6666666666666666,18.0,49.83333333333333
12,30004,150.0,1.0,26.0,,3403.3333333333335,0.6666666666666666,18.0,8.0
13,30004,180.0,1.0,18.0,,4864.166666666667,0.4,18.0,0.0
14,30005,0.0,1.0,96.33333333333333,,3166.3333333333335,1.0,22.333333333333332,74.0
15,30005,30.0,1.0,95.5,,3190.0,1.0,22.333333333333332,73.16666666666667
16,30005,60.0,1.0,82.66666666666667,,3551.0,1.0,22.333333333333332,60.33333333333334
17,30005,90.0,1.0,80.16666666666667,,3457.5,1.0,22.333333333333332,57.83333333333334
18,30005,120.0,1.0,53.333333333333336,,4586.0,1.0,22.333333333333332,31.000000000000004
19,30005,150.0,1.0,29.833333333333332,,4744.166666666667,1.0,22.333333333333332,7.5
20,30005,180.0,1.0,22.333333333333332,,5672.5,0.5,22.333333333333332,0.0
21,30006,0.0,1.0,99.83333333333333,,2630.0,1.0,0.6666666666666666,99.16666666666666
22,30006,30.0,1.0,100.0,,2864.3333333333335,1.0,0.6666666666666666,99.33333333333333
23,30006,60.0,1.0,80.5,,3422.8333333333335,1.0,0.6666666666666666,79.83333333333333
24,30006,90.0,1.0,67.5,,3239.1666666666665,1.0,0.6666666666666666,66.83333333333333
25,30006,120.0,1.0,11.0,,3291.1666666666665,1.0,0.6666666666666666,10.333333333333334
26,30006,150.0,1.0,0.6666666666666666,,3504.5,0.6666666666666666,0.6666666666666666,0.0
27,30006,180.0,1.0,0.6666666666666666,,3606.0,0.5,0.6666666666666666,0.0
28,30008,0.0,1.0,84.83333333333333,,2570.8333333333335,1.0,22.5,62.33333333333333
29,30008,30.0,1.0,89.0,,2517.5,1.0,22.5,66.5
30,30008,60.0,1.0,64.66666666666667,,3370.5,1.0,22.5,42.16666666666667
31,30008,90.0,1.0,77.0,,3436.1666666666665,1.0,22.5,54.5
32,30008,120.0,1.0,48.0,,4621.333333333333,0.6666666666666666,22.5,25.5
33,30008,150.0,1.0,39.833333333333336,,4134.5,0.8333333333333334,22.5,17.333333333333336
34,30008,180.0,1.0,22.5,,3929.1666666666665,1.0,22.5,0.0
35,30009,0.0,1.0,91.5,,4073.5,0.8333333333333334,23.833333333333332,67.66666666666667
36,30009,30.0,1.0,91.5,,3296.5,0.8333333333333334,23.833333333333332,67.66666666666667
37,30009,60.0,1.0,71.83333333333333,,3086.1666666666665,0.8333333333333334,23.833333333333332,48.0
38,30009,90.0,1.0,48.833333333333336,,3384.0,0.6666666666666666,23.833333333333332,25.000000000000004
39,30009,120.0,1.0,35.666666666666664,,3466.1666666666665,0.5,23.833333333333332,11.833333333333332
40,30009,150.0,1.0,16.5,,2761.1666666666665,0.8333333333333334,23.833333333333332,-7.333333333333332
41,30009,180.0,1.0,23.833333333333332,,3515.1666666666665,0.8333333333333334,23.833333333333332,0.0
42,30010,0.0,1.0,93.0,,3655.1666666666665,1.0,21.5,71.5
43,30010,30.0,1.0,92.0,,4029.3333333333335,1.0,21.5,70.5
44,30010,60.0,1.0,84.83333333333333,,3497.8333333333335,1.0,21.5,63.33333333333333
45,30010,90.0,1.0,55.5,,3898.8333333333335,0.8333333333333334,21.5,34.0
46,30010,120.0,1.0,41.333333333333336,,3296.0,0.8333333333333334,21.5,19.833333333333336
47,30010,150.0,1.0,32.0,,3649.6666666666665,0.16666666666666666,21.5,10.5
48,30010,180.0,1.0,21.5,,3539.0,0.3333333333333333,21.5,0.0
49,30011,0.0,1.0,99.33333333333333,,2295.0,1.0,9.333333333333334,90.0
50,30011,30.0,1.0,94.5,,2123.1666666666665,1.0,9.333333333333334,85.16666666666667
51,30011,60.0,1.0,92.66666666666667,,2187.6666666666665,1.0,9.333333333333334,83.33333333333334
52,30011,90.0,1.0,73.16666666666667,,2509.6666666666665,1.0,9.333333333333334,63.833333333333336
53,30011,120.0,1.0,42.0,,2674.6666666666665,1.0,9.333333333333334,32.666666666666664
54,30011,150.0,1.0,15.166666666666666,,2896.0,0.6666666666666666,9.333333333333334,5.833333333333332
55,30011,180.0,1.0,9.333333333333334,,2714.5,0.5,9.333333333333334,0.0
56,30013,0.0,1.0,80.66666666666667,,3569.1666666666665,1.0,23.666666666666668,57.0
57,30013,30.0,1.0,84.33333333333333,,4196.666666666667,1.0,23.666666666666668,60.66666666666666
58,30013,60.0,1.0,77.16666666666667,,3174.1666666666665,1.0,23.666666666666668,53.5
59,30013,90.0,1.0,79.66666666666667,,4315.333333333333,1.0,23.666666666666668,56.0
60,30013,120.0,1.0,50.333333333333336,,4646.166666666667,1.0,23.666666666666668,26.666666666666668
61,30013,150.0,1.0,33.166666666666664,,4849.833333333333,0.8333333333333334,23.666666666666668,9.499999999999996
62,30013,180.0,1.0,23.666666666666668,,4498.5,0.6666666666666666,23.666666666666668,0.0
63,30014,0.0,1.0,100.0,,2127.1666666666665,1.0,0.0,100.0
64,30014,30.0,1.0,100.0,,2239.1666666666665,1.0,0.0,100.0
65,30014,60.0,1.0,99.83333333333333,,2103.3333333333335,1.0,0.0,99.83333333333333
66,30014,90.0,1.0,83.33333333333333,,2709.1666666666665,0.8333333333333334,0.0,83.33333333333333
67,30014,120.0,1.0,16.833333333333332,,2414.8333333333335,0.8333333333333334,0.0,16.833333333333332
