,subID,subtlety,slider,RT,accuracy,trial_ind,rating180,diff_from_180
0,2,0,96.41666666666667,2.5809166666666665,1.0,37.416666666666664,19.916666666666668,76.5
1,2,30,90.25,2.5516666666666667,1.0,44.75,19.916666666666668,70.33333333333333
2,2,60,82.25,2.49875,1.0,48.083333333333336,19.916666666666668,62.33333333333333
3,2,90,67.0,2.4305,1.0,37.083333333333336,19.916666666666668,47.08333333333333
4,2,120,50.0,2.94375,1.0,40.25,19.916666666666668,30.083333333333332
5,2,150,21.166666666666668,2.970916666666667,0.8333333333333334,42.416666666666664,19.916666666666668,1.25
6,2,180,19.916666666666668,3.0132499999999998,0.5,40.5,19.916666666666668,0.0
7,4,0,82.5,4.627666666666667,0.9166666666666666,36.166666666666664,40.27272727272727,42.22727272727273
8,4,30,78.5,4.742249999999999,1.0,27.25,40.27272727272727,38.22727272727273
9,4,60,69.9090909090909,5.610833333333333,0.8333333333333334,45.916666666666664,40.27272727272727,29.636363636363633
10,4,90,62.25,4.1314166666666665,1.0,49.916666666666664,40.27272727272727,21.977272727272727
11,4,120,47.416666666666664,5.08475,0.9166666666666666,36.25,40.27272727272727,7.143939393939391
12,4,150,36.09090909090909,5.221166666666666,0.6666666666666666,55.25,40.27272727272727,-4.18181818181818
13,4,180,40.27272727272727,4.9424166666666665,0.4166666666666667,39.75,40.27272727272727,0.0
14,5,0,86.41666666666667,3.0498333333333334,1.0,38.583333333333336,38.333333333333336,48.083333333333336
15,5,30,84.41666666666667,2.997,1.0,39.25,38.333333333333336,46.083333333333336
16,5,60,80.08333333333333,3.5909999999999997,1.0,33.75,38.333333333333336,41.74999999999999
17,5,90,63.5,2.8664166666666664,0.75,51.75,38.333333333333336,25.166666666666664
18,5,120,45.583333333333336,2.8804166666666666,0.6666666666666666,43.0,38.333333333333336,7.25
19,5,150,39.75,2.73625,0.6666666666666666,53.833333333333336,38.333333333333336,1.4166666666666643
20,5,180,38.333333333333336,2.8789166666666666,0.5,30.333333333333332,38.333333333333336,0.0
21,6,0,75.91666666666667,3.4148333333333336,1.0,40.25,41.77777777777778,34.13888888888889
22,6,30,70.75,3.29625,1.0,37.666666666666664,41.77777777777778,28.97222222222222
23,6,60,71.0,3.1606666666666663,1.0,49.833333333333336,41.77777777777778,29.22222222222222
24,6,90,60.166666666666664,3.2129166666666666,1.0,44.916666666666664,41.77777777777778,18.388888888888886
25,6,120,50.833333333333336,3.4568333333333334,0.8333333333333334,47.083333333333336,41.77777777777778,9.055555555555557
26,6,150,43.916666666666664,3.624166666666667,0.75,43.583333333333336,41.77777777777778,2.1388888888888857
27,6,180,41.77777777777778,5.827083333333333,0.4166666666666667,27.166666666666668,41.77777777777778,0.0
28,7,0,93.16666666666667,1.9106666666666667,1.0,46.833333333333336,28.75,64.41666666666667
29,7,30,83.41666666666667,1.9565000000000001,0.9166666666666666,45.083333333333336,28.75,54.66666666666667
30,7,60,85.0,1.9886666666666668,1.0,38.083333333333336,28.75,56.25
31,7,90,64.75,2.204833333333333,0.8333333333333334,36.416666666666664,28.75,36.0
32,7,120,33.916666666666664,2.269416666666667,0.8333333333333334,47.416666666666664,28.75,5.166666666666664
33,7,150,29.166666666666668,2.08625,0.5833333333333334,39.083333333333336,28.75,0.41666666666666785
34,7,180,28.75,2.563833333333333,0.5833333333333334,37.583333333333336,28.75,0.0
35,9,0,83.25,1.8185,1.0,46.666666666666664,10.25,73.0
36,9,30,80.83333333333333,1.9310833333333333,1.0,41.833333333333336,10.25,70.58333333333333
37,9,60,71.16666666666667,1.9736666666666667,1.0,43.833333333333336,10.25,60.91666666666667
38,9,90,53.416666666666664,2.2726666666666664,1.0,34.5,10.25,43.166666666666664
39,9,120,27.5,2.125166666666667,0.9166666666666666,44.5,10.25,17.25
40,9,150,13.916666666666666,2.1597500000000003,0.9166666666666666,39.083333333333336,10.25,3.666666666666666
41,9,180,10.25,2.5050833333333333,0.5833333333333334,40.083333333333336,10.25,0.0
42,10,0,97.16666666666667,3.60075,1.0,39.25,12.583333333333334,84.58333333333334
43,10,30,97.58333333333333,3.0088333333333335,1.0,44.25,12.583333333333334,85.0
44,10,60,82.41666666666667,4.299166666666666,0.8333333333333334,22.5,12.583333333333334,69.83333333333334
45,10,90,67.41666666666667,3.574583333333333,0.9166666666666666,47.666666666666664,12.583333333333334,54.833333333333336
46,10,120,21.166666666666668,3.590666666666667,0.6666666666666666,47.583333333333336,12.583333333333334,8.583333333333334
47,10,150,5.5,3.9465833333333333,0.3333333333333333,42.333333333333336,12.583333333333334,-7.083333333333334
48,10,180,12.583333333333334,3.7270833333333333,0.5833333333333334,46.916666666666664,12.583333333333334,0.0
49,12,0,100.0,2.024583333333333,1.0,36.0,24.25,75.75
50,12,30,100.0,1.9829166666666669,1.0,59.083333333333336,24.25,75.75
51,12,60,99.91666666666667,2.8251666666666666,1.0,41.5,24.25,75.66666666666667
52,12,90,96.91666666666667,2.3831666666666664,1.0,33.916666666666664,24.25,72.66666666666667
53,12,120,81.5,2.5496666666666665,1.0,37.083333333333336,24.25,57.25
54,12,150,42.5,2.9114166666666663,1.0,48.0,24.25,18.25
55,12,180,24.25,3.115,0.5833333333333334,34.916666666666664,24.25,0.0
56,13,0,95.58333333333333,3.8355,1.0,43.0,34.0,61.58333333333333
57,13,30,94.91666666666667,4.47225,1.0,50.0,34.0,60.91666666666667
58,13,60,82.25,4.053083333333333,0.9166666666666666,29.833333333333332,34.0,48.25
59,13,90,73.27272727272727,3.924583333333333,0.8333333333333334,38.916666666666664,34.0,39.272727272727266
60,13,120,42.0,3.12525,0.9166666666666666,39.333333333333336,34.0,8.0
61,13,150,15.25,3.938,0.8333333333333334,42.416666666666664,34.0,-18.75
62,13,180,34.0,4.0151666666666666,0.5833333333333334,47.0,34.0,0.0
63,14,0,94.16666666666667,3.2444166666666665,1.0,37.666666666666664,8.666666666666666,85.5
64,14,30,97.83333333333333,3.293416666666667,1.0,39.75,8.666666666666666,89.16666666666666
65,14,60,95.08333333333333,3.157666666666667,1.0,40.25,8.666666666666666,86.41666666666666
66,14,90,71.0,3.3476666666666666,1.0,26.916666666666668,8.666666666666666,62.333333333333336
67,14,120,32.5,3.142916666666667,0.9166666666666666,43.333333333333336,8.666666666666666,23.833333333333336
68,14,150,14.25,3.4614166666666666,0.8333333333333334,46.5,8.666666666666666,5.583333333333334
69,14,180,8.666666666666666,3.3501666666666665,0.6666666666666666,56.083333333333336,8.666666666666666,0.0
70,15,0,82.25,6.5255,0.8333333333333334,43.666666666666664,67.41666666666667,14.833333333333329
71,15,30,74.25,5.8068333333333335,0.75,34.916666666666664,67.41666666666667,6.833333333333329
72,15,60,77.58333333333333,5.247083333333333,0.9166666666666666,43.416666666666664,67.41666666666667,10.166666666666657
73,15,90,74.5,5.318583333333334,0.75,39.833333333333336,67.41666666666667,7.083333333333329
74,15,120,68.45454545454545,5.782583333333334,0.75,37.416666666666664,67.41666666666667,1.0378787878787818
