,subID_linear,r_squared_linear,nrmse_linear,aic_linear,PSE_linear,slope_linear,intercept_linear,bias_xmin_linear,bias_xmax_linear,flipped_linear,range_linear,bias_linear,subID_sigmoid,r_squared_sigmoid,nrmse_sigmoid,aic_sigmoid,center_sigmoid,PSE_sigmoid,sigma_sigmoid,bias_xmin_sigmoid,bias_xmax_sigmoid,flipped_sigmoid,range_sigmoid,bias_sigmoid
0,2.0,0.9530961137861896,0.0828354236051966,-34.6229050608404,0.3716399270412684,0.8569642881321101,0.18151785448161,0.18151785448161,0.0,False,0.8184821455183899,1.0,2.0,0.9822749213667846,0.0532147064167174,-37.06788678204211,0.4372722883193516,0.3796859105734871,0.1327831831594289,0.2265594982446717,0.0467206410998841,False,0.7267198606554442,0.8290375538744219
1,4.0,0.9448580711228168,0.0870018301043799,-40.93301324467219,0.3092833082224875,0.5014123458717483,0.3449215308851875,0.3449215308851875,0.153666123243064,False,0.5014123458717485,0.6917971755402982,4.0,0.9821782740800156,0.0494609315373556,-38.092010560743226,0.4930905716905406,0.3756759838011045,0.1383468150756227,0.373690485796444,0.1865967675811195,False,0.4397127466224364,0.6669623189600271
2,5.0,0.933279267508778,0.1064809226771258,-37.608336125139736,0.2809553445345831,0.574464293761011,0.3386011864235592,0.3386011864235592,0.0869345198154297,False,0.5744642937610112,0.7957056986268372,5.0,0.9997504474477206,0.0069149809947873,-65.63691087182268,0.4922106789360729,0.3859766688119623,0.0933276564230344,0.3857841078711412,0.1379089614751716,False,0.4763069306536871,0.7366607092064191
3,6.0,0.9562913666603952,0.0788388360826264,-46.61115604602232,0.256553720081547,0.3776785810624569,0.4031051550333066,0.4031051550333066,0.2192162639042365,False,0.3776785810624569,0.6477443050594449,6.0,0.9887929219359504,0.0412296975484968,-40.64035055206436,0.4755951801186796,0.3260227589463981,0.1302843737936778,0.4264223801753332,0.2468242203479713,False,0.3267533994766955,0.6333821512709926
4,7.0,0.9068074359323,0.1254227786955965,-31.22207928648914,0.3712013860131192,0.7560714241164074,0.2193452394430766,0.2193452394430766,0.0245833364405159,False,0.7560714241164075,0.8992191203860939,7.0,0.9847645461757336,0.0565194055152789,-36.2243973509191,0.4929899679410255,0.4338434734805569,0.0834563542585846,0.2892473181316446,0.0698110659530714,False,0.640941615915284,0.8055718260665925
5,9.0,0.9531134431874674,0.0860486713107916,-34.74574119053051,0.5162533253920144,0.8496428535720031,0.061369051447893,0.061369051447893,0.0889880949801038,False,0.8496428535720033,0.40815520183659165,9.0,0.9989177692047588,0.0135970401397635,-56.17064405391965,0.4654185811651646,0.4854443590207814,0.1121546277412847,0.1138317221716962,0.1736601577228783,False,0.7125081201054255,0.39594760802788304
6,10.0,0.8958635816008156,0.1317329497097195,-25.532366300186226,0.4516666651956104,1.0,0.0483333348043895,0.0483333348043895,0.0,False,0.9516666651956105,1.0,10.0,0.9859183696727806,0.0484902843047261,-38.36948554608069,0.4556937213439403,0.4498103732779405,0.087819854485503,0.0601077380086909,0.0260354003585572,False,0.9138568616327518,0.6977658249742159
7,12.0,0.7784892152827325,0.181412191928286,-23.786013849568928,0.1394023424197479,0.7728571384570235,0.3922619045432675,0.3922619045432675,0.0,False,0.6077380954567325,1.0,12.0,0.9991649892613028,0.0119690425444273,-57.956044507639646,0.2518827207928671,0.2043152503736859,0.0716821933194819,0.2644067750614958,2.2223822905509397e-05,False,0.7355710011155987,0.9999159554247103
8,13.0,0.862489710118539,0.136450416804422,-26.95091325713575,0.3486162621535387,0.8235714301777717,0.212889606394981,0.212889606394981,0.0,False,0.787110393605019,1.0,13.0,0.9382450472711954,0.0926975040464688,-29.297792245730243,0.4141226548284947,0.3821034493568899,0.1179941810623751,0.1758270782334301,0.0497317449212381,False,0.7744411768453318,0.7795176254881571
9,14.0,0.8941138939912139,0.1339367055996174,-25.75071183298926,0.4092857140179812,1.0,0.0907142859820187,0.0907142859820187,0.0,False,0.9092857140179813,1.0,14.0,0.997763623912523,0.0195186801921639,-51.10936638745184,0.4219624455347122,0.4092556169221096,0.0870012102271138,0.0935922305681401,0.0228259175792735,False,0.8835818518525863,0.8039316211217313
10,15.0,0.5817678068181813,0.1934717406954117,-35.1692904435263,0.0,0.2156331194422681,0.5996185047623882,0.5996185047623882,0.1847483757953436,False,0.2156331194422682,0.76446178392441,15.0,0.5947639914273273,0.1906935355557844,-19.199227316324126,0.3136100556149055,0.0,0.2713941273073665,0.5829350753595383,0.200760039740465,False,0.21630488489999675,0.7438288999481042
11,16.0,0.915275306979724,0.1145957750843501,-33.02132200133914,0.346782470920435,0.7005714320705224,0.2570541077303165,0.2570541077303165,0.0423744601991611,False,0.7005714320705223,0.858482240047512,16.0,0.9864556129835156,0.0498948443391152,-37.96972641987914,0.4059741553297414,0.3580520353266639,0.1042845452634347,0.2723863218085597,0.1220754216102459,False,0.6055382565811944,0.6905265880736204
12,18.0,0.9278730390012244,0.1040067569778056,-35.092838132465104,0.4334909115492327,0.6593506524856124,0.2141774846234305,0.2141774846234305,0.1264718628909571,False,0.6593506524856123,0.628732995340273,18.0,0.9871876268029156,0.0488860903177657,-38.25567324362672,0.4326464977603698,0.4154737835908967,0.1101507027287277,0.2397086296427709,0.1858947427482939,False,0.5743966276089353,0.5632207007573123
13,19.0,0.9285607144093392,0.1018024415953486,-30.37159847582716,0.4057692329769016,0.9285714310260584,0.1232142826682924,0.1232142826682924,0.0,False,0.8767857173317076,1.0,19.0,0.9766067508580056,0.0585134419916922,-35.73898282904759,0.419369813038554,0.39827608576569,0.1267722467127572,0.1430994749258725,0.0518929533372301,False,0.8050075717368974,0.7338719569807546
14,20.0,0.9530314261441132,0.0860378146968668,-38.27276064507921,0.3997170667895107,0.6598214286794778,0.2362581139233748,0.2362581139233748,0.1039204573971473,False,0.6598214286794779,0.6945120411502004,20.0,0.9779265814266668,0.0593504009532307,-35.54014963091534,0.4870885193358938,0.429258748220075,0.1265042123166133,0.2918202970023544,0.162174989101824,False,0.5460047138958215,0.6427826586185971
15,21.0,0.890404739688702,0.1353689200129746,-27.14972762523518,0.3662801960759445,0.9241071470388303,0.1615178529874355,0.1615178529874355,0.0,False,0.8384821470125645,1.0,21.0,0.9700584354064048,0.0735505415704775,-32.536954561310395,0.4546195790999239,0.4150126410622004,0.1018266097413285,0.1865833129420116,0.02791700452477,False,0.7854996825332184,0.8698509873809704
16,22.0,0.8515370516544294,0.1669341416349127,-33.630183529611735,0.2457069847926134,0.4887500068111456,0.3799107095090641,0.3799107095090641,0.1313392836797902,False,0.48875000681114567,0.743101642191565,22.0,0.9972596797890976,0.0226836596819058,-49.00554632105479,0.4217477677037851,0.3606846064707517,0.0588930867687256,0.3936493441256182,0.19918884385438,False,0.4071618120200019,0.664008075233675
17,25.0,0.7362856549552814,0.2038920015110941,-21.27013409450295,0.2022597682267301,0.8244642839409487,0.3332440450188867,0.3332440450188867,0.0,False,0.6667559549811133,1.0,25.0,0.9994967664895562,0.0092539723407579,-61.55783328356672,0.2503879303586667,0.2284832660210632,0.0582139694219195,0.1824530341353474,0.0216687289659995,False,0.7958782368986531,0.8938441024770057
18,26.0,0.887934627265659,0.1394527840626513,-25.359233100857864,0.3756926387900402,1.0,0.1243073612099597,0.1243073612099597,0.0,False,0.8756926387900403,1.0,26.0,0.9930472883902856,0.0352720764836466,-42.82529127546671,0.3836805987411157,0.367144781629836,0.0860916777877403,0.1119179311480849,0.0181845768385378,False,0.8698974920133773,0.8602288524644923
19,27.0,0.8460636038573324,0.1622033741242187,-23.48644119317255,0.3874895892274624,0.9874025924465016,0.1173917750507736,0.1173917750507736,0.0,False,0.8826082249492264,1.0,27.0,0.9749273211652416,0.0736202864325019,-32.523685244901856,0.3730254024291578,0.3594066239689627,0.0632638566257507,0.1160095977043726,0.0208763065611357,False,0.8631140957344917,0.8474911885693991
