,stim_file,condition,subtlety,pred_color,slider,button_response,RT,accuracy,subID,trial_ind,aq_social_skill,aq_attn_switch,aq_img,aq_attn_to_det,aq_comm,panas_pos,panas_neg,ffi_neuroticism,ffi_extraversion,ffi_openness,ffi_agreeableness,ffi_conscientiousness,ucla,friend_num
24,5d69d5c8-83dd-43c4-be85-f1c2ff45960d,chase,120,grey,100.0,grey,2.03,1,1,24,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
25,7da9ad01-3df5-45e9-8edf-4af0795536e1,chase,120,black,100.0,black,2.233,1,1,25,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
26,37b0c4a3-57d4-4b4a-9bf7-e4d2eb48cee6,chase,0,black,100.0,black,2.531,1,1,26,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
27,0ea53c63-8350-4a50-8dec-ccbbf0e401dc,wander,180,black,24.0,black,4.001,1,1,27,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
28,987cd79f-7d6a-426b-8983-8bee8675f0ba,chase,120,black,82.0,black,3.765,1,1,28,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
29,87b8564c-7590-4001-b1e8-6f26c4e4bf8a,chase,120,grey,25.0,grey,3.52,1,1,29,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
30,cca827ad-af9d-4cfd-ae71-7e028e3f8520,chase,60,black,100.0,black,2.248,1,1,30,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
31,802575f0-631d-4eeb-9e49-3b401b11b953,wander,180,black,17.0,grey,4.582,0,1,31,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
32,72e764e1-0b34-4efd-96db-5df7934b2395,chase,0,grey,100.0,grey,3.034,1,1,32,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
33,00ccc21a-d63a-41eb-8d3b-a2315d7b0d3e,wander,180,grey,0.0,black,2.84,0,1,33,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
34,4bc5af99-ede5-49ec-a929-d4fc6fae9b43,wander,180,black,0.0,grey,2.845,0,1,34,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
35,2a1ab94f-201b-4fa2-9947-1eab7365fb0f,chase,150,black,56.0,black,4.332,1,1,35,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
36,16088d09-c11d-4b03-8c77-f92a33554c1e,chase,90,black,100.0,black,2.625,1,1,36,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
37,99fed5db-be9d-4d5f-8fef-1baaad5f1b70,chase,150,grey,0.0,grey,2.265,1,1,37,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
38,68c0fec8-cf83-48bf-8079-a5f414fe7504,chase,90,black,82.0,black,2.862,1,1,38,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
39,0a730462-ba50-4dbe-97c6-911f61a40346,chase,30,grey,100.0,grey,2.635,1,1,39,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
40,9dfa52b0-9e95-49de-bddb-e53316f2b4ae,chase,0,grey,100.0,grey,2.365,1,1,40,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
41,9996b324-9da6-4bd7-a5d5-305513d257ce,chase,120,grey,20.0,grey,3.163,1,1,41,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
42,8bb5c4ad-b420-47c6-8e6a-c74a127a30ce,chase,60,grey,100.0,grey,4.371,1,1,42,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
43,0b80e3d6-cded-42b9-b7ff-67c9cdbcb3c5,chase,30,grey,100.0,grey,2.599,1,1,43,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
44,9c46112a-3307-42b7-8386-bdf38ba679af,chase,150,grey,39.0,grey,5.8,1,1,44,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
45,816e0a69-dfb6-4a6f-8ffe-97d092e27835,chase,0,black,100.0,black,2.413,1,1,45,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
46,89ce6bb6-b2cb-44cb-ba57-d78ab0224625,chase,90,black,78.0,black,3.832,1,1,46,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
47,804f9681-f112-463c-a764-a40a823d6845,chase,60,black,100.0,black,2.904,1,1,47,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
48,ceedd529-39a5-4c29-8103-d6ac89521de6,chase,90,grey,100.0,grey,2.419,1,1,48,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
49,4cd79935-2124-4c73-9bff-ce0554f08119,chase,150,black,0.0,grey,2.865,0,1,49,8.0,16.0,8.0,20.0,12.0,16.0,9.0,43.0,38.0,29.0,42.0,46.0,58.0,1.0
