subtlety,most_representative_words
180,"['motion', 'misalign']"
150,"['motion', 'lateralize', 'wiggle']"
120,"['motion', 'lateralize']"
90,"['motion', 'lateralize']"
60,"['reach', 'pursue']"
30,"['pursue', 'reach']"
0,"['pursue', 'flank', 'maneuver', 'reach']"
