subID,r_squared,nrmse,aic,center,obj_center,sigma,bias_xmin,bias_xmax,bias_lower,bias_upper,flipped
26287.0,0.9324599426197582,0.08733662382505394,-30.13179542097935,0.39616367986888806,0.34264464188105564,0.19607894856091704,0.2258548962219057,0.04424382938033078,0.124,0.005999999999999894,False
26289.0,0.9617907879577701,0.07074913486180426,-33.080609588893644,0.616799030185699,0.6884842047266759,0.16238251232647394,0.2136944429509667,0.35110696211842285,0.203,0.30900000000000005,False
26290.0,0.8745677854039037,0.10947119842674327,-26.969313093457224,0.6375969577521261,0.8014270007972493,0.23484759678146105,0.09185375506990212,0.39467729719032507,0.05,0.2759999999999999,False
26292.0,0.9400938180135441,0.07673842975230781,-31.942937188088635,0.36343187198804333,0.2097072293918236,0.21014757517111238,0.4040151617072363,0.1534155885527202,0.321,0.128,False
26293.0,0.9829884911947203,0.04603106083053254,-39.09814424881792,0.5006434286885214,0.4282296456588167,0.17172480430729184,0.2693855201239313,0.1306307747620521,0.235,0.09599999999999997,False
26295.0,0.9693900063900912,0.062058614862748204,-34.91546315349074,0.5524735517846305,0.4707845817556935,0.17428313620968486,0.23947534362335707,0.0888566005665975,0.209,0.03500000000000003,False
26296.0,0.9454415384846081,0.08639064639115684,-30.28426215751886,0.7263638615360138,,0.12910379652146323,0.5055491638263611,0.35840396318041534,0.505,0.3420000000000001,False
26297.0,0.6152146967387615,0.19056759898265174,-19.20847615880116,0.32182004151506316,,0.26689749756663933,0.6495547348367174,0.21880363668343716,0.606,0.20499999999999996,False
26298.0,0.9476913882120314,0.07656054906721936,-31.975427041942687,0.5272455695919473,0.38643359632684615,0.19989016359400807,0.32439050682046283,0.11210706118226499,0.28,0.05500000000000005,False
26299.0,0.9292332398052212,0.08911870343060582,-29.84900472083723,0.2891658373258387,0.22905095792070373,0.16815301546646874,0.3473260780913511,0.16245649895562797,0.258,0.15400000000000003,False
26300.0,0.977338022277338,0.05622509685163602,-36.29748881992107,0.5050221883816662,0.39330220003437555,0.15309631456306605,0.35662945299510895,0.18477952357716776,0.33899999999999997,0.16599999999999993,False
26301.0,0.9616172533691861,0.08026125515724553,-31.314555858759235,0.715785868773783,0.6960878604221731,0.09099444735360718,0.16928442294335042,0.12027630982225035,0.16899999999999998,0.08900000000000008,False
26304.0,0.9542000532008929,0.08297132598652059,-30.84964281282376,0.44702684601682124,0.2413509821969727,0.14627430789929843,0.4228373711252551,0.10333096440342504,0.4,0.09200000000000008,False
26306.0,0.43480393962119734,0.2614116107301171,-14.783226858132934,0.6055563028272052,0.6605190918038059,0.27389544273028765,0.3556082062889884,0.41728831344079453,0.324,0.356,False
26307.0,0.9908295647604795,0.03542385759148502,-42.76517639609055,0.5682849967542334,0.4993985308774401,0.14516737531483156,0.2124497744731158,0.051408578304302344,0.19699999999999998,0.013000000000000012,False
26309.0,0.9519119073933348,0.07496348952403406,-32.27055726449004,0.43696420418392934,0.2584649680981649,0.18736961808576727,0.36904486679112053,0.03478171863034607,0.308,0.0022222222222222365,False
26310.0,0.9910063382764187,0.04284708269594724,-40.101648052432274,0.3599275449128889,0.3491614571094176,0.06984132548449229,0.07930347797136691,0.003096603344086901,0.07400000000000001,0.0030000000000000027,False
26311.0,0.9079466317786729,0.10807860037128919,-27.148551494852434,0.6705573215571689,0.6359620436080551,0.16381021100722823,0.11081556122677041,0.10759002225710179,0.096,0.0009999999999998899,False
26313.0,0.9859470039404543,0.04388921251650526,-39.76521404710881,0.6058780637305503,0.48968584561075923,0.14551170723857712,0.32032420576077036,0.11804560035014733,0.311,0.07999999999999996,False
26314.0,0.9225036168641253,0.09182736853466386,-29.429828510433317,0.5103282490488673,0.3695697266354701,0.21396769950517366,0.36974931752264956,0.21268317521730318,0.327,0.16599999999999993,False
26315.0,0.7627980211979015,0.16421595862442084,-21.292020551357854,0.5187907902376918,0.35299073135652215,0.21921769298627286,0.39904781651626625,0.2492818828803277,0.36200000000000004,0.20599999999999996,False
26316.0,0.8662216308150644,0.11854735817349425,-25.854198516951897,0.5036584409330996,-0.032168738676537245,0.21740022011428847,0.5036291410459983,0.23551841078126,0.475,0.20599999999999996,False
26317.0,0.9458673592889035,0.08601390918766659,-30.345447654923632,0.6915844159657935,0.6414409041132052,0.13914821008434972,0.18045346773879964,0.11174155964416954,0.175,0.03400000000000003,False
26318.0,0.9460529417501362,0.08281167457676211,-30.876607223167056,0.7215337286660878,0.6131876342547877,0.14257103168512497,0.351005141245927,0.23424697540215977,0.348,0.17500000000000004,False
26319.0,0.9804153815852675,0.05015836579705005,-37.89597948188566,0.5227381500421454,0.477139175951471,0.15657134766910583,0.2415144368422718,0.15375878431598045,0.21899999999999997,0.12400000000000011,False
26320.0,0.8919598526263867,0.10405190371619348,-27.68011602199783,0.567572299325449,0.45799021979624455,0.21811413436443958,0.36356621719720783,0.2776227464829393,0.33299999999999996,0.2240000000000001,False
26321.0,0.9570685200772171,0.0763784621484011,-32.00876344248163,0.6219777661274639,0.5270027383650315,0.14786967044316757,0.2683076338819075,0.09053978356098324,0.258,0.040000000000000036,False
26323.0,0.9626647766242079,0.06890449922376643,-33.450473232398416,0.5053601605929868,0.35361404251930106,0.1771384828449376,0.37581085439674966,0.17144574749390362,0.348,0.14200000000000002,False
26326.0,0.9625505688187914,0.06585365288161453,-34.084485313921306,0.5876188952304348,0.5369848244009214,0.1860880762835151,0.2364497474645947,0.18416809962164826,0.209,0.118,False
26327.0,0.8754412531028809,0.1206675763845728,-25.60602143455915,0.5483247304755532,0.43568631110882383,0.17299112292125557,0.37254954122368805,0.2518417626452232,0.35555555555555557,0.22299999999999998,False
26328.0,0.12704174013243086,0.27830895764097374,-13.906327935612623,0.9242751317286191,,0.6990198562795177,0.5915253413962173,0.4046753272489838,0.589,0.399,False
26329.0,0.9325240996494045,0.09915653838945095,-28.354776744758624,0.47770313329917136,0.37992076881646597,0.14767695020755922,0.3835828354275481,0.25688949353577684,0.369,0.246,False
26330.0,0.907041688942763,0.10469695970769599,-27.59359279521409,0.6241565138955729,0.6211093202465862,0.18696295735880808,0.10344410792862013,0.16847389512745936,0.07400000000000001,0.06700000000000006,False
26333.0,0.8777944914828751,0.11219929149470007,-26.624700408084593,0.5427530779312345,,0.2162343060682374,0.7864304342903821,0.056675867110248745,0.772,0.03599999999999992,False
