subID,r_squared,nrmse,aic,center,obj_center,sigma,bias_xmin,bias_xmax,bias_lower,bias_upper,flipped
30002.0,0.96057528853902,0.07248749776008538,-32.74077647352392,0.3341423866350744,0.4089609578363375,0.14270350970496765,0.0712757840742223,0.2123953879576982,0.0016666666666666666,0.20499999999999996,False
30004.0,0.8023230524554918,0.14473964144315143,-23.059462175130523,0.4773755626602948,0.8639344253572651,0.22457277009845755,0.10073225139530284,0.4661888280958323,0.04333333333333333,0.41833333333333333,False
30005.0,0.870138903618767,0.12488289771576802,-25.125303186590564,0.42888961636540746,0.4692742547517395,0.20323453638061198,0.1211174059019433,0.1620699789163289,0.028333333333333335,0.11333333333333329,False
30006.0,0.8354630080068705,0.13705058909654372,-23.823672209711983,0.7360090882924172,0.7717213871228109,0.16748323653874955,0.05014152745931473,0.2708236796665875,0.04,0.1283333333333333,False
30008.0,0.9175803889338501,0.09996062675410647,-28.24170464180341,0.5462605399424845,0.6599839226839072,0.18920077434268998,0.19850155036658548,0.36234965666624186,0.1716666666666667,0.31999999999999995,False
30009.0,0.9722441743384135,0.06256541962133548,-34.801595780100826,0.43509417561119945,0.5155656189266429,0.14659812253874518,0.17084520972616235,0.3056845887681491,0.14333333333333334,0.29400000000000004,False
30010.0,0.9081713969063827,0.11233198464837572,-26.608153008545067,0.39788365622675964,0.47051370383513486,0.14568095842266562,0.09423711079271264,0.238080752466599,0.05,0.22666666666666668,False
30011.0,0.8903388393254776,0.12838792380350625,-24.737785209335236,0.2809213663564503,0.29025950202370837,0.11611481819541924,0.1909386520429251,0.1631047796647318,0.13333333333333333,0.16166666666666674,False
30013.0,0.9804054411206257,0.049751501805352046,-38.010004803072626,0.3657960583042685,0.364867959583109,0.1563841755139319,0.26939138402631263,0.22790020325692173,0.22,0.21833333333333327,False
30014.0,0.9892952519814536,0.04345351815190387,-39.904888445939775,0.4300360306618853,0.4300360306618853,0.10905015822802046,0.019012370012222984,0.005342939095240862,0.0,0.0,False
30016.0,0.9250980286948656,0.10275340418169236,-27.855926136055512,0.3067595038251592,0.3440498506713938,0.13539841972449748,0.1995407927058782,0.2304289811730582,0.14,0.22666666666666668,False
30017.0,0.9097966088130613,0.11575809762585842,-26.187536828007257,0.6086798382266705,0.6113297241053477,0.12498160202679569,0.030515645051819265,0.07280768834751494,0.023333333333333334,0.033333333333333326,False
30018.0,0.8029037552688493,0.13573980295221413,-23.958216151090145,0.4916277467167387,0.4797263676339382,0.26509175359965703,0.2637847308230785,0.24395740830861767,0.1733333333333333,0.15833333333333333,False
30019.0,0.8567083089182157,0.15009868129487383,-22.550472562485407,0.2926587409309303,0.24735923394628537,0.10873916577737279,0.29134400735766885,0.12426695987996406,0.2516666666666667,0.1233333333333333,False
