subID,r_squared,nrmse,aic,obj_center,slope,intercept,bias_xmin,bias_xmax,bias_lower,bias_upper,flipped
26061.0,0.94609595399168,0.07574837276631498,-37.482895126328216,0.5983498403933268,0.649285709189474,0.11149999953681017,0.11149999953681017,0.23921429127371585,0.0,0.0,False
26064.0,0.9556985457497276,0.07654932163473027,-35.20688570932837,0.5180863997042755,0.8469047654223432,0.06123015918994423,0.06123015918994423,0.0918650753877126,0.0,0.0,False
26065.0,0.9362013332196676,0.08557650454137743,-41.62707666170591,0.4667852958412951,0.4415714350050335,0.29388094707611023,0.29388094707611023,0.2645476179188563,0.0,0.0,False
26066.0,0.9370674058207074,0.0828830682549838,-32.83031288190646,0.5702285464888407,0.8337857143050968,0.024551584048644853,0.024551584048644853,0.14166270164625827,0.0,0.0,False
26067.0,0.7954206255509777,0.14071891866428604,-40.97856063472628,0.5930092926756005,0.23807143762838154,0.3588214251657301,0.3588214251657301,0.4031071372058883,0.0,0.0,False
26068.0,0.8762534896143033,0.11306402053784723,-39.485989889943724,0.3561151167287019,0.357428573067751,0.3727142819798045,0.3727142819798045,0.2698571449524445,0.0,0.0,False
26069.0,0.922610499142511,0.0874888735427739,-43.98915617425834,0.41034629999903033,0.33621428666321274,0.3620357114609373,0.3620357114609373,0.3017500018758499,0.0,0.0,False
26071.0,0.9166136440699061,0.10155372091354714,-31.91783126364698,0.34711194465766415,0.7646428594462515,0.23458333008901466,0.23458333008901466,0.0007738104647337929,0.0,0.0,False
26072.0,0.8499363462762566,0.13199016766309718,-39.16841683848606,0.5615989542301811,0.32700000811908975,0.31635713740705845,0.31635713740705845,0.3566428544738518,0.0,0.0,False
26073.0,0.9635615693808934,0.06635148227606151,-41.65358823908506,0.3360497468664876,0.5916428581996201,0.30117856726665243,0.30117856726665243,0.10717857453372748,0.0,0.0,False
26074.0,0.9108749427525321,0.09883397623919248,-33.94453311069907,0.4276676787611703,0.6379285738964886,0.22717856758626503,0.22717856758626503,0.13489285851724642,0.0,0.0,False
26075.0,0.8876873231898457,0.1078866163099158,-49.49713253161177,-1.1287702495298453,0.18471429145057133,0.70849999685239,0.70849999685239,0.10678571169703877,0.0,0.0,False
26076.0,0.9280325719283893,0.096140215971612,-39.96637372831714,0.0817113747085632,0.4660714272858675,0.4619166629640896,0.4619166629640896,0.0720119097500429,0.0,0.0,False
26077.0,0.9579060722835354,0.0656550448968358,-35.93235703994195,0.50074954155014,0.8259047708614246,0.08642856462706827,0.08642856462706827,0.08766666451150718,0.0,0.0,False
26079.0,0.31943783241763224,0.29386720481526013,-18.138231386937484,1.8060975125357828,0.2767846124200317,0.0001,0.0001,0.7231153875799683,0.0,0.0,False
26080.0,0.9036887952001988,0.10618253191032563,-35.51379826673531,0.5994045093765046,0.5464285721413308,0.17246824980632172,0.17246824980632172,0.2811031780523475,0.0,0.0,False
26081.0,0.8239066143810216,0.1402894293568295,-34.52107697042955,0.43309191207114023,0.41421429303872137,0.3206071398206646,0.3206071398206646,0.26517856714061405,0.0,0.0,False
26082.0,0.9029458971617097,0.12111143935518341,-39.81890088066315,0.22861989631658666,0.4000714264097627,0.4085357119749711,0.4085357119749711,0.19139286161526625,0.0,0.0,False
26083.0,0.8105547048730004,0.15615983956323484,-44.319942771034256,0.09041395500115657,0.19671428872490893,0.48221428315114157,0.48221428315114157,0.3210714281239495,0.0,0.0,False
26084.0,0.877555616965486,0.122492260130629,-29.782689539661007,0.48523374883593623,0.7191428596662844,0.1510476142555332,0.1510476142555332,0.1298095260781824,0.0,0.0,False
26085.0,0.7918466212503373,0.212041919228732,-27.417658610877098,0.17806563283311977,0.6203571400249,0.3895357132789219,0.3895357132789219,-0.009892853303821836,0.0,0.0,False
