,chargeSpeed,agent1_color,agent2_color,sceneKeys,metadata_flname,agent1_clipID,agent2_clipID,reps
0,1.5,black,grey,chSp1.5_ag1Lblack_rep4_avgCDelay600,50919f52-6a9c-4824-b24f-2f1aebd58e1b,a0d68eb2-025a-4447-b3d9-0cf18ab4e9b2,9c3a31bb-497d-49c1-9648-71b5ee9fce2f,0
1,1.5,black,grey,chSp1.5_ag1Lblack_rep1_avgCDelay600,7e595f18-f375-4ca5-b922-61b8d693804d,c5a4a5f1-440a-4239-9285-8fc78fcd3f2b,3adf059c-1397-4c86-88a6-a095522d5d7b,1
2,1.5,black,grey,chSp1.5_ag1Lblack_rep4_avgCDelay600,81e3fe3f-5a7c-42d3-8ea7-c2bf3831288b,bb9ab53d-f6c7-4b35-b3ba-0e463073d0f2,a0bea658-fff0-40c8-bee5-a1cfb6579e57,2
3,1.5,black,grey,chSp1.5_ag1Lblack_rep4_avgCDelay600,1f6c6525-a740-48c2-8dfc-9c4fb520c630,1722cf09-248f-4064-9794-cfc534a0fee6,385354da-9d41-465c-93ef-34672c419b0d,3
4,1.5,black,grey,chSp1.5_ag1Lblack_rep2_avgCDelay600,1b1159fc-de2b-4ae5-a736-d98d8524a366,53f5859b-5ef6-4835-a6d3-5942f8d735fc,44504d79-5aa3-4e6a-8493-492241e89405,4
5,1.5,black,grey,chSp1.5_ag1Lblack_rep1_avgCDelay600,15dfbaca-4429-4c18-90f4-8d4804129e6f,94f58bc7-f048-4287-b391-ac406748903e,ae890b33-4043-4b19-b41d-23bc56b4d9e4,5
6,1.5,black,grey,chSp1.5_ag1Lblack_rep0_avgCDelay600,fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce,3dfef7b9-598e-47c0-af7c-94fcb2033847,74bdd084-fd10-46a7-801b-9b28c653241a,6
7,1.5,black,grey,chSp1.5_ag1Lblack_rep4_avgCDelay600,e4bc0778-6eb7-4065-bf77-a9b6e293735f,00ca0a65-0dcb-45d1-9d42-e3ce1e56a035,3c7a90d4-2b5f-4c44-ba59-88902d141f01,7
8,1.5,black,grey,chSp1.5_ag1Lblack_rep4_avgCDelay600,0e704828-9ccd-480e-8056-3a2a8158df0f,a90115c2-b870-4bad-b7f0-234e4bae37e3,4ec63f8d-2919-47b1-922c-54a4712c6a70,8
9,1.5,black,grey,chSp1.5_ag1Lblack_rep2_avgCDelay600,29e7c94f-a6bf-4f1d-8ea1-46efbdb6a836,489903fc-4f74-44ed-9f65-a45a49193570,bae0f059-9c6b-4ffe-a900-2b32440a2733,9
