,subID,R2,RMSE
0,2.0,0.9355688131422313,0.0991142968396222
1,4.0,0.8899697267946811,0.1744042215211552
2,5.0,0.5496971200967825,0.3308326132604504
3,6.0,0.12897023118805573,0.683820359812832
4,7.0,0.9482396444534497,0.09347323450830937
5,9.0,0.9940200976813194,0.07607398574787039
6,10.0,0.9237511812453968,0.17085119739328977
7,12.0,0.9317888687616462,0.12168370139251568
8,13.0,0.9490796076092202,0.10170754684841006
9,14.0,0.9777418127383731,0.08806876251619965
10,15.0,0.6177663196560446,0.24655674301358682
11,16.0,0.909920867323378,0.15870725996684976
12,18.0,0.9475999093255427,0.14662061975831772
13,19.0,0.9698232982083534,0.07402051012853138
14,20.0,0.9299745040993419,0.1637357718976445
15,21.0,0.9203460657144132,0.11543258930536937
16,22.0,0.9825900050524897,0.09989631419771527
17,25.0,0.9379075835389779,0.11891226161013413
18,26.0,0.9492175874096135,0.10084221271752473
19,27.0,0.751213573629409,0.23623849892482635
20,28.0,0.9075912611776392,0.14280644420275967
21,29.0,0.93435488838671,0.1169028670017601
22,31.0,0.832406460760128,0.1970427935740229
23,33.0,0.9449277295989319,0.11973169929118521
24,34.0,0.39089594344905054,0.26492798956956676
25,35.0,0.9535915193271095,0.0986281339741052
26,37.0,0.9809400752079327,0.06803958651437889
27,39.0,0.9772223457400189,0.05893464298475226
28,40.0,0.9703527629476545,0.08071540142256266
29,41.0,-0.03189195329500372,0.3781206488656407
30,42.0,0.9906138852168537,0.060265970705891944
31,43.0,0.7518465550675414,0.24788980294406815
32,44.0,0.9730416563119884,0.09313660385199166
33,45.0,0.9745381554517565,0.12009190027322536
34,46.0,0.9703685230420135,0.101639872491846
35,47.0,0.940577244383668,0.09895820609756699
36,48.0,0.9584961899023703,0.17265668001330955
37,50.0,0.7941133608528858,0.23778759240133385
38,55.0,0.8456827599597049,0.21941642713259538
39,60.0,0.959190590777067,0.08039240796795112
40,61.0,0.8526047950950526,0.17890836027925586
41,62.0,0.8866909460222757,0.1604109193300868
42,63.0,0.9954669079062083,0.029088926821176923
43,65.0,0.9155425608425328,0.13706439652875993
44,66.0,0.9333067751593838,0.13426292059637493
45,69.0,0.9532193019807471,0.11019712736396772
46,70.0,0.9547014702572612,0.09919911005973052
47,71.0,0.922029935005944,0.10889078366965112
48,73.0,0.9934483164128841,0.04449127261950775
49,74.0,0.928571013413462,0.11385039533147384
50,75.0,0.9710841383077382,0.10826223522232882
51,78.0,0.9840362989143479,0.1103147464269941
52,81.0,0.9668453948509524,0.10062999172568596
53,82.0,0.5086758087970025,0.2535490802561697
54,83.0,0.9872427793260284,0.08645750416878144
55,84.0,0.9941131789154561,0.03411598351113275
56,85.0,0.9930812663386094,0.035970727326445885
57,86.0,0.9788742612071378,0.05740185244155801
58,87.0,0.935424738094846,0.14774018802740904
59,88.0,0.983539156615851,0.05490864925732603
60,89.0,0.9779305170335604,0.06601982155252344
61,90.0,0.9768426016269092,0.06743911542509598
62,92.0,0.9094200910431173,0.11517711454735093
63,93.0,0.7491729188945452,0.22400512213353166
64,94.0,0.9471273369361608,0.10125579254252934
65,96.0,0.9494895338922298,0.08848627179654545
66,98.0,0.9573791523155514,0.08306772408946038
67,101.0,0.9256324110706715,0.09814806633048824
68,102.0,0.9723500304651906,0.10733821187132515
69,104.0,0.9235320064083551,0.1133858230202811
70,105.0,0.9649182462923791,0.09206923641250078
71,106.0,0.8328684142871126,0.26553167639216996
72,107.0,0.9801996860980723,0.17137447418204113
73,108.0,0.8805814078240213,0.19807017915231045
74,111.0,0.9719406715169157,0.06702403139693101
75,112.0,0.9211169757166775,0.12555448022204177
76,113.0,0.9841371003471573,0.062055264615089735
77,114.0,0.9667731871057976,0.10899673616348951
78,115.0,0.991336980053405,0.05088578428902989
79,117.0,0.9675538389414302,0.07679775279979377
80,118.0,0.9882217437429157,0.06762659816237693
81,121.0,0.9592825714074446,0.14183568390009454
82,122.0,0.8209569743605405,0.23648387026215495
83,123.0,0.9741452366036751,0.07359931399508295
84,125.0,0.9448216809416535,0.11293923330382336
85,127.0,0.9689627459530912,0.0818846829341373
86,128.0,0.977556176523669,0.06461559045003738
87,129.0,0.868508020068515,0.14566932178008948
88,130.0,0.8741175216852666,0.14541527997632536
89,133.0,0.6633274797135733,0.22262783519237642
90,134.0,0.9934280437931733,0.03872703642537814
91,135.0,0.9374175879216377,0.11940177667244413
92,137.0,0.9530528265510192,0.12525426221520097
93,138.0,0.9804390088772414,0.061842452232914645
94,143.0,0.5726340590953786,0.24431872276315864
95,144.0,0.8877042016503787,0.21868334138641274
96,145.0,0.9309249775311598,0.24843924031915765
97,146.0,0.9327084108973269,0.09361315950840805
98,148.0,0.5916249650881753,0.22949831138924293
99,149.0,0.14331861317424544,0.44490252680240494
100,150.0,0.9121956610269648,0.1292218090801888
101,151.0,0.9508038745252598,0.2003516860955868
102,152.0,0.9305243645730416,0.13436904926098084
103,154.0,0.9659879448721367,0.13859202039768614
104,158.0,0.9588188543449202,0.09230277889207698
105,159.0,0.959736841264272,0.10981053235304988
106,160.0,0.869444137848485,0.15915091820730193
107,161.0,0.9331448067612814,0.2934682148315609
108,162.0,0.9749678011192907,0.09034344369608811
109,163.0,0.9292498420610863,0.10328340893064686
110,165.0,0.9043726196902853,0.1771228143835971
111,166.0,0.9530774373272329,0.09786204636337749
112,167.0,0.7841293586487942,0.23084456135451945
113,170.0,0.5532010331271054,0.268846010499321
114,171.0,0.8566538146970164,0.17618219167711963
115,172.0,0.9580422907058367,0.08315841841907573
116,173.0,0.881619345029939,0.14332491494029043
117,175.0,0.8998550408799848,0.12172495792266909
118,176.0,0.9777068734651091,0.07490038997285828
119,177.0,0.9752241035197913,0.064336156988306
120,178.0,0.9736814255043961,0.06746224930391495
121,179.0,0.9767492130094975,0.07748205968251122
122,180.0,0.8371279756877995,0.1898727001377856
123,181.0,0.9608213111188847,0.0805237004569257
124,182.0,0.9228553018991701,0.18399109621207838
125,183.0,0.8465464595880559,0.16185003256920272
126,185.0,0.908526218464127,0.11705816703831558
127,186.0,0.7043917418748389,0.22548130609247585
128,189.0,0.9605137970975247,0.1201833799412206
129,191.0,0.9412223919345512,0.1065912699464608
130,192.0,0.8874244284792103,0.11296307148984779
131,193.0,0.6405854906459741,0.23359012760982564
132,194.0,0.9091759443129416,0.17461088064034538
133,195.0,0.9606652130473955,0.08167430669871148
134,197.0,0.5692920295556774,0.35583297337087466
135,198.0,0.9468523856276122,0.12966105732689803
136,199.0,0.9924385523883278,0.0615994329185144
137,201.0,0.9528457408689788,0.0928201026008965
138,202.0,0.4269270363250892,0.2854593609785456
139,203.0,0.9148509397809077,0.12847455190109486
140,205.0,0.9912204103259553,0.03812559183836375
141,206.0,0.5053972006048878,0.5656288971626373
142,208.0,0.970823674527741,0.06682595014912923
143,209.0,0.9766526414157729,0.07186662022259352
144,211.0,0.9174282317533475,0.11615035950834945
145,212.0,0.9716109351580204,0.06463923959676644
146,213.0,0.8783669104179266,0.1496827348295881
147,214.0,0.9231285582669583,0.20495166633472203
148,215.0,0.920846567552785,0.24531750845294395
149,216.0,0.8327306477156888,0.15392488324178977
150,217.0,0.5658925527077343,0.27282171141238054
151,218.0,0.8582475004880215,0.14990206732674854
152,219.0,0.9402654153923894,0.15952033905511448
153,220.0,0.8394250632261964,0.22340722720205375
154,221.0,0.8985931414047231,0.16749560654532025
155,222.0,0.9489772569993303,0.11999477959861027
156,223.0,0.9338433923780632,0.10647319043096251
157,224.0,0.9814317434972049,0.06797334848836932
158,225.0,0.9598273803699068,0.08532643287898703
159,226.0,0.9557498564066628,0.08939731572787128
160,227.0,0.8133444875221667,0.1801168665773636
161,228.0,0.8693274620606573,0.2096937270051292
162,229.0,-0.3555910356975851,0.4175364886526627
163,230.0,0.9080462835935754,0.1344191840581141
164,231.0,0.9073148520818901,0.13557201920488746
165,233.0,0.9658963131894318,0.0731242452222796
166,234.0,0.8166929127646931,0.23417064214461378
167,235.0,0.8390902971455253,0.29581444464117856
168,237.0,0.9337578538078334,0.10563424861542497
169,239.0,0.9409030655164264,0.10420877212108605
170,240.0,0.751042558739002,0.2572246669072741
171,241.0,0.9296542701587361,0.11508404024600406
172,242.0,0.7684105770663684,0.19563500536898124
173,243.0,0.936343061937374,0.1095408295153814
174,244.0,0.8674996941613524,0.17355024771504962
175,246.0,0.8705689545364809,0.16966804343460515
176,248.0,0.993829278692924,0.03329545714350102
177,250.0,0.9432325204434496,0.09732941596937976
178,252.0,0.9316949772994076,0.15554426829547724
179,253.0,0.9668053731461198,0.1033749415814762
180,255.0,0.9321605491081039,0.18824675275084146
181,256.0,0.8919472287045832,0.1420515221786211
182,258.0,0.9654224103753253,0.18857647745260459
183,259.0,0.8717585158734982,0.1437649214950551
184,260.0,0.8598834983439154,0.14120870617583142
185,261.0,0.995057988508708,0.03370131752872684
186,263.0,0.5752511702333576,0.2636051278463656
187,264.0,0.8828418904296814,0.21688426443914666
188,265.0,0.9696234499359005,0.06525586817129446
189,266.0,0.9261322361734088,0.18702334158866327
190,267.0,0.9548324512584165,0.09596666297742912
191,269.0,0.9188210275229185,0.18510166236959172
192,271.0,0.9862588418628887,0.06696807203751945
193,272.0,0.9860215814850677,0.05367865420291333
194,274.0,0.9247740715075129,0.1042671246990623
195,275.0,0.8845849617461036,0.14042445840749973
196,276.0,0.9344602888497592,0.10456087071984235
197,277.0,0.9509697749191168,0.09369170402973098
198,278.0,0.9499449023082378,0.10069649359368515
199,280.0,0.9508064535768467,0.13040707267005663
200,282.0,0.9701447268141727,0.07924044549504898
201,285.0,0.954722855528915,0.08552315757185881
202,287.0,0.918447235842706,0.13394037330302577
203,288.0,0.9908290983188791,0.04288547339418
204,290.0,0.7896366218946103,0.2548714463422481
205,292.0,0.9414886916758005,0.1360838224094897
206,293.0,0.8298280701340501,0.16081519463654714
207,294.0,0.8518336274721953,0.1688149964048384
208,299.0,0.991483637495295,0.05991245534269108
209,300.0,0.956595441510272,0.07980806593114614
210,301.0,0.9461092081465668,0.11273202832646428
211,302.0,0.9091073717928448,0.1174981861641658
212,303.0,0.9635529695504784,0.1204607578824227
213,304.0,0.9337419089517852,0.10248795747303106
