subID,r_squared,nrmse,aic,center,obj_center,sigma,bias_xmin,bias_xmax,bias_lower,bias_upper,flipped
90.0,0.9880377133426582,0.04568511952958561,-39.203757046088356,0.45733896179828953,0.39556512765534274,0.10485114353847762,0.23953009989518964,0.017586857866550565,0.23,0.013333333333333308,False
92.0,0.9715270307885566,0.06515533777413893,-34.23373467530016,0.46881715055016326,0.41867922901663146,0.13531334521503116,0.2677968820184306,0.1485501738176105,0.24916666666666668,0.13666666666666671,False
93.0,0.9710330117013003,0.06888273943969793,-33.45489507846264,0.33135362474734603,0.2772821347915557,0.07685488106515104,0.3087975522189068,0.09760020082036136,0.30083333333333334,0.09750000000000003,False
94.0,0.9765352001066454,0.06393198972825746,-34.499095895994,0.38927270368125616,0.3625920087677594,0.1165051734686858,0.18623539444981652,0.07653820980197801,0.16,0.07250000000000001,False
96.0,0.9870350120395075,0.045043643577681966,-39.401727627127805,0.4381563646441169,0.37711497699929153,0.10626411364253985,0.23318170796655407,0.008065129341504162,0.22083333333333333,0.004166666666666763,False
98.0,0.974076751436031,0.0613728847825634,-35.07102020204924,0.4509548048474529,0.05139387347443364,0.12114136766708335,0.49578027763033755,0.16540015887363246,0.4875,0.16166666666666674,False
101.0,0.9267044047586537,0.09302520674175506,-29.24838695247614,0.4684701530693409,0.43299831204450945,0.15596796972686608,0.18805225906277653,0.08690459822638741,0.15083333333333335,0.06166666666666676,False
102.0,0.9943671462437569,0.03155889976760985,-44.382595033100486,0.4800059191207173,0.4602727096782414,0.12157983918248567,0.12366658606139729,0.05003066836813308,0.1075,0.03833333333333333,False
104.0,0.9850961363469954,0.04978338868190906,-38.00103475679269,0.4577828223475476,0.4577828223475476,0.0884992522516237,0.005637108511316079,0.0021788006504354085,0.0,0.0,False
105.0,0.9951325964294798,0.029402124999587928,-45.373636596927234,0.4145666035627276,0.3130219870369649,0.11916294142415429,0.32376164412160885,0.0456132803681677,0.3041666666666667,0.04083333333333328,False
106.0,0.9860456802918026,0.04900900421593726,-38.220517335420155,0.4424052816686937,0.30275548421896015,0.09446148613741058,0.39938921584672665,0.037386086455163614,0.39416666666666667,0.03583333333333327,False
