,iteration,init_slope,init_intercept,est_intercept,est_slope,ss_res,nrmse,r_squared,aic
0,1.0,0.5604031111446789,5.455252688134936,0.18182148846099966,0.39407127223761945,0.012321964285735638,0.11885466914876935,0.9074266367867513,-40.395974307046906
1,2.0,0.5671826768082759,7.545730546321621,0.18182152645375765,0.3940711782816659,0.012321964285768216,0.11885466914892646,0.907426636786528,-40.395974307028396
2,3.0,0.3314977719582195,3.1240700077818704,0.1818214846618943,0.3940712813783653,0.012321964285733279,0.11885466914875796,0.9074266367867675,-40.39597430704825
3,4.0,0.7614325530627144,8.04026951239948,0.18182149828829128,0.394071248160955,0.01232196428574254,0.11885466914880265,0.9074266367867039,-40.395974307042984
4,5.0,0.8367046001979341,7.458071193327095,0.1818214783838149,0.39407129686995257,0.012321964285729575,0.11885466914874011,0.9074266367867928,-40.39597430705035
5,6.0,0.934011783411186,0.9581670398185432,0.18182141665642731,0.3940714290243817,0.01232196428571524,0.11885466914867096,0.9074266367868942,-40.395974307058495
6,7.0,0.021015525610689312,9.950141971520015,0.18182171219374704,0.3940707030532889,0.012321964286167523,0.1188546691508523,0.9074266367838183,-40.395974306801556
7,8.0,0.26264660235383397,9.33963792564212,0.18182162916928205,0.39407091826743895,0.012321964285937669,0.11885466914974373,0.9074266367853724,-40.39597430693214
8,9.0,0.2176212648549236,4.802506144560709,0.1818215850408753,0.39407103089876744,0.012321964285849854,0.11885466914932019,0.90742663678597,-40.395974306982026
9,10.0,0.22542213143050038,3.7865604155684442,0.18182155421929252,0.3940711085948075,0.01232196428580217,0.11885466914909022,0.9074266367862959,-40.39597430700911
10,11.0,0.7060230141209567,5.502079825644508,0.18182146419101788,0.3940713314453425,0.012321964285722803,0.11885466914870745,0.9074266367868389,-40.3959743070542
11,12.0,0.6804133053789023,3.2435828535212403,0.18182142773283064,0.394071418082857,0.01232196428571464,0.1188546691486681,0.9074266367868934,-40.395974307058836
12,13.0,0.9406656985448807,3.517731657463673,0.18182135656521664,0.3940713761951949,0.012321964285783912,0.11885466914900218,0.9074266367868781,-40.395974307019486
13,14.0,0.39936846588094554,7.682081949040325,0.18182157003382712,0.39407106867103403,0.012321964285825403,0.11885466914920227,0.9074266367861372,-40.39597430699592
14,15.0,0.1398766139805282,5.562280451882134,0.18182163766147724,0.3940708963998441,0.012321964285957294,0.11885466914983837,0.9074266367852393,-40.39597430692099
15,16.0,0.9247331639457312,4.306230405602441,0.18182142693762457,0.39407142014200625,0.01232196428571458,0.1188546691486678,0.9074266367868937,-40.39597430705887
