stim_file,condition,subtlety,pred_color,slider,button_response,RT,accuracy,subID,trial_ind
36abe6b0-5185-4dad-8201-c13c1fa8a4ac,mimic,90,grey,18.0,grey,2.201,1,172,61
5d84c995-f49b-42d0-bf89-eb7f4bfcb1d4,chase,120,black,44.0,black,2.078,1,172,62
4e1f0fd0-6be1-4dea-9769-9d52ec74cd81,mimic,150,black,18.0,black,2.704,1,172,63
5de53504-97fe-436b-ba5c-5bfff70f79fe,mimic,0,black,24.0,black,2.039,1,172,64
55f379fa-f719-4bdf-85a4-a15f0d03283d,mimic,150,grey,29.0,grey,1.998,1,172,65
2cf66fb7-ab1d-466b-be40-d9f856dc213f,wander,180,grey,57.0,grey,1.817,1,172,66
7ed77af1-6d60-43c4-9657-fde7e23cdef5,mimic,120,grey,56.0,grey,2.158,1,172,67
85aa46c9-fe72-469c-a4cd-96f72ab4ccba,chase,60,black,80.0,black,2.867,1,172,68
a0907c50-1e49-490b-8fe4-a28c4b3b8be6,mimic,60,black,74.0,black,2.479,1,172,69
21ca5095-0a92-499b-9d26-d8a5f4a0841a,wander,180,black,54.0,black,2.035,1,172,70
53613c0d-b07e-4b22-b6ec-56dda26edc8f,chase,0,grey,84.0,grey,1.782,1,172,71
4284d8dd-a24d-4019-8d51-ef5ea25d433a,mimic,120,black,39.0,black,2.836,1,172,72
17e4063d-b2f1-4406-8a8f-be7151fd23c1,chase,30,black,70.0,black,3.733,1,172,73
7e113c5d-92b4-4c01-9588-dae0fb76eb5f,chase,150,black,35.0,grey,2.885,0,172,74
5dbc75c6-6973-4ae1-aaf0-d3b84feb4723,wander,180,black,57.0,black,2.165,1,172,75
7fa729b4-a76f-4d75-a22b-3ecddb220ae0,mimic,90,grey,38.0,black,2.628,0,172,76
19c65966-3d88-4851-afe4-ae34c498748c,chase,0,grey,89.0,grey,1.996,1,172,77
d23dc934-a2e5-4952-b5f2-7acd20fccd30,mimic,30,black,22.0,grey,3.018,0,172,78
8af66fd7-6ab4-47a3-a88c-02fd34772ac6,wander,180,grey,59.0,grey,2.239,1,172,79
3929e9d5-259e-48e5-8556-ce09d3298e6b,mimic,90,black,54.0,grey,3.017,0,172,80
8a3a6cd1-3183-4bfd-8414-818cba62218a,mimic,30,black,19.0,grey,3.166,0,172,81
a68cb7dc-2812-45a9-b8f6-862ff43630fb,chase,120,grey,15.0,grey,1.933,1,172,82
22162d51-e2bc-4fd2-af29-7d21f36eca1d,chase,90,black,74.0,black,2.388,1,172,83
0ea53c63-8350-4a50-8dec-ccbbf0e401dc,wander,180,black,12.0,black,2.304,1,273,0
701355d0-4ab7-43fb-a2dd-0392c7a45de7,mimic,120,grey,0.0,black,2.346,0,273,1
5dbc75c6-6973-4ae1-aaf0-d3b84feb4723,wander,180,black,11.0,black,2.624,1,273,2
4284d8dd-a24d-4019-8d51-ef5ea25d433a,mimic,120,black,41.0,black,2.488,1,273,3
cf5e29cd-eacd-4164-96d2-05de1fad88ba,chase,30,black,100.0,black,3.394,1,273,4
c188e383-94d7-475e-9da5-6d1f0a1184bb,chase,0,black,100.0,black,2.293,1,273,5
1b31e266-55d6-4286-af68-8a316608fe1f,mimic,150,grey,34.0,grey,2.066,1,273,6
7ed77af1-6d60-43c4-9657-fde7e23cdef5,mimic,120,grey,63.0,grey,2.241,1,273,7
17e4063d-b2f1-4406-8a8f-be7151fd23c1,chase,30,black,94.0,black,2.835,1,273,8
7b3797d6-d4cc-4819-b3ad-adfd144217e2,chase,60,grey,96.0,grey,1.789,1,273,9
2f9adc31-096c-49c5-ad0e-45cea6c1a263,mimic,120,black,19.0,black,1.668,1,273,10
5d69d5c8-83dd-43c4-be85-f1c2ff45960d,chase,120,grey,86.0,grey,2.173,1,273,11
9dfa52b0-9e95-49de-bddb-e53316f2b4ae,chase,0,grey,100.0,grey,2.898,1,273,12
4f077c82-959e-43e6-9381-8f6126e6ff29,mimic,60,black,25.0,grey,2.631,0,273,13
c53236a2-f564-41ec-89aa-2bd90765b0a4,chase,30,black,100.0,black,1.893,1,273,14
7c6817dd-b767-43f6-ac68-0526e98a6d9e,mimic,30,grey,0.0,grey,2.081,1,273,15
3e4850f1-08eb-4b7f-a253-925d01b19b55,mimic,90,black,0.0,grey,1.714,0,273,16
5d84c995-f49b-42d0-bf89-eb7f4bfcb1d4,chase,120,black,14.0,black,3.041,1,273,17
00efb6ff-56f7-4917-9518-d8ff1ed4d352,mimic,0,grey,0.0,black,3.009,0,273,18
06f1dd04-cfbc-433c-9833-32cdb01c0683,chase,90,grey,90.0,grey,2.111,1,273,19
85aa46c9-fe72-469c-a4cd-96f72ab4ccba,chase,60,black,89.0,black,3.657,1,273,20
3587071e-4537-406c-83f0-d8803f077fd2,mimic,60,black,9.0,grey,1.487,0,273,21
10a07293-2c74-4b8a-bbef-b0f436cde5fb,chase,150,grey,14.0,grey,1.953,1,273,22
72e764e1-0b34-4efd-96db-5df7934b2395,chase,0,grey,100.0,grey,2.221,1,273,23
97de9f66-be0c-4b66-bed1-c5f85d360d26,mimic,30,black,92.0,grey,2.651,0,273,24
a4025c10-2bc6-475f-b2bb-23992061eb07,mimic,150,black,67.0,grey,3.112,0,273,25
4e1f0fd0-6be1-4dea-9769-9d52ec74cd81,mimic,150,black,16.0,grey,1.813,0,273,26
35fbacfe-f7fd-45d5-9266-5f6631809d11,chase,60,black,100.0,black,1.875,1,273,27
8bb5c4ad-b420-47c6-8e6a-c74a127a30ce,chase,60,grey,100.0,grey,2.071,1,273,28
61eee444-3c06-4628-b4f4-ff144eb1d500,mimic,150,grey,11.0,grey,4.493,1,273,29
1b715dd0-d113-4da2-bf60-7a9f9abdbe20,mimic,0,grey,1.0,grey,2.277,1,273,30
16088d09-c11d-4b03-8c77-f92a33554c1e,chase,90,black,90.0,black,4.085,1,273,31
a5b2d14e-7379-437b-b4ce-1fc499a5afa1,mimic,120,black,13.0,black,2.329,1,273,32
4c50352d-2e1e-4e2e-ad43-613002422011,mimic,90,grey,7.0,black,3.365,0,273,33
6ccf7af8-e546-4b8c-9638-a8cfdc77fdb2,mimic,120,grey,0.0,grey,3.119,1,273,34
1046d4b0-4bd4-4ae8-a4f2-949e08b5aa4a,mimic,0,grey,67.0,black,5.484,0,273,35
87b8564c-7590-4001-b1e8-6f26c4e4bf8a,chase,120,grey,8.0,black,5.807,0,273,36
249089b6-ef6d-4ddb-973d-6d7b9d53baf8,chase,60,black,100.0,black,1.79,1,273,37
65ae3786-93f4-4878-bcfe-7cee118774dc,mimic,0,black,10.0,black,1.944,1,273,38
18487641-212a-4e1e-8730-31709d721382,chase,150,grey,10.0,grey,2.202,1,273,39
21ca5095-0a92-499b-9d26-d8a5f4a0841a,wander,180,black,10.0,grey,4.659,0,273,40
c6499c88-e947-4ab5-8cde-3013da4d084f,chase,30,grey,100.0,black,2.53,0,273,41
08d6fa73-0f7f-4a5d-a343-c5539c9f44b7,mimic,30,black,0.0,black,2.055,1,273,42
2cf66fb7-ab1d-466b-be40-d9f856dc213f,wander,180,grey,9.0,grey,3.205,1,273,43
75182d69-6502-4d35-9298-e331061c7829,chase,0,grey,100.0,grey,2.144,1,273,44
4a6f7598-dc16-47d6-987e-a48c1f938428,wander,180,grey,11.0,grey,4.267,1,273,45
816e0a69-dfb6-4a6f-8ffe-97d092e27835,chase,0,black,100.0,black,1.549,1,273,46
5de53504-97fe-436b-ba5c-5bfff70f79fe,mimic,0,black,0.0,grey,2.251,0,273,47
1247c2a3-9c1a-478d-ad2b-6640715d76a4,chase,150,black,5.0,grey,2.494,0,273,48
5744f837-93bf-4eba-bddf-e630dedf974e,chase,150,black,0.0,grey,2.141,0,273,49
3d2cbd5f-05d3-4457-8c01-5b302d4c5de7,chase,120,black,4.0,grey,3.61,0,273,50
806dce3c-11e6-49c6-8451-980c12e415b0,mimic,30,grey,0.0,grey,3.416,1,273,51
a0907c50-1e49-490b-8fe4-a28c4b3b8be6,mimic,60,black,23.0,black,1.283,1,273,52
7e113c5d-92b4-4c01-9588-dae0fb76eb5f,chase,150,black,69.0,black,3.449,1,273,53
3273fde2-4b65-4cc7-b9b3-ef2604e8a514,chase,60,grey,100.0,grey,2.108,1,273,54
46975d67-ead1-4d29-93d2-9fbd40dad49d,wander,180,grey,64.0,black,2.566,0,273,55
21748d3e-0170-41a6-9116-15a56c49d9be,mimic,30,black,80.0,black,2.535,1,273,56
124f53c2-90c6-4716-8221-e86088f8d257,wander,180,grey,66.0,grey,3.044,1,273,57
0363101f-8ad9-4b32-a49c-743a28904a0f,mimic,90,grey,4.0,black,2.899,0,273,58
14f7fa8d-a7a5-4171-bdbf-8a076fb08d9c,chase,150,black,63.0,grey,3.357,0,273,59
27771508-6d61-4618-83ca-4bc020efddfe,wander,180,grey,14.0,grey,2.448,1,273,60
