,iteration,init_sigma,init_center,est_sigma,est_center,ss_res,nrmse,r_squared,aic
0,1.0,0.9261402406623096,1.1804347121937977,0.12081841466342233,0.3345601822345409,0.0394175846448689,0.07504054584486676,0.9585386221234131,-32.25617380361985
1,2.0,0.9722783693013765,6.6356360534397,0.1208184000610092,0.33456035053967886,0.039417584645186986,0.07504054584516955,0.9585386204410508,-32.25617380356336
2,3.0,0.40485676849052366,6.506192737379839,0.12081847815185574,0.33456012663657375,0.039417584644865625,0.07504054584486369,0.9585386226073951,-32.25617380362043
3,4.0,0.26428000787586414,1.9469336821953767,0.0,0.23710172607573635,0.5027616965973534,0.26799831998336787,0.5137371966308968,-14.434843940935878
4,5.0,0.8138340943162466,6.122421442449469,0.12081870752855135,0.3345600206744373,0.039417584645659906,0.07504054584561971,0.9585386233965054,-32.25617380347938
5,6.0,0.8159435226148232,9.814541304195574,0.12081844494334894,0.33456022443571576,0.03941758464489917,0.07504054584489558,0.9585386216601062,-32.25617380361447
6,7.0,0.9802629547708519,3.045301777959794,0.0,0.39897968669310213,0.2690660444234405,0.19605613060092206,0.7497786112991465,-18.810959921872815
7,8.0,0.7962337250275763,9.024262591509192,0.12081842790997074,0.33456015449251486,0.03941758464485506,0.07504054584485358,0.9585386223874539,-32.2561738036223
8,9.0,0.3465826556554531,8.555092815426125,0.3465826556554531,8.555092815426125,3.8016747385592473,0.7369507386676193,4.36852332086346e-10,-0.2732792111682265
9,10.0,0.4096390866896733,0.10148929059317892,0.12081854659805064,0.334560136995305,0.03941758464496303,0.07504054584495641,0.9585386224189736,-32.25617380360313
10,11.0,0.09731227511899476,2.1096755326514165,0.12081843502274758,0.33456015829037955,0.03941758464485343,0.07504054584485204,0.9585386223403971,-32.256173803622595
11,12.0,0.21400467360883757,4.666970076286099,0.2140149764785115,4.666969498970123,3.8016746155524768,0.7369507267452511,4.153521770966506e-08,-0.27327943765983065
12,13.0,0.8499974879217388,8.112524454384303,0.1208184200857004,0.33456015461242394,0.039417584644858644,0.07504054584485703,0.9585386223958048,-32.25617380362167
13,14.0,0.22918463386164656,3.2922224625152015,0.12081845650084605,0.3345601435818179,0.03941758464485311,0.07504054584485172,0.9585386224627112,-32.25617380362265
14,15.0,0.9306722114246253,2.729962209308031,0.12081843502274758,0.33456015829037955,0.03941758464485343,0.07504054584485204,0.9585386223403971,-32.256173803622595
15,16.0,0.8496731592020303,2.8710553093602225,0.0,0.4246379942010981,0.2690660444234405,0.19605613060092206,0.7497786112991465,-18.810959921872815
16,17.0,0.8176226652635453,0.2845170706176799,0.12081864687007862,0.334559721376787,0.039417584646579434,0.07504054584649497,0.9585386264937225,-32.25617380331608
17,18.0,0.5294827687535524,2.5570564599854912,0.12081843502274758,0.33456015829037955,0.03941758464485343,0.07504054584485204,0.9585386223403971,-32.256173803622595
18,19.0,0.7447121865050906,0.9732724309501397,0.12081846003429796,0.33456008364712286,0.03941758464488599,0.07504054584488307,0.958538623063785,-32.25617380361682
19,20.0,0.5030242571125473,2.0902962157207816,0.12081824283771005,0.33456037251756704,0.03941758464560256,0.07504054584556516,0.9585386204108383,-32.25617380348956
20,21.0,0.18810472578536808,0.0768177942128216,0.12081832403085822,0.33455994576429743,0.03941758464541348,0.07504054584538514,0.958538624622501,-32.25617380352314
21,22.0,0.11983662249902582,5.486502948069517,0.11983662249902582,5.486502948069517,3.8016747400756143,0.7369507388145924,0.0,-0.2732792083761497
22,23.0,0.7274620110540059,2.3113231733902797,0.12081843502274758,0.33456015829037955,0.03941758464485343,0.07504054584485204,0.9585386223403971,-32.256173803622595
23,24.0,0.3450684283870161,5.092375220467963,0.12081851602522099,0.33456011251437967,0.03941758464491096,0.07504054584490683,0.9585386227036957,-32.256173803612384
24,25.0,0.283203703224042,9.815507958913813,0.283203703224042,9.815507958913813,3.801674740075493,0.7369507388145805,3.752553823233029e-14,-0.27327920837637265
25,26.0,0.49846071709307327,4.14357772682928,0.12081845722885014,0.3345601642197936,0.0394175846448558,0.07504054584485435,0.9585386222533526,-32.256173803622175
26,27.0,0.2932750252993839,8.728851250145853,0.2932750252993839,8.728851250145853,3.8016747400609834,0.7369507388131742,4.488853733164433e-12,-0.27327920840308906
27,28.0,0.009297366079034086,9.827414949926329,0.009297366079034086,9.827414949926329,3.8016747400756143,0.7369507388145924,0.0,-0.2732792083761497
28,29.0,0.8111113123379038,8.37165741902549,0.12081810864648039,0.33456042937916486,0.039417584646513126,0.07504054584643191,0.9585386199996655,-32.256173803327854
29,30.0,0.27436713391527623,0.07487044522173208,0.1208184810290836,0.33456020155222027,0.03941758464489381,0.07504054584489053,0.95853862184713,-32.256173803615425
30,31.0,0.4367269580537726,4.73337826428659,0.12081844751152346,0.3345601591715063,0.03941758464485276,0.07504054584485141,0.9585386223162289,-32.256173803622715
31,32.0,0.6365572300948218,8.552502341545399,0.12081843269721623,0.3345601522221974,0.039417584644853454,0.07504054584485209,0.9585386224045354,-32.25617380362259
32,33.0,0.13221733386588796,4.366410040985308,0.13221733386588796,4.366410040985308,3.801674740052184,0.7369507388123213,8.240297333372837e-12,-0.2732792084192921
33,34.0,0.3788527071112835,8.700460419248644,0.3788527071112835,8.700460419248644,3.8016747331629777,0.7369507381445887,1.9158631348048516e-09,-0.2732792211043442
34,35.0,0.009186887790488374,5.2434351923798435,0.009186887790488374,5.2434351923798435,3.8016747400756143,0.7369507388145924,0.0,-0.2732792083761497
35,36.0,0.9038212941860246,9.35038848469735,0.12081826732171912,0.3345595910476728,0.03941758464800335,0.07504054584785039,0.9585386282736142,-32.25617380306321
36,37.0,0.25228134796428847,3.7702127404658987,0.12081851098492068,0.3345601921054624,0.03941758464492231,0.0750405458449176,0.9585386219058958,-32.25617380361036
37,38.0,0.4873439386029619,6.030744062989068,0.12081869144386095,0.33456002585766903,0.039417584645567445,0.07504054584553171,0.9585386233639084,-32.2561738034958
38,39.0,0.8115561999406439,9.191037641231901,0.12081845546193846,0.3345601415493866,0.039417584644853024,0.07504054584485169,0.9585386224845113,-32.256173803622666
39,40.0,0.3465218728774738,0.3532493163697459,0.12081845273705141,0.3345601046041927,0.03941758464486718,0.07504054584486516,0.9585386228610254,-32.25617380362016
40,41.0,0.47666948934386766,9.633926060069948,0.47666948934386766,9.633926060069948,3.8016746698421655,0.7369507320072514,1.733887189381278e-08,-0.2732793376965619
41,42.0,0.6006259114573159,1.8675216766648928,0.0,0.4774632017949717,0.2690660444234405,0.19605613060092206,0.7497786112991465,-18.810959921872815
42,43.0,0.22938801715913726,1.921484616174339,0.1208184998816678,0.3345600107271096,0.03941758464502102,0.07504054584501163,0.9585386237515674,-32.25617380359284
43,44.0,0.21543147260792306,8.210150640990205,0.21543147260792306,8.210150640990205,3.801674740075604,0.7369507388145914,3.4416913763379853e-15,-0.27327920837616837
44,45.0,0.8358254238611037,9.196041027138165,0.12081846339231199,0.3345601401116239,0.03941758464485544,0.07504054584485396,0.9585386224893362,-32.25617380362224
45,46.0,0.6261760749689615,3.09584586524145,0.12081853905624677,0.33456016885105766,0.03941758464495696,0.0750405458449506,0.9585386221064267,-32.256173803604206
46,47.0,0.2361485210179548,4.414115156792283,0.12081845864167667,0.3345601391994433,0.03941758464485404,0.07504054584485263,0.95853862250436,-32.25617380362249
47,48.0,0.6900844392584493,4.593577142981972,0.12081867401466478,0.33455961152582137,0.039417584647484925,0.07504054584735685,0.958538627569696,-32.25617380315528
48,49.0,0.7352088803612988,0.23038394344240076,0.12081844234478724,0.33456017056017723,0.03941758464485569,0.07504054584485423,0.9585386222075059,-32.25617380362219
49,50.0,0.9822061688025376,4.673357280898225,0.12081846494247254,0.3345601256377898,0.03941758464485902,0.07504054584485742,0.9585386226336412,-32.2561738036216
50,51.0,0.6037390849421669,3.942911168206144,0.12081821935274437,0.33456062161733297,0.03941758464698471,0.07504054584688077,0.9585386179227148,-32.25617380324411
51,52.0,0.25723309246420334,2.3980092487155904,0.12081866629996614,0.3345597972211048,0.039417584646206885,0.07504054584614038,0.9585386257039564,-32.25617380338224
52,53.0,0.44164019258701437,6.042503771361154,0.12081869352876122,0.3345600248526199,0.03941758464557956,0.07504054584554327,0.9585386233714994,-32.256173803493645
53,54.0,0.27327401104462024,2.2565690946573618,0.0,0.4736358230233807,0.2690660444234405,0.19605613060092206,0.7497786112991465,-18.810959921872815
54,55.0,0.697199042976212,5.542283844676435,0.12081883270822176,0.33455960547395747,0.039417584648396724,0.07504054584822481,0.9585386274357793,-32.25617380299336
55,56.0,0.8475129190227022,1.2677710669896922,0.1208185878581395,0.3345602191682134,0.0394175846451427,0.07504054584512747,0.9585386215383398,-32.25617380357122
56,57.0,0.5763216141388892,5.915657054611152,0.12081866831252708,0.33456003346634616,0.03941758464544421,0.07504054584541445,0.9585386233154578,-32.25617380351768
57,58.0,0.12097379343191628,0.07489967323700991,0.12081839832959283,0.3345598813055055,0.03941758464549348,0.07504054584546128,0.9585386251828244,-32.256173803508936
58,59.0,0.5134074168922439,9.780044299688686,0.5134074168922439,9.780044299688686,3.8016745407472987,0.7369507194947976,4.7186208940175334e-08,-0.27327957539814385
59,60.0,0.9175333880883703,5.097882130105036,0.12081851288572781,0.3345601143987658,0.03941758464490569,0.07504054584490183,0.9585386226885048,-32.256173803613315
60,61.0,0.6674193676956116,8.763623522197255,0.12081843257624093,0.33456015417656004,0.039417584644853565,0.0750405458448522,0.9585386223849419,-32.25617380362257
61,62.0,0.972872269771248,3.9204349571228745,0.12081842366014496,0.3345601414817445,0.03941758464485764,0.07504054584485609,0.9585386225240708,-32.25617380362185
62,63.0,0.5576059460462109,9.268148651550009,0.5576606134276688,9.268145054427707,3.8016727345818757,0.7369505444331171,4.5196749354214916e-07,-0.27328290108024245
63,64.0,0.306585908534018,4.141796775310825,0.12081846575914569,0.3345601533522841,0.03941758464485674,0.07504054584485526,0.9585386223526955,-32.256173803622005
64,65.0,0.9918618842908439,4.88843486469134,0.12081847480438858,0.33456032809565117,0.03941758464514006,0.07504054584512487,0.9585386205764033,-32.2561738035717
65,66.0,0.48008969544328817,4.628436911890473,0.12081848876245485,0.3345601324782483,0.03941758464487282,0.07504054584487051,0.9585386225354064,-32.256173803619156
66,67.0,0.9547202773852124,6.043290741963008,0.1208182727959906,0.3345601575922538,0.039417584645177244,0.07504054584516026,0.9585386225454466,-32.25617380356509
67,68.0,0.7482705455792283,0.7538833483782361,0.12081846197912616,0.3345600994755356,0.039417584644872286,0.07504054584487004,0.9585386229015278,-32.25617380361925
68,69.0,0.9514244143524444,1.1265942879981776,0.12081846484700584,0.33456015540156275,0.03941758464485665,0.07504054584485514,0.9585386223331109,-32.256173803622026
69,70.0,0.4229929889567432,4.058335920029436,0.12081850707049523,0.33456060601214993,0.039417584646685475,0.07504054584659595,0.9585386177289867,-32.25617380329725
70,71.0,0.9269470961601509,9.5064140912918,0.12081886398026423,0.3345608345191143,0.03941758465138095,0.0750405458510654,0.9585386149811715,-32.2561738024634
71,72.0,0.42955332349405995,0.4008607712845317,0.12081838646639431,0.33456024595361766,0.03941758464495373,0.07504054584494754,0.9585386215141996,-32.25617380360478
72,73.0,0.27558406388717804,6.628325733360891,0.27558406388717804,6.628325733360891,3.801674734749076,0.7369507382983203,1.6672641045545333e-09,-0.27327921818387146
73,74.0,0.9441131666264997,8.630452080306815,0.12081844657955028,0.33456016737304567,0.03941758464485473,0.07504054584485334,0.9585386222345226,-32.25617380362237
74,75.0,0.9716943060315663,5.641659627721729,0.12081861203435627,0.33456005872446587,0.03941758464518667,0.07504054584516924,0.9585386231293844,-32.256173803563414
75,76.0,0.916539790652145,6.8695855167906315,0.12081854770285555,0.33456009579671503,0.039417584644976425,0.07504054584496911,0.9585386228337696,-32.25617380360076
76,77.0,0.03262266737228148,8.81161461168257,0.03262266737228148,8.81161461168257,3.8016747400756143,0.7369507388145924,0.0,-0.2732792083761497
77,78.0,0.037366170024064504,6.13465314788068,0.037366170024064504,6.13465314788068,3.8016747400756143,0.7369507388145924,0.0,-0.2732792083761497
