,index,sub_ind,PID,date,stimset_rows,total_trials,nplanned_trialIDs,npresented_trialIDs,planned_trialIDs_all,presented_trialIDs_all,chargeSpeeds,chargeSpeeds_sorted,agent1Colors,responses,agents_type,strategy,feedback
20,4,24004,6310c063bd0cce86b0289d20,5,88,48,7,7,"['38ad4b16-44e2-4e52-8d02-b23eca73a48d', '4a2adf87-0f15-4bc0-9837-899addfb179c', '50bec0a0-7e7c-4edd-a8eb-394750dbdb77', '8b72023d-88b1-4615-b871-cac794edf1d9', '8dbfdd79-2b3f-4297-8ec2-92d59884dd68', '50f23891-0e3f-40d3-8bcb-a5bcfcec1987', '91327185-f59e-4ae7-a000-fd66526bab82']","['50f23891-0e3f-40d3-8bcb-a5bcfcec1987', '91327185-f59e-4ae7-a000-fd66526bab82', '8b72023d-88b1-4615-b871-cac794edf1d9', '38ad4b16-44e2-4e52-8d02-b23eca73a48d', '4a2adf87-0f15-4bc0-9837-899addfb179c', '8dbfdd79-2b3f-4297-8ec2-92d59884dd68', '50bec0a0-7e7c-4edd-a8eb-394750dbdb77']","[7.75, 9.0, 5.25, 1.5, 2.75, 6.5, 4.0]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'black', 'black', 'grey', 'black', 'black', 'grey']","['fighting', 'colliding', 'playing', 'bumping', 'colliding', 'fighting', 'flowing']",children,I just tried to imagine I had a top down view of two children in a park and imagine what their movements might represent,No
21,5,24005,63386e75b02c4d7013c1198b,5,27,50,7,7,"['8ed7c0fc-1490-4e35-a000-7f7357a0772a', 'bcca6dd9-a0e7-4373-9ebc-93e6e619ca4a', '50bec0a0-7e7c-4edd-a8eb-394750dbdb77', '27f4d7f8-d998-48b2-a3e4-f885f21c713d', '2fa02aa8-ef06-46e0-87af-9e3b7267ee79', '7f445daf-d952-4bf3-b733-def683994895', '2abe0875-f8ff-4373-aad8-bca142211a09']","['2fa02aa8-ef06-46e0-87af-9e3b7267ee79', 'bcca6dd9-a0e7-4373-9ebc-93e6e619ca4a', '27f4d7f8-d998-48b2-a3e4-f885f21c713d', '2abe0875-f8ff-4373-aad8-bca142211a09', '50bec0a0-7e7c-4edd-a8eb-394750dbdb77', '7f445daf-d952-4bf3-b733-def683994895', '8ed7c0fc-1490-4e35-a000-7f7357a0772a']","[6.5, 2.75, 5.25, 9.0, 4.0, 7.75, 1.5]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'black', 'grey', 'black', 'grey', 'black', 'grey']","['smashing into each other', 'circling and coming together', 'meandering then rushing together', 'Wandering then coming together', 'slowly moving, coming together and then splitting apart', 'wander and smash', 'moving NW and slowly meeting']",children,"Well, I tried to make the descriptions different, but homestly, it was just some balls smacking together.",already did
22,6,24006,5de8d53cd0e07e836599d816,5,52,50,7,7,"['81e3fe3f-5a7c-42d3-8ea7-c2bf3831288b', '204d8c5c-c9ac-4aef-956d-74de8c6eedc4', '83dec58f-0765-4ddc-b785-670d8025c467', '8e0deaa9-1ac5-4e69-817a-3204f157f360', '2c174300-1111-477c-b605-e34e6031cd26', '015f75aa-de90-4fdc-8657-d630f1963869', '9f7e489f-4076-4332-b57e-13a42d4c75fd']","['83dec58f-0765-4ddc-b785-670d8025c467', '2c174300-1111-477c-b605-e34e6031cd26', '9f7e489f-4076-4332-b57e-13a42d4c75fd', '015f75aa-de90-4fdc-8657-d630f1963869', '81e3fe3f-5a7c-42d3-8ea7-c2bf3831288b', '8e0deaa9-1ac5-4e69-817a-3204f157f360', '204d8c5c-c9ac-4aef-956d-74de8c6eedc4']","[4.0, 6.5, 9.0, 7.75, 1.5, 5.25, 2.75]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'grey', 'black', 'black', 'black', 'grey', 'grey']","['swordfighting', 'charging at each other', 'running at each other', 'play fighting', 'running around ', 'tagging each other', 'tagging each other']",children,No although they all seem very similar,None
23,8,24008,6575fb1c1a04b30cfb2832d5,5,54,50,7,7,"['15dfbaca-4429-4c18-90f4-8d4804129e6f', '46c1720a-0af5-44e9-b008-09b89ef78bd9', '86e26a06-c6f9-47dc-bc1f-1c78f1f93251', '46786fd0-ca59-4ffa-a772-fe489fdbd94c', '2fa02aa8-ef06-46e0-87af-9e3b7267ee79', '534a6ddb-dbec-42ac-b559-3f4cbdd66423', 'abb20336-74c4-448b-a5f7-252c765a55f4']","['534a6ddb-dbec-42ac-b559-3f4cbdd66423', '86e26a06-c6f9-47dc-bc1f-1c78f1f93251', '46786fd0-ca59-4ffa-a772-fe489fdbd94c', '2fa02aa8-ef06-46e0-87af-9e3b7267ee79', 'abb20336-74c4-448b-a5f7-252c765a55f4', '46c1720a-0af5-44e9-b008-09b89ef78bd9', '15dfbaca-4429-4c18-90f4-8d4804129e6f']","[7.75, 4.0, 5.25, 6.5, 9.0, 2.75, 1.5]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'black', 'grey', 'grey', 'black', 'grey', 'black']","['Running into each other', 'Running back and forth into each other ', 'Playing tag', 'Collecting items and bringing them back to a pile', 'Running around the park and then coming back to each other frequently', 'Playing tag', 'Running back and forth like a relay race']",children,"No, it was hard to understand the movement patterns but I tried to imagine what I would be doing in a park as a kid and relate them closely as possible to the movements I saw, I had to go with my best guess/judgement most of the time.",N/A
24,11,24011,65bba756d562375c3f3e8e24,5,60,38,7,6,"['29e7c94f-a6bf-4f1d-8ea1-46efbdb6a836', '88ff8e25-5b4f-453c-add2-298ef66c683c', '48fe3ca9-b1df-491d-bef9-6d9c5edee227', '384dc3de-9717-4531-83a1-683588fe1381', '7c59d616-cf70-400a-8ebd-9b3cdfb854ec', '5a652d01-49a0-4b52-a54c-51c21b53e0fe', 'a5228b86-ba0a-42f2-aa38-23b5369f0e56']","['48fe3ca9-b1df-491d-bef9-6d9c5edee227', '5a652d01-49a0-4b52-a54c-51c21b53e0fe', 'a5228b86-ba0a-42f2-aa38-23b5369f0e56', '7c59d616-cf70-400a-8ebd-9b3cdfb854ec', '384dc3de-9717-4531-83a1-683588fe1381', '88ff8e25-5b4f-453c-add2-298ef66c683c']","[4.0, 7.75, 9.0, 6.5, 5.25, 2.75]","[2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'grey', 'black', 'black', 'black', 'grey']","['running and tagging ', 'running', 'running and hugging', 'running', 'hide and seek', 'running']", , , 
25,12,24012,5685850c333cbd000d4e042f,5,87,50,7,7,"['1a8cf3c1-690b-449c-bb36-fd3b251837c1', '215ead11-5650-429d-b541-0b107fbb996a', '9f53cd68-f278-45d6-806a-74eeef55bbcc', '8a889364-bfa4-42f7-8d4c-ee7478ea863c', '14c0e4c6-94d9-41ec-b44a-5f6c8678230e', '534a6ddb-dbec-42ac-b559-3f4cbdd66423', '16718611-6bca-4e79-8071-94d68c181ba1']","['16718611-6bca-4e79-8071-94d68c181ba1', '1a8cf3c1-690b-449c-bb36-fd3b251837c1', '215ead11-5650-429d-b541-0b107fbb996a', '534a6ddb-dbec-42ac-b559-3f4cbdd66423', '8a889364-bfa4-42f7-8d4c-ee7478ea863c', '14c0e4c6-94d9-41ec-b44a-5f6c8678230e', '9f53cd68-f278-45d6-806a-74eeef55bbcc']","[9.0, 1.5, 2.75, 7.75, 5.25, 6.5, 4.0]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'grey', 'grey', 'black', 'black', 'black', 'grey']","['tackling', 'repelling', 'playing tag', 'tackling', 'wrestling', 'tackling', 'hide and seek']",children,"I just looked at the dots and tried to guess what I thought they were doing, while keeping the fact that the dots represented children.","I felt that the dots gave me very limited information. I imagined this being a top-down view, but since I didn't know the perspective, it was hard to figure out what exactly the dots were meant to be doing."
26,13,24013,59245aee16210d00014bf629,5,45,50,7,7,"['9d425f58-501f-43f3-955e-05126bd09bb5', '88ff8e25-5b4f-453c-add2-298ef66c683c', '0890b767-b394-4f89-aea1-c60cab7014af', '2d3d47a2-03c8-4642-84ec-a8f67c64868c', 'd98f2d5f-eb3b-4ebd-b714-878343382f2a', '981d9d90-47c5-4443-a939-26060914c7e4', '91327185-f59e-4ae7-a000-fd66526bab82']","['2d3d47a2-03c8-4642-84ec-a8f67c64868c', 'd98f2d5f-eb3b-4ebd-b714-878343382f2a', '9d425f58-501f-43f3-955e-05126bd09bb5', '0890b767-b394-4f89-aea1-c60cab7014af', '88ff8e25-5b4f-453c-add2-298ef66c683c', '981d9d90-47c5-4443-a939-26060914c7e4', '91327185-f59e-4ae7-a000-fd66526bab82']","[5.25, 6.5, 1.5, 4.0, 2.75, 7.75, 9.0]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'black', 'grey', 'grey', 'grey', 'black', 'black']","['play fighting', 'play fighting', 'playing and handing each other objects', 'fighting', 'looking for something and checking with each other', 'playing tag', 'play fighting']",children,No; I just guessed based on the movements of the balls in the animation shown.,"Most of the animations felt very similar, with the main change being the speed with which the balls/children appeared to collide."
27,14,24014,65cf88a1a3887a237da61f94,5,75,38,7,6,"['0e704828-9ccd-480e-8056-3a2a8158df0f', '3fd185a3-34a1-4f1a-9d01-aee3deee3988', 'fb491605-8f46-43ab-ba62-bfd86d95e4d6', '46786fd0-ca59-4ffa-a772-fe489fdbd94c', '93e661c0-3f68-4205-9141-04164911b7e4', '65eed33d-db39-4b87-b8a4-de20693d3821', '132133b4-5554-4500-9494-87f534100012']","['132133b4-5554-4500-9494-87f534100012', '65eed33d-db39-4b87-b8a4-de20693d3821', '3fd185a3-34a1-4f1a-9d01-aee3deee3988', 'fb491605-8f46-43ab-ba62-bfd86d95e4d6', '46786fd0-ca59-4ffa-a772-fe489fdbd94c', '93e661c0-3f68-4205-9141-04164911b7e4']","[9.0, 7.75, 2.75, 4.0, 5.25, 6.5]","[2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'black', 'black', 'black', 'grey', 'grey']","['Hit against one another ', 'Actively hit each other then took a step back ', 'Slowly touched each other ', 'Before slowly touching each other, move counterclockwise ', 'Move clockwise before slowly touching each other ', 'Playing soccer ']", , , 
28,17,24017,60d3740f31606cb50e49f00c,5,31,50,7,7,"['95aaf072-b6be-4da4-9857-deaf20ab49f2', '3fd185a3-34a1-4f1a-9d01-aee3deee3988', '7413c064-c0e5-4104-89aa-79d64ef9d6d9', '4cf04acf-6776-453a-a811-1c5e51c2ece4', '13e24563-ab7e-41df-adf6-e8e88b4d9e08', '09060d5d-c3e1-451b-a3b5-4b2b567660ff', '3322caf5-0aeb-4230-89db-c56b23e94819']","['3fd185a3-34a1-4f1a-9d01-aee3deee3988', '09060d5d-c3e1-451b-a3b5-4b2b567660ff', '13e24563-ab7e-41df-adf6-e8e88b4d9e08', '4cf04acf-6776-453a-a811-1c5e51c2ece4', '7413c064-c0e5-4104-89aa-79d64ef9d6d9', '3322caf5-0aeb-4230-89db-c56b23e94819', '95aaf072-b6be-4da4-9857-deaf20ab49f2']","[2.75, 7.75, 6.5, 5.25, 4.0, 9.0, 1.5]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'grey', 'grey', 'black', 'black', 'grey', 'grey']","['the dots were colliding, then moving in opposite directions, then colliding again', 'the dots were colliding into each other repeatedly', 'the dots were repeatedly colliding into each other', 'the dots were colliding into each other when they got close', 'the dots were running into each other', 'the dots were running into each other when they got close', 'the dots were gently bumping into each other repeatedly, much gentler than before']",children,just wrote what i saw in the videos,fun survey
29,20,24020,5df89cab69a117620a70f1ee,5,2,50,7,7,"['8ed7c0fc-1490-4e35-a000-7f7357a0772a', 'c3cfe5d9-0b66-460b-a3db-a76a0df825ae', '70326c05-1133-4c5d-8a4c-3e71e0da8479', '8a889364-bfa4-42f7-8d4c-ee7478ea863c', '93e661c0-3f68-4205-9141-04164911b7e4', '3dbdd697-e200-4003-92f8-47202577ad0a', '7d40f846-95bc-4c08-b7a1-b4a410852b77']","['c3cfe5d9-0b66-460b-a3db-a76a0df825ae', '7d40f846-95bc-4c08-b7a1-b4a410852b77', '93e661c0-3f68-4205-9141-04164911b7e4', '3dbdd697-e200-4003-92f8-47202577ad0a', '70326c05-1133-4c5d-8a4c-3e71e0da8479', '8a889364-bfa4-42f7-8d4c-ee7478ea863c', '8ed7c0fc-1490-4e35-a000-7f7357a0772a']","[2.75, 9.0, 6.5, 7.75, 4.0, 5.25, 1.5]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'black', 'grey', 'black', 'black', 'black', 'grey']","['running to each other', 'hide and go seek', 'running and then hitting each other', 'running away from each other then running back', 'playing a sword game', 'playing a wrestling game', 'running and finding each other']",children,I was trying to imagine a park and what the kids could be playing,interested to know what they were doing
30,21,24021,63d16bb09fbf6b74afb1a010,5,50,50,7,7,"['e5e05e73-9cd0-4990-8da2-4962e0a03e5d', '8fa1d226-bf98-4c72-8961-7121546d4a11', '68382d9c-6cc5-4669-84bf-c8058e3c1472', '384dc3de-9717-4531-83a1-683588fe1381', '5456278f-d454-4194-af69-2784112cffb9', '8aeee0c2-7419-4cbe-aa42-af10b66f80b4', '1be4605b-9f78-45d4-8eb0-87bdc69537e2']","['384dc3de-9717-4531-83a1-683588fe1381', '68382d9c-6cc5-4669-84bf-c8058e3c1472', '8fa1d226-bf98-4c72-8961-7121546d4a11', 'e5e05e73-9cd0-4990-8da2-4962e0a03e5d', '8aeee0c2-7419-4cbe-aa42-af10b66f80b4', '1be4605b-9f78-45d4-8eb0-87bdc69537e2', '5456278f-d454-4194-af69-2784112cffb9']","[5.25, 4.0, 2.75, 1.5, 7.75, 9.0, 6.5]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'black', 'grey', 'grey', 'black', 'grey', 'grey']","['running too and fro', 'playing tag together', 'walking around and seeking each other', 'running around and seeing each other', 'playing tag together', 'running around and bumping in to each other', 'avoid then collide']",children,watch and observe the dots,none
31,22,24022,5ec58d7f3892d95b70e4c264,5,68,50,7,7,"['8ed7c0fc-1490-4e35-a000-7f7357a0772a', '0bad25fa-4a38-4561-9d35-56f1108797cd', '1f7aa6f4-6516-4b90-8eeb-142b1437644b', '4cf04acf-6776-453a-a811-1c5e51c2ece4', 'debe6245-13a4-4a31-b28a-e7b25ce8fa93', '2d84acc9-9c9b-441c-9a1a-c901bc48b88f', 'abb20336-74c4-448b-a5f7-252c765a55f4']","['8ed7c0fc-1490-4e35-a000-7f7357a0772a', 'debe6245-13a4-4a31-b28a-e7b25ce8fa93', '4cf04acf-6776-453a-a811-1c5e51c2ece4', '0bad25fa-4a38-4561-9d35-56f1108797cd', '2d84acc9-9c9b-441c-9a1a-c901bc48b88f', '1f7aa6f4-6516-4b90-8eeb-142b1437644b', 'abb20336-74c4-448b-a5f7-252c765a55f4']","[1.5, 6.5, 5.25, 2.75, 7.75, 4.0, 9.0]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'grey', 'black', 'black', 'grey', 'black', 'black']","['tag', 'fighting', 'playing', 'basketball', 'running', 'hide and seek', 'playing pretend']",children,I tried to imagine it in person.,"I won't lie, I was really confused by the dots repeatedly hitting each other."
32,23,24023,5cd614b68dcfe200017d8cae,5,57,50,7,7,"['31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50', 'bcca6dd9-a0e7-4373-9ebc-93e6e619ca4a', '114b2369-dce5-4979-8319-c64c85175e6a', '9ed3a785-369e-4eb1-b5ca-50d2602a44d4', '1827c058-6388-491a-b84c-d4d6c512039e', '44ab78ba-bb99-4b6d-a69b-ede18f9116ec', '16718611-6bca-4e79-8071-94d68c181ba1']","['16718611-6bca-4e79-8071-94d68c181ba1', '114b2369-dce5-4979-8319-c64c85175e6a', '1827c058-6388-491a-b84c-d4d6c512039e', 'bcca6dd9-a0e7-4373-9ebc-93e6e619ca4a', '9ed3a785-369e-4eb1-b5ca-50d2602a44d4', '44ab78ba-bb99-4b6d-a69b-ede18f9116ec', '31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50']","[9.0, 4.0, 6.5, 2.75, 5.25, 7.75, 1.5]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'grey', 'grey', 'black', 'grey', 'black', 'grey']","['There were circling each other and then ran towards each other.', 'The dots move away from each other and then collide. The grey dot seemed to instigate the collision.', ""The black dot slowly closed in on the grey dot, and which it got close the grey dot 'attacked' it."", 'The dots circle each other and then collide together.', 'The grey dot follows the black dot and then sudden speed up. When it gets close to the black dot, the black then moves toward the grey dot causing them to collide.', 'The dots seem to move randomly and then attack each other. ', 'The dots move randomly and then slowly collide or connect with each other.']",children,I was trying to see which dot instigate the collision or the coming together of the dots.,I didn't noticed a big variety. Most of the animation were too similar to describe differently.
33,26,24026,65cfd63f31c934ef41d14881,5,3,50,7,7,"['15dfbaca-4429-4c18-90f4-8d4804129e6f', '8dc79a0d-b826-4ac2-8483-04346b06960d', '50bec0a0-7e7c-4edd-a8eb-394750dbdb77', '82cc23d1-ba4b-48c5-995a-a30d865ea249', '187f8493-9a30-43cc-a2bd-5d96f6d2263d', '905c9d73-dba9-472d-a6e4-ea3dcd3b3530', '1be4605b-9f78-45d4-8eb0-87bdc69537e2']","['82cc23d1-ba4b-48c5-995a-a30d865ea249', '15dfbaca-4429-4c18-90f4-8d4804129e6f', '187f8493-9a30-43cc-a2bd-5d96f6d2263d', '1be4605b-9f78-45d4-8eb0-87bdc69537e2', '905c9d73-dba9-472d-a6e4-ea3dcd3b3530', '50bec0a0-7e7c-4edd-a8eb-394750dbdb77', '8dc79a0d-b826-4ac2-8483-04346b06960d']","[5.25, 1.5, 6.5, 9.0, 7.75, 4.0, 2.75]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'black', 'black', 'grey', 'grey', 'grey', 'black']","['The dots were hitting each other', 'The dots were coming together in a more friendly was', 'The dots are fighting', 'The dots were playing together', 'The dots are hitting themselves in an unfriendly manner', 'The dots are playing', 'The dots were playing']",children,None,None
34,29,24029,659c4c8d01c4bba4fc90801a,5,4,50,7,7,"['fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce', '42a6675b-868f-488d-a671-17a04c97ab01', '9f53cd68-f278-45d6-806a-74eeef55bbcc', '9cf1ba8f-113d-408d-831d-4cf31ca51b3b', '5456278f-d454-4194-af69-2784112cffb9', '50f23891-0e3f-40d3-8bcb-a5bcfcec1987', 'abb20336-74c4-448b-a5f7-252c765a55f4']","['abb20336-74c4-448b-a5f7-252c765a55f4', '9f53cd68-f278-45d6-806a-74eeef55bbcc', '50f23891-0e3f-40d3-8bcb-a5bcfcec1987', '5456278f-d454-4194-af69-2784112cffb9', 'fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce', '42a6675b-868f-488d-a671-17a04c97ab01', '9cf1ba8f-113d-408d-831d-4cf31ca51b3b']","[9.0, 4.0, 7.75, 6.5, 1.5, 2.75, 5.25]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'grey', 'grey', 'grey', 'black', 'black', 'grey']","['moving around and meeting at a point', 'moving up and down and hitting each other', 'moving at the center and clapping together', 'move apart then meet again', 'moving forward and backward', 'clicking from side to side', 'moving apart then clicking together again']",children,I answered according to how I saw the dots and didn't apply any special strategy.,"The dots movement from all slides looks similar. Aside that, the study seems interesting."
35,31,24031,65e0a1efe40da7dca645fd7f,5,49,50,7,7,"['d3cc8306-21ab-4f88-ae4f-3970e4cd53ea', 'd445e5d9-95ae-4a8f-a6bf-53380fef78b4', '50bec0a0-7e7c-4edd-a8eb-394750dbdb77', '2ef99e5f-bc49-429b-b086-41ed4571b58a', 'e3160d16-fe5e-4987-918b-0921ab937804', '5a652d01-49a0-4b52-a54c-51c21b53e0fe', '7a2ccf3c-feb4-4b5c-9c03-44c10f774f9a']","['50bec0a0-7e7c-4edd-a8eb-394750dbdb77', '2ef99e5f-bc49-429b-b086-41ed4571b58a', '7a2ccf3c-feb4-4b5c-9c03-44c10f774f9a', 'e3160d16-fe5e-4987-918b-0921ab937804', 'd3cc8306-21ab-4f88-ae4f-3970e4cd53ea', 'd445e5d9-95ae-4a8f-a6bf-53380fef78b4', '5a652d01-49a0-4b52-a54c-51c21b53e0fe']","[4.0, 5.25, 9.0, 6.5, 1.5, 2.75, 7.75]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'black', 'black', 'black', 'grey', 'black', 'grey']","['Running', 'Hide and seek', 'Running for a while and touching each other afterwards', 'Touching bodies', 'Hugging', 'hugging', 'Dodging touches']",children,I tried using the speed with which they came close to each other to make my prediction.,NO
36,32,24032,5a6759ad35f26b0001496694,5,62,38,7,6,"['e4bc0778-6eb7-4065-bf77-a9b6e293735f', 'c49bbdbd-6e52-4da5-887c-72db9cec7d93', '7c45bceb-e7dc-4a58-a9f2-02aa015541c6', '35ae5b09-f580-4922-91bd-f22c23175a47', '755a600e-d336-4f66-8771-52eed84faf02', '8aeee0c2-7419-4cbe-aa42-af10b66f80b4', '8e6be05b-c10c-43db-b062-a559f5033312']","['35ae5b09-f580-4922-91bd-f22c23175a47', '7c45bceb-e7dc-4a58-a9f2-02aa015541c6', '755a600e-d336-4f66-8771-52eed84faf02', 'c49bbdbd-6e52-4da5-887c-72db9cec7d93', '8aeee0c2-7419-4cbe-aa42-af10b66f80b4', '8e6be05b-c10c-43db-b062-a559f5033312']","[5.25, 4.0, 6.5, 2.75, 7.75, 9.0]","[2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'grey', 'black', 'grey', 'black', 'grey']","['Playing tag.', 'playing football', 'on a swing', 'going down a slide', 'walking around', 'seesaw']", , , 
37,33,24033,61019fe1c6bc61fafe1c74fe,5,56,38,7,6,"['29e7c94f-a6bf-4f1d-8ea1-46efbdb6a836', '94eac034-9d70-40c0-89d4-d9a030a03d26', '609aaddc-b0c4-4442-b4ef-ba29fa1dbe22', '4cf04acf-6776-453a-a811-1c5e51c2ece4', '755a600e-d336-4f66-8771-52eed84faf02', '8845e64c-078b-4a3a-a732-1efe937de14a', '6a57f963-5846-4eaa-a5d2-0e658499a4a9']","['94eac034-9d70-40c0-89d4-d9a030a03d26', '4cf04acf-6776-453a-a811-1c5e51c2ece4', '8845e64c-078b-4a3a-a732-1efe937de14a', '6a57f963-5846-4eaa-a5d2-0e658499a4a9', '755a600e-d336-4f66-8771-52eed84faf02', '609aaddc-b0c4-4442-b4ef-ba29fa1dbe22']","[2.75, 5.25, 7.75, 9.0, 6.5, 4.0]","[2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'black', 'grey', 'grey', 'black', 'black']","['They keep knocking into each other.', 'They got lower, knocking into each other.', 'The black dot kept going after the grey dot.', 'The grey dot seems to be going after the black dot.', 'The black dot has the higher ground, knocking into the grey dot.', 'The grey dot has the higher power but the black dot kept doing after the grey dot.']", , , 
38,34,24034,6525684f0a285b2386b10497,5,94,50,7,7,"['7e595f18-f375-4ca5-b922-61b8d693804d', '94eac034-9d70-40c0-89d4-d9a030a03d26', '7413c064-c0e5-4104-89aa-79d64ef9d6d9', '384dc3de-9717-4531-83a1-683588fe1381', '2c174300-1111-477c-b605-e34e6031cd26', '2d84acc9-9c9b-441c-9a1a-c901bc48b88f', '2abe0875-f8ff-4373-aad8-bca142211a09']","['7413c064-c0e5-4104-89aa-79d64ef9d6d9', '384dc3de-9717-4531-83a1-683588fe1381', '2abe0875-f8ff-4373-aad8-bca142211a09', '7e595f18-f375-4ca5-b922-61b8d693804d', '94eac034-9d70-40c0-89d4-d9a030a03d26', '2d84acc9-9c9b-441c-9a1a-c901bc48b88f', '2c174300-1111-477c-b605-e34e6031cd26']","[4.0, 5.25, 9.0, 1.5, 2.75, 7.75, 6.5]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'black', 'black', 'black', 'grey', 'grey', 'grey']","['They were playing with each other', 'The dots were running around and then hitting into each other', 'Colliding', 'Engaging in a playful dance', 'Enjoying the spacious environment', 'Encouraging each other to enjoy the space', 'Playing around']",children,None,none
39,36,24036,6537c0ee33e1cd613a18121a,5,54,50,7,7,"['15dfbaca-4429-4c18-90f4-8d4804129e6f', '46c1720a-0af5-44e9-b008-09b89ef78bd9', '86e26a06-c6f9-47dc-bc1f-1c78f1f93251', '46786fd0-ca59-4ffa-a772-fe489fdbd94c', '2fa02aa8-ef06-46e0-87af-9e3b7267ee79', '534a6ddb-dbec-42ac-b559-3f4cbdd66423', 'abb20336-74c4-448b-a5f7-252c765a55f4']","['534a6ddb-dbec-42ac-b559-3f4cbdd66423', 'abb20336-74c4-448b-a5f7-252c765a55f4', '2fa02aa8-ef06-46e0-87af-9e3b7267ee79', '86e26a06-c6f9-47dc-bc1f-1c78f1f93251', '46c1720a-0af5-44e9-b008-09b89ef78bd9', '46786fd0-ca59-4ffa-a772-fe489fdbd94c', '15dfbaca-4429-4c18-90f4-8d4804129e6f']","[7.75, 9.0, 6.5, 4.0, 2.75, 5.25, 1.5]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'black', 'grey', 'black', 'grey', 'grey', 'black']","['Running at each other', 'Playing it', 'Running around', 'Swings', 'Tag', 'Playing', 'Walking around']",children,No,No
40,37,24037,63ea5f39871e9fdef021a53d,5,65,50,7,7,"['1b1159fc-de2b-4ae5-a736-d98d8524a366', '8fa1d226-bf98-4c72-8961-7121546d4a11', '50781782-fbf2-4226-a593-5173be906638', '86e934a2-75ef-4084-a167-ce0ca737532d', '1827c058-6388-491a-b84c-d4d6c512039e', '09060d5d-c3e1-451b-a3b5-4b2b567660ff', '5b2465b2-47b6-4cc7-b06f-c362ff7454f8']","['8fa1d226-bf98-4c72-8961-7121546d4a11', '5b2465b2-47b6-4cc7-b06f-c362ff7454f8', '86e934a2-75ef-4084-a167-ce0ca737532d', '50781782-fbf2-4226-a593-5173be906638', '1b1159fc-de2b-4ae5-a736-d98d8524a366', '1827c058-6388-491a-b84c-d4d6c512039e', '09060d5d-c3e1-451b-a3b5-4b2b567660ff']","[2.75, 9.0, 5.25, 4.0, 1.5, 6.5, 7.75]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'black', 'grey', 'black', 'black', 'grey', 'grey']","['high fiving', 'body slamming', 'fighting', 'playing tag', 'hugging', 'jousting', 'charging each other']",children,Tried to imagine different activities with similar movements,No
41,43,24043,6595f211237dade9306a6602,5,95,50,7,7,"['95aaf072-b6be-4da4-9857-deaf20ab49f2', 'cc654364-6ba7-42d1-b98c-c44f96b2e4e4', 'a0007ede-8266-4a38-bf86-2a3e66d5d5d4', '82cc23d1-ba4b-48c5-995a-a30d865ea249', '755a600e-d336-4f66-8771-52eed84faf02', '7b0c39f7-8bb3-4c19-94da-30117a8ec17d', '87da47db-3d5c-48b2-b3f2-123123d766f0']","['82cc23d1-ba4b-48c5-995a-a30d865ea249', '95aaf072-b6be-4da4-9857-deaf20ab49f2', '87da47db-3d5c-48b2-b3f2-123123d766f0', '7b0c39f7-8bb3-4c19-94da-30117a8ec17d', 'cc654364-6ba7-42d1-b98c-c44f96b2e4e4', '755a600e-d336-4f66-8771-52eed84faf02', 'a0007ede-8266-4a38-bf86-2a3e66d5d5d4']","[5.25, 1.5, 9.0, 7.75, 2.75, 6.5, 4.0]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'grey', 'grey', 'black', 'black', 'black', 'grey']","['charging at each other', 'tag', 'swings', 'swings', 'tag', 'chasing', 'tag']",children,No,No
