,subID,stimset_rows,chargeSpeeds,responses,movie,trial_num
6,24010,11,1.5,all the dots came together slowly,e5e05e73-9cd0-4990-8da2-4962e0a03e5d,6
4,24019,14,1.5,"Really lethargic, once contact is made the dots slowly remove themselves.",81e3fe3f-5a7c-42d3-8ea7-c2bf3831288b,4
2,24024,17,1.5,playing independently then making contact,31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50,2
3,24070,24,1.5,pick a ball and drop on the same spot,fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce,3
2,24027,6,1.5,dancing,1b1159fc-de2b-4ae5-a736-d98d8524a366,2
3,24007,13,1.5,Walking,1a8cf3c1-690b-449c-bb36-fd3b251837c1,3
5,24051,23,1.5,The dots were moving to and fro.,31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50,5
4,24015,9,1.5,greeting each other,7e595f18-f375-4ca5-b922-61b8d693804d,4
1,24047,9,1.5,Wrestling,7e595f18-f375-4ca5-b922-61b8d693804d,1
3,24035,19,1.5,moving in slow circles before slowly approaching each other,0e704828-9ccd-480e-8056-3a2a8158df0f,3
1,24038,20,1.5,meeting,e4bc0778-6eb7-4065-bf77-a9b6e293735f,1
1,24018,8,1.5,smooth fight,9d425f58-501f-43f3-955e-05126bd09bb5,1
2,24046,15,1.5,Going to the movies,e838dadb-c02f-4273-ae93-210720dcd06c,2
1,24039,16,1.5,coping each other,e4bc0778-6eb7-4065-bf77-a9b6e293735f,1
3,24042,12,1.5,They are playing musical chairs,1f6c6525-a740-48c2-8dfc-9c4fb520c630,3
0,24030,25,1.5,coming together and then apart and then together again. Playing i reckon,e838dadb-c02f-4273-ae93-210720dcd06c,0
4,24088,21,1.5,Same game slower pace,e5e05e73-9cd0-4990-8da2-4962e0a03e5d,4
1,24071,22,1.5,Interacting in a respectful manner,81e3fe3f-5a7c-42d3-8ea7-c2bf3831288b,1
4,24016,13,1.5,team,1a8cf3c1-690b-449c-bb36-fd3b251837c1,4
6,24001,5,1.5,dancing,b3a507ff-2289-4ad3-8922-1a3d0532e154,6
0,24098,41,1.5,Playing tag,1b1159fc-de2b-4ae5-a736-d98d8524a366,0
6,24100,71,1.5,playing,31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50,6
6,24000,22,1.5,playing,81e3fe3f-5a7c-42d3-8ea7-c2bf3831288b,6
0,24028,6,1.5,the kids were sharing a toy,1b1159fc-de2b-4ae5-a736-d98d8524a366,0
5,24101,82,1.5,Running around,9d425f58-501f-43f3-955e-05126bd09bb5,5
1,24040,23,1.5,"Play fighting, walking around and then attacking",31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50,1
5,24092,18,1.5,Walking around,d3cc8306-21ab-4f88-ae4f-3970e4cd53ea,5
2,24099,86,1.5,They are calmer this time. I would say they are playing together.,1f6c6525-a740-48c2-8dfc-9c4fb520c630,2
0,24090,17,1.5,They collided with each other,31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50,0
4,24043,95,2.75,tag,cc654364-6ba7-42d1-b98c-c44f96b2e4e4,4
3,24047,9,2.75,Fencing,88ff8e25-5b4f-453c-add2-298ef66c683c,3
0,24017,31,2.75,"the dots were colliding, then moving in opposite directions, then colliding again",3fd185a3-34a1-4f1a-9d01-aee3deee3988,0
1,24045,92,2.75,dancing,32110051-52cf-4952-a6e5-4c5fe75760b7,1
2,24014,75,2.75,Slowly touched each other ,3fd185a3-34a1-4f1a-9d01-aee3deee3988,2
4,24013,45,2.75,looking for something and checking with each other,88ff8e25-5b4f-453c-add2-298ef66c683c,4
3,24048,67,2.75,playing,46c1720a-0af5-44e9-b008-09b89ef78bd9,3
0,24046,15,2.75,Playing,94eac034-9d70-40c0-89d4-d9a030a03d26,0
4,24093,10,2.75,The dots were playing ball,215ead11-5650-429d-b541-0b107fbb996a,4
6,24049,73,2.75,coming together then moving apart,215ead11-5650-429d-b541-0b107fbb996a,6
5,24044,43,2.75,bouncing off each other,112b96b3-6518-4053-ad9f-ff77320acc23,5
1,24051,23,2.75,The dots were moving to and fro.,d445e5d9-95ae-4a8f-a6bf-53380fef78b4,1
2,24088,21,2.75,"Same as before, maybe tag game",0bad25fa-4a38-4561-9d35-56f1108797cd,2
0,24037,65,2.75,high fiving,8fa1d226-bf98-4c72-8961-7121546d4a11,0
3,24022,68,2.75,basketball,0bad25fa-4a38-4561-9d35-56f1108797cd,3
6,24026,3,2.75,The dots were playing,8dc79a0d-b826-4ac2-8483-04346b06960d,6
2,24083,7,2.75,Walking around before 1 dot would start moving to a centre point with the other dot reacting and trying to beat the first dot to the centre,32110051-52cf-4952-a6e5-4c5fe75760b7,2
4,24071,22,2.75,Somehow slowly approached one another,59df47e5-696a-407f-aa33-94dab9b3e492,4
5,24029,4,2.75,clicking from side to side,42a6675b-868f-488d-a671-17a04c97ab01,5
0,24052,82,2.75,playing tag,8fa1d226-bf98-4c72-8961-7121546d4a11,0
5,24031,49,2.75,hugging,d445e5d9-95ae-4a8f-a6bf-53380fef78b4,5
3,24032,62,2.75,going down a slide,c49bbdbd-6e52-4da5-887c-72db9cec7d93,3
0,24033,56,2.75,They keep knocking into each other.,94eac034-9d70-40c0-89d4-d9a030a03d26,0
6,24070,24,2.75,playing ball,8fa1d226-bf98-4c72-8961-7121546d4a11,6
4,24034,94,2.75,Enjoying the spacious environment,94eac034-9d70-40c0-89d4-d9a030a03d26,4
4,24036,54,2.75,Tag,46c1720a-0af5-44e9-b008-09b89ef78bd9,4
2,24021,50,2.75,walking around and seeking each other,8fa1d226-bf98-4c72-8961-7121546d4a11,2
3,24023,57,2.75,The dots circle each other and then collide together.,bcca6dd9-a0e7-4373-9ebc-93e6e619ca4a,3
0,24020,2,2.75,running to each other,c3cfe5d9-0b66-460b-a3db-a76a0df825ae,0
0,24092,18,2.75,Playing Tag,d445e5d9-95ae-4a8f-a6bf-53380fef78b4,0
6,24090,17,2.75,They were going very slow and then they crashed,112b96b3-6518-4053-ad9f-ff77320acc23,6
5,24096,33,2.75,"Wanting to interactive with each other, and does, but hesitantly",c496efe1-6c3e-480d-856f-af132dbe7048,5
4,24039,16,2.75,playing hide and seek ,46c1720a-0af5-44e9-b008-09b89ef78bd9,4
5,24079,38,2.75,Hugging,112b96b3-6518-4053-ad9f-ff77320acc23,5
3,24080,37,2.75,Perhaps playing a game,c3cfe5d9-0b66-460b-a3db-a76a0df825ae,3
1,24081,1,2.75,going around in a circle touching for a short time,8fa1d226-bf98-4c72-8961-7121546d4a11,1
2,24012,87,2.75,playing tag,215ead11-5650-429d-b541-0b107fbb996a,2
0,24007,13,2.75,Playing,0bad25fa-4a38-4561-9d35-56f1108797cd,0
6,24082,93,2.75,Chasing ,0bad25fa-4a38-4561-9d35-56f1108797cd,6
0,24084,47,2.75,playing tag,8dc79a0d-b826-4ac2-8483-04346b06960d,0
1,24001,5,2.75,running,204d8c5c-c9ac-4aef-956d-74de8c6eedc4,1
0,24085,32,2.75,playing catch,46c1720a-0af5-44e9-b008-09b89ef78bd9,0
2,24086,69,2.75,Running,c3cfe5d9-0b66-460b-a3db-a76a0df825ae,2
3,24101,82,2.75,Run-up High-fiving,8fa1d226-bf98-4c72-8961-7121546d4a11,3
3,24087,39,2.75,walking and touching,32110051-52cf-4952-a6e5-4c5fe75760b7,3
5,24100,71,2.75,playing,42a6675b-868f-488d-a671-17a04c97ab01,5
6,24089,34,2.75,playing hide and seek,204d8c5c-c9ac-4aef-956d-74de8c6eedc4,6
4,24091,25,2.75,chasing a dragonfly,42a6675b-868f-488d-a671-17a04c97ab01,4
0,24094,98,2.75,playing,c49bbdbd-6e52-4da5-887c-72db9cec7d93,0
0,24099,86,2.75,fighting,bcca6dd9-a0e7-4373-9ebc-93e6e619ca4a,0
6,24098,41,2.75,Playing hide and seek,59df47e5-696a-407f-aa33-94dab9b3e492,6
3,24095,64,2.75,just playing,d445e5d9-95ae-4a8f-a6bf-53380fef78b4,3
4,24009,8,2.75,swings,cc654364-6ba7-42d1-b98c-c44f96b2e4e4,4
0,24042,12,2.75,playing  tag,59df47e5-696a-407f-aa33-94dab9b3e492,0
2,24078,30,2.75,Playing mostly independantly,215ead11-5650-429d-b541-0b107fbb996a,2
1,24077,24,2.75,bouncing ,8fa1d226-bf98-4c72-8961-7121546d4a11,1
4,24053,77,2.75,Playing,8dc79a0d-b826-4ac2-8483-04346b06960d,4
3,24055,66,2.75,Playing tag,c496efe1-6c3e-480d-856f-af132dbe7048,3
2,24038,20,2.75,playing,c49bbdbd-6e52-4da5-887c-72db9cec7d93,2
3,24058,96,2.75,enjoying the surroundings,8dc79a0d-b826-4ac2-8483-04346b06960d,3
2,24061,89,2.75,Meeting,c3cfe5d9-0b66-460b-a3db-a76a0df825ae,2
3,24097,84,2.75,playing tag,204d8c5c-c9ac-4aef-956d-74de8c6eedc4,3
1,24063,0,2.75,Colliding,3fd185a3-34a1-4f1a-9d01-aee3deee3988,1
1,24066,59,2.75,Bumping together,c496efe1-6c3e-480d-856f-af132dbe7048,1
0,24035,19,2.75,they were moving apart before coming back together and appearing to strike each other,c49bbdbd-6e52-4da5-887c-72db9cec7d93,0
2,24067,90,2.75,passing something to each other,d445e5d9-95ae-4a8f-a6bf-53380fef78b4,2
4,24030,25,2.75,"this one is football. when the ball comes close, they come together and when the bass is not they more apart.",42a6675b-868f-488d-a671-17a04c97ab01,4
0,24068,57,2.75,They are playing tag.,bcca6dd9-a0e7-4373-9ebc-93e6e619ca4a,0
0,24069,42,2.75,playing tag,215ead11-5650-429d-b541-0b107fbb996a,0
5,24027,6,2.75,wandering around,4a2adf87-0f15-4bc0-9837-899addfb179c,5
5,24073,35,2.75,playing tag,8dc79a0d-b826-4ac2-8483-04346b06960d,5
6,24074,76,2.75,riding in 'bumper' cars,94eac034-9d70-40c0-89d4-d9a030a03d26,6
2,24019,14,2.75,"Lackadaisical in manner, less violent.  ",c496efe1-6c3e-480d-856f-af132dbe7048,2
4,24075,46,2.75,swinging ,c3cfe5d9-0b66-460b-a3db-a76a0df825ae,4
3,24076,36,2.75,bump run around and play,4a2adf87-0f15-4bc0-9837-899addfb179c,3
0,24010,11,2.75,the dots hit them selves twice,bcca6dd9-a0e7-4373-9ebc-93e6e619ca4a,0
1,24062,63,2.75,running alongside one another than colliding,4a2adf87-0f15-4bc0-9837-899addfb179c,1
0,24000,22,2.75,fighting,59df47e5-696a-407f-aa33-94dab9b3e492,0
5,24011,60,2.75,running,88ff8e25-5b4f-453c-add2-298ef66c683c,5
2,24054,4,2.75,playing chase,42a6675b-868f-488d-a671-17a04c97ab01,2
2,24041,5,2.75,running around,204d8c5c-c9ac-4aef-956d-74de8c6eedc4,2
4,24056,1,2.75,playing,8fa1d226-bf98-4c72-8961-7121546d4a11,4
6,24040,23,2.75,Grey dot at a distance and then coming up to the black dot to be bounced back,d445e5d9-95ae-4a8f-a6bf-53380fef78b4,6
6,24006,52,2.75,tagging each other,204d8c5c-c9ac-4aef-956d-74de8c6eedc4,6
6,24057,12,2.75,Playing,59df47e5-696a-407f-aa33-94dab9b3e492,6
0,24059,7,2.75,Moving around then coming together,32110051-52cf-4952-a6e5-4c5fe75760b7,0
2,24028,6,2.75,the kids were playing a game,4a2adf87-0f15-4bc0-9837-899addfb179c,2
4,24025,3,2.75,Playing a game,8dc79a0d-b826-4ac2-8483-04346b06960d,4
2,24060,19,2.75,dancing,c49bbdbd-6e52-4da5-887c-72db9cec7d93,2
2,24050,14,2.75,"playing, running into each other",c496efe1-6c3e-480d-856f-af132dbe7048,2
1,24005,27,2.75,circling and coming together,bcca6dd9-a0e7-4373-9ebc-93e6e619ca4a,1
5,24008,54,2.75,Playing tag,46c1720a-0af5-44e9-b008-09b89ef78bd9,5
3,24018,8,2.75,playful mood,cc654364-6ba7-42d1-b98c-c44f96b2e4e4,3
1,24064,16,2.75,Marco polo,46c1720a-0af5-44e9-b008-09b89ef78bd9,1
3,24024,17,2.75,grey dot was encouraging the other dot to make contact,112b96b3-6518-4053-ad9f-ff77320acc23,3
5,24072,11,2.75,running into each other,bcca6dd9-a0e7-4373-9ebc-93e6e619ca4a,5
2,24016,13,2.75,Playing,0bad25fa-4a38-4561-9d35-56f1108797cd,2
2,24065,10,2.75,running round park,215ead11-5650-429d-b541-0b107fbb996a,2
5,24015,9,2.75,saying hello to each other,88ff8e25-5b4f-453c-add2-298ef66c683c,5
5,24002,20,2.75,They are gently approaching each other.,c49bbdbd-6e52-4da5-887c-72db9cec7d93,5
4,24004,88,2.75,colliding,4a2adf87-0f15-4bc0-9837-899addfb179c,4
4,24003,85,2.75,playing tag,112b96b3-6518-4053-ad9f-ff77320acc23,4
0,24049,73,4.0,circling then coming together,609aaddc-b0c4-4442-b4ef-ba29fa1dbe22,0
5,24057,12,4.0,Playing,5dd4bcf1-ee00-4ee7-8a76-483bdc62202c,5
6,24076,36,4.0,moving around interacting bumping and playing,609aaddc-b0c4-4442-b4ef-ba29fa1dbe22,6
2,24048,67,4.0,running back and forth,86e26a06-c6f9-47dc-bc1f-1c78f1f93251,2
3,24077,24,4.0,tagging,1a1c3419-9320-46a3-8b48-10e9514c3e7d,3
5,24058,96,4.0,walking around the park,1a1c3419-9320-46a3-8b48-10e9514c3e7d,5
3,24045,92,4.0,playing football,68382d9c-6cc5-4669-84bf-c8058e3c1472,3
1,24075,46,4.0,running around ,7413c064-c0e5-4104-89aa-79d64ef9d6d9,1
0,24080,37,4.0,Seems like they may be fighting or running at each other,5dd4bcf1-ee00-4ee7-8a76-483bdc62202c,0
2,24081,1,4.0,going in the opposite direction to each other  ,114b2369-dce5-4979-8319-c64c85175e6a,2
5,24082,93,4.0,Moving around and slowly going towards each other ,5dd4bcf1-ee00-4ee7-8a76-483bdc62202c,5
4,24054,4,4.0,hide and seek,9f53cd68-f278-45d6-806a-74eeef55bbcc,4
3,24044,43,4.0,tackling each other,70326c05-1133-4c5d-8a4c-3e71e0da8479,3
3,24078,30,4.0,Something between chicken and self play,48fe3ca9-b1df-491d-bef9-6d9c5edee227,3
5,24056,1,4.0,playing a game,114b2369-dce5-4979-8319-c64c85175e6a,5
4,24052,82,4.0,playing tag,fb491605-8f46-43ab-ba62-bfd86d95e4d6,4
