,subID,stimset_rows,subtlety,directness,responses,movie,trial_num,similarity_chasing,similarity_moveInd,similarity_chase_moveInd
0,15033,45,180,0.0,The dots were floating almost simultaneously following the same path but the black one wanted to catch the grey one. It was like they were playing tag,2176e0c4-bf6c-4f4a-a64b-23825205a150,0,0.3042093813419342,0.10649719834327698,0.19771218299865723
4,15034,43,180,0.0,Both dots hovering parallel to each other in the central plane of the box,4bc5af99-ede5-49ec-a929-d4fc6fae9b43,4,0.08116818219423294,0.10873061418533325,-0.02756243199110031
6,15035,44,180,0.0,The grey dot moved around in the central-left area of the field while the black dot moved slowly down the right side,4a6f7598-dc16-47d6-987e-a48c1f938428,6,0.12015408277511597,0.13708935678005219,-0.016935274004936218
1,15036,42,180,0.0,It looks like they're dancing,00139b14-fa60-4af8-9eba-0b4965060c34,1,0.2352631539106369,0.15377403795719147,0.08148911595344543
4,15037,46,180,0.0,"Light grey moving toward black, black making small circles toward top right",124f53c2-90c6-4716-8221-e86088f8d257,4,0.11770939826965332,0.11222875863313675,0.005480639636516571
4,15038,48,180,0.0,"the grey dot is almost going around in circles, the black dot not so",4bc5af99-ede5-49ec-a929-d4fc6fae9b43,4,0.1357143223285675,0.04147855564951897,0.09423576667904854
2,15039,47,180,0.0,both dots appear to have been moving independently with no regard for what the other was doing. ,70f615a0-31d5-42b9-a44b-f5746c0b41a8,2,0.13094867765903473,0.3484477400779724,-0.21749906241893768
4,15040,51,180,0.0,Both floating in their own spaces,12a3cd27-040f-4199-9edb-5cd4bb71b3d0,4,0.117383673787117,0.3238863945007324,-0.20650272071361542
6,15041,52,180,0.0,Grey dot was watching the Black dot,124f53c2-90c6-4716-8221-e86088f8d257,6,0.22509150207042694,0.06107937544584274,0.1640121266245842
3,15042,53,180,0.0,quite apart. Black dot was drifting top right. Left dot was moving bottom left.,802575f0-631d-4eeb-9e49-3b401b11b953,3,0.12202773243188858,0.29524263739585876,-0.17321490496397018
6,15043,56,180,0.0,Moving independently ,7bee52f4-919b-4633-b742-a0181f5f7f01,6,0.22766238451004028,1.0,-0.7723376154899597
3,15044,54,180,0.0,both going in circles at different times,00ccc21a-d63a-41eb-8d3b-a2315d7b0d3e,3,0.20706579089164734,0.30279168486595154,-0.0957258939743042
3,15045,50,180,0.0,both dots were interested in each other but did not want to actually make contact,70f615a0-31d5-42b9-a44b-f5746c0b41a8,3,0.24919678270816803,0.10223483294248581,0.14696194976568222
5,15046,57,180,0.0,they were moving in small curves slightly to left,0ea53c63-8350-4a50-8dec-ccbbf0e401dc,5,0.2108212113380432,0.27805599570274353,-0.06723478436470032
3,15047,61,180,0.0,Grey dot was following the black dot from a distance,7bee52f4-919b-4633-b742-a0181f5f7f01,3,0.209879532456398,0.10876872390508652,0.10111080855131149
5,15048,60,180,0.0,"Black dot was travelling diagonally SW to NE, grey dot was moving around jerkly in a small area",70f615a0-31d5-42b9-a44b-f5746c0b41a8,5,0.18233078718185425,0.24214664101600647,-0.05981585383415222
2,15049,58,180,0.0,Black is going in a small circular pattern along the horizontal center line but on the left half of the box. Grey was doing the similar pattern in the middle top of the box.,00139b14-fa60-4af8-9eba-0b4965060c34,2,0.04586133733391762,-0.06310874968767166,0.10897008702158928
5,15050,62,180,0.0,"They were independently drawing small circles and moving, but not impacted by each other",4bc5af99-ede5-49ec-a929-d4fc6fae9b43,5,0.03592175245285034,0.2658756673336029,-0.22995391488075256
4,15051,64,180,0.0,the black dot was moving in circles near the bottom right corner while the grey was doing the same near the top left corner.,4a6f7598-dc16-47d6-987e-a48c1f938428,4,0.12135046720504761,0.10587816685438156,0.015472300350666046
5,15052,69,180,0.0,the two dots were trying to get away from each other without going to far from each other,0ea53c63-8350-4a50-8dec-ccbbf0e401dc,5,0.26841846108436584,0.20853860676288605,0.0598798543214798
