ParticipantID,1_UCLA_qn0,1_UCLA_qn1,1_UCLA_qn2,1_UCLA_qn3,1_UCLA_qn4,1_UCLA_qn5,1_UCLA_qn6,1_UCLA_qn7,1_UCLA_qn8,1_UCLA_qn9,2_UCLA_qn10,2_UCLA_qn11,2_UCLA_qn12,2_UCLA_qn13,2_UCLA_qn14,2_UCLA_qn15,2_UCLA_qn16,2_UCLA_qn17,2_UCLA_qn18,2_UCLA_qn19,2_UCLA_qn20,total,total_nanMean,total_numMissResp,total_reweigh
30080,2.0,1.0,1.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,47.0,2.4210526315789473,0,47.0
30081,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,57.0,2.8421052631578947,0,57.0
30083,2.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0,2.0,2.0,58.0,2.9473684210526314,0,58.0
30084,2.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,55.0,2.736842105263158,0,55.0
30085,2.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,44.0,2.263157894736842,0,44.0
30086,2.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,56.0,2.8421052631578947,0,56.0
30087,1.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,48.0,2.4210526315789473,0,48.0
30088,1.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,4.0,1.0,1.0,4.0,4.0,3.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,42.0,2.1578947368421053,0,42.0
30089,3.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,65.0,3.263157894736842,0,65.0
30090,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,42.0,2.1052631578947367,0,42.0
30091,1.0,3.0,3.0,2.0,2.0,2.0,1.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,46.0,2.3157894736842106,0,46.0
30093,1.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,34.0,1.736842105263158,0,34.0
30094,2.0,2.0,2.0,1.0,2.0,1.0,3.0,4.0,3.0,1.0,2.0,4.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,45.0,2.263157894736842,0,45.0
30095,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,64.0,3.210526315789474,0,64.0
30096,2.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,55.0,2.736842105263158,0,55.0
30097,2.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,42.0,2.1578947368421053,0,42.0
30098,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,32.0,1.631578947368421,0,32.0
30099,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,43.0,2.1578947368421053,0,43.0
30101,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,69.0,3.473684210526316,0,69.0
