,ParticipantID,1_AQ_qn0,1_AQ_qn1,1_AQ_qn2,1_AQ_qn3,1_AQ_qn4,1_AQ_qn5,1_AQ_qn6,1_AQ_qn7,1_AQ_qn8,1_AQ_qn9,2_AQ_qn10,2_AQ_qn11,2_AQ_qn12,2_AQ_qn13,2_AQ_qn14,2_AQ_qn15,2_AQ_qn16,2_AQ_qn17,2_AQ_qn18,2_AQ_qn19,3_AQ_qn20,3_AQ_qn21,3_AQ_qn22,3_AQ_qn23,3_AQ_qn24,3_AQ_qn25,3_AQ_qn26,3_AQ_qn27,3_AQ_qn28,3_AQ_qn29,4_AQ_qn30,4_AQ_qn31,4_AQ_qn32,4_AQ_qn33,4_AQ_qn34,4_AQ_qn35,4_AQ_qn36,4_AQ_qn37,4_AQ_qn38,4_AQ_qn39,5_AQ_qn40,5_AQ_qn41,5_AQ_qn42,5_AQ_qn43,5_AQ_qn44,5_AQ_qn45,5_AQ_qn46,5_AQ_qn47,5_AQ_qn48,5_AQ_qn49,5_AQ_qn50,social skill,attention switching,imagination,attention to detail,communication,social_skill_nanMean,attn_switch_nanMean,img_nanMean,attn_to_det_nanMean,comm_nanMean,social_skill_numMissResp,attn_switch_numMissResp,img_numMissResp,attn_to_det_numMissResp,comm_numMissResp,social_skill_reweigh,attn_switch_reweigh,img_reweigh,attn_to_det_reweigh,comm_reweigh,Total_numMissResp
23,30073,3.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,3.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,0.0,3.0,1.0,3.0,1.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,16.0,19.0,11.0,19.0,15.0,1.6,1.9,1.1,1.9,1.5,0,0,0,0,0,16.0,19.0,11.0,19.0,15.0,0
24,30074,1.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,10.0,7.0,12.0,6.0,15.0,1.0,0.7,1.2,0.6,1.5,0,0,0,0,0,10.0,7.0,12.0,6.0,15.0,0
25,30075,2.0,3.0,2.0,3.0,2.0,3.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,2.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,3.0,0.0,0.0,3.0,2.0,9.0,15.0,13.0,16.0,11.0,0.9,1.5,1.3,1.6,1.1,0,0,0,0,0,9.0,15.0,13.0,16.0,11.0,0
26,30076,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,1.0,2.0,0.0,18.0,22.0,12.0,18.0,13.0,1.8,2.2,1.2,1.8,1.3,0,0,0,0,0,18.0,22.0,12.0,18.0,13.0,0
27,30077,3.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,3.0,2.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,3.0,0.0,2.0,2.0,2.0,21.0,21.0,16.0,22.0,15.0,2.1,2.1,1.6,2.2,1.5,0,0,0,0,0,21.0,21.0,16.0,22.0,15.0,0
28,30078,0.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,7.0,14.0,12.0,15.0,9.0,0.7,1.4,1.2,1.5,0.9,0,0,0,0,0,7.0,14.0,12.0,15.0,9.0,0
29,30079,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,8.0,15.0,9.0,9.0,7.0,0.8,1.5,0.9,0.9,0.7,0,0,0,0,0,8.0,15.0,9.0,9.0,7.0,0
30,30080,3.0,2.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,2.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,3.0,0.0,0.0,2.0,1.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,0.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,0.0,1.0,23.0,24.0,17.0,5.0,21.0,2.3,2.4,1.7,0.5,2.1,0,0,0,0,0,23.0,24.0,17.0,5.0,21.0,0
31,30081,1.0,2.0,3.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,19.0,14.0,16.0,16.0,8.0,1.9,1.4,1.6,1.6,0.8,0,0,0,0,0,19.0,14.0,16.0,16.0,8.0,0
33,30083,2.0,2.0,0.0,3.0,2.0,0.0,2.0,0.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,3.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,3.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,3.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,0.0,3.0,18.0,22.0,15.0,11.0,16.0,1.8,2.2,1.5,1.1,1.6,0,0,0,0,0,18.0,22.0,15.0,11.0,16.0,0
34,30084,2.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,16.0,23.0,13.0,16.0,13.0,1.6,2.3,1.3,1.6,1.3,0,0,0,0,0,16.0,23.0,13.0,16.0,13.0,0
35,30085,1.0,2.0,2.0,2.0,3.0,2.0,0.0,1.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,0.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,0.0,2.0,13.0,19.0,14.0,17.0,10.0,1.3,1.9,1.4,1.7,1.0,0,0,0,0,0,13.0,19.0,14.0,17.0,10.0,0
36,30086,2.0,1.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,14.0,14.0,9.0,16.0,4.0,1.4,1.4,0.9,1.6,0.4,0,0,0,0,0,14.0,14.0,9.0,16.0,4.0,0
37,30087,2.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,3.0,1.0,12.0,11.0,6.0,15.0,7.0,1.2,1.1,0.6,1.5,0.7,0,0,0,0,0,12.0,11.0,6.0,15.0,7.0,0
38,30088,1.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,3.0,0.0,3.0,1.0,3.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,9.0,16.0,11.0,12.0,5.0,0.9,1.6,1.1,1.2,0.5,0,0,0,0,0,9.0,16.0,11.0,12.0,5.0,0
39,30089,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,3.0,0.0,2.0,1.0,0.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,1.0,0.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,29.0,24.0,14.0,16.0,21.0,2.9,2.4,1.4,1.6,2.1,0,0,0,0,0,29.0,24.0,14.0,16.0,21.0,0
