,index,sub_ind,PID,month,date,stimset_rows,total_trials,nplanned_trialIDs,npresented_trialIDs,planned_trialIDs_all,presented_trialIDs_all,chargeSpeed,stim_dur,chargeSpeed_sorted,agent1_color,responses,agents_type,strategy,feedback
14,14,28014,66882a15353eca2a54556b06,7,23,45,48,7,7,"['9d425f58-501f-43f3-955e-05126bd09bb5', '88ff8e25-5b4f-453c-add2-298ef66c683c', '0890b767-b394-4f89-aea1-c60cab7014af', '2d3d47a2-03c8-4642-84ec-a8f67c64868c', 'd98f2d5f-eb3b-4ebd-b714-878343382f2a', '981d9d90-47c5-4443-a939-26060914c7e4', '91327185-f59e-4ae7-a000-fd66526bab82']","['91327185-f59e-4ae7-a000-fd66526bab82', 'd98f2d5f-eb3b-4ebd-b714-878343382f2a', '0890b767-b394-4f89-aea1-c60cab7014af', '981d9d90-47c5-4443-a939-26060914c7e4', '2d3d47a2-03c8-4642-84ec-a8f67c64868c', '88ff8e25-5b4f-453c-add2-298ef66c683c', '9d425f58-501f-43f3-955e-05126bd09bb5']","[9.0, 6.5, 4.0, 7.75, 5.25, 2.75, 1.5]","[7943, 8126, 8070, 7353, 8019, 8084, 8003]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'black', 'grey', 'black', 'black', 'grey', 'grey']","['the two dots roamed around randomly and hit each other twice', 'the dots hit each other then backed away from each other then hit eachother again and backed away again', ""the grey dot looked like it was aiming to hit the black dot and then the black dot 'retaliated' (this hapenned twice)"", 'it looked as if they were doing the opposite of eachother', 'again the grey started moving toward the black dot  and they hit each other', 'the two dots hit eachother but in a soft way', 'the two dots hit eachother twice and they did it very slowly']",children,"I just looked at the speed of the dots, how many times they hit eachorther and its movement",N/A
15,15,28015,5d70fd5d68c690001a59eb2d,7,23,46,48,7,7,"['50919f52-6a9c-4824-b24f-2f1aebd58e1b', 'c3cfe5d9-0b66-460b-a3db-a76a0df825ae', '7413c064-c0e5-4104-89aa-79d64ef9d6d9', '35ae5b09-f580-4922-91bd-f22c23175a47', 'debe6245-13a4-4a31-b28a-e7b25ce8fa93', '09060d5d-c3e1-451b-a3b5-4b2b567660ff', 'a5228b86-ba0a-42f2-aa38-23b5369f0e56']","['a5228b86-ba0a-42f2-aa38-23b5369f0e56', '50919f52-6a9c-4824-b24f-2f1aebd58e1b', 'c3cfe5d9-0b66-460b-a3db-a76a0df825ae', '7413c064-c0e5-4104-89aa-79d64ef9d6d9', 'debe6245-13a4-4a31-b28a-e7b25ce8fa93', '35ae5b09-f580-4922-91bd-f22c23175a47', '09060d5d-c3e1-451b-a3b5-4b2b567660ff']","[9.0, 1.5, 2.75, 4.0, 6.5, 5.25, 7.75]","[8279, 8354, 8293, 8266, 8220, 8256, 8297]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'black', 'grey', 'black', 'grey', 'black', 'grey']","['the dots alternated between slowly moving apart and rapidly being drawn into one another', 'the dots alternated at a normal speed between pulling apart and drawing together', 'the dots bounced off one another', 'the dots kept being drawn to one another but they each made the first move the two different times', 'the dots bounced off one another. almost looked like they were fighting this time', 'dots hit each other but more like dancing', 'dots came together equally almost like magnets']",animals,i tried to differentiate my answers to not say the same thing every time - but it was hard to articulate!,nope
16,16,28016,656f66232d3c056e81c7979d,7,23,51,48,7,7,"['7e595f18-f375-4ca5-b922-61b8d693804d', '4a2adf87-0f15-4bc0-9837-899addfb179c', '1a1c3419-9320-46a3-8b48-10e9514c3e7d', '9cf1ba8f-113d-408d-831d-4cf31ca51b3b', '14c0e4c6-94d9-41ec-b44a-5f6c8678230e', '2d84acc9-9c9b-441c-9a1a-c901bc48b88f', '9301277e-6b35-4aa7-bd52-4f56ae0f029b']","['9301277e-6b35-4aa7-bd52-4f56ae0f029b', '9cf1ba8f-113d-408d-831d-4cf31ca51b3b', '1a1c3419-9320-46a3-8b48-10e9514c3e7d', '2d84acc9-9c9b-441c-9a1a-c901bc48b88f', '14c0e4c6-94d9-41ec-b44a-5f6c8678230e', '4a2adf87-0f15-4bc0-9837-899addfb179c', '7e595f18-f375-4ca5-b922-61b8d693804d']","[9.0, 5.25, 4.0, 7.75, 6.5, 2.75, 1.5]","[8073, 8014, 8001, 7970, 7939, 8046, 7998]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'grey', 'grey', 'grey', 'black', 'black', 'black']","['clashing', 'clashes', 'attacks', 'clashing', 'attack', 'rotating', 'touches']",magnets,no,no
17,17,28017,653703627539f3a8b2ed4af3,7,23,48,48,7,7,"['e4bc0778-6eb7-4065-bf77-a9b6e293735f', '32110051-52cf-4952-a6e5-4c5fe75760b7', '50781782-fbf2-4226-a593-5173be906638', '27f4d7f8-d998-48b2-a3e4-f885f21c713d', '93e661c0-3f68-4205-9141-04164911b7e4', '3dbdd697-e200-4003-92f8-47202577ad0a', '132133b4-5554-4500-9494-87f534100012']","['132133b4-5554-4500-9494-87f534100012', '32110051-52cf-4952-a6e5-4c5fe75760b7', '3dbdd697-e200-4003-92f8-47202577ad0a', '50781782-fbf2-4226-a593-5173be906638', '93e661c0-3f68-4205-9141-04164911b7e4', 'e4bc0778-6eb7-4065-bf77-a9b6e293735f', '27f4d7f8-d998-48b2-a3e4-f885f21c713d']","[9.0, 2.75, 7.75, 4.0, 6.5, 1.5, 5.25]","[7866, 8005, 8034, 8015, 8010, 8022, 8033]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'grey', 'black', 'black', 'grey', 'black', 'grey']","['head-on collisions', 'slow head-on collisions', 'direct collisions', 'keeping distance then attacking', 'chase then attack', 'slow speed bumper cars', 'black attacking gray then collision']",animals,"no strategies, just observing what I saw.  Tried to notice what the dots were doing before the collisions.",Nope!
18,18,28018,668ed38697254405cf14b211,7,23,47,48,7,7,"['38ad4b16-44e2-4e52-8d02-b23eca73a48d', '8dc79a0d-b826-4ac2-8483-04346b06960d', '7c45bceb-e7dc-4a58-a9f2-02aa015541c6', '5f5a825b-b433-4986-b5d6-5239eb407d32', '8dbfdd79-2b3f-4297-8ec2-92d59884dd68', '7f445daf-d952-4bf3-b733-def683994895', '6e2932f2-a9d1-4f2a-9599-a872b605c1eb']","['5f5a825b-b433-4986-b5d6-5239eb407d32', '7f445daf-d952-4bf3-b733-def683994895', '8dc79a0d-b826-4ac2-8483-04346b06960d', '8dbfdd79-2b3f-4297-8ec2-92d59884dd68', '7c45bceb-e7dc-4a58-a9f2-02aa015541c6', '38ad4b16-44e2-4e52-8d02-b23eca73a48d', '6e2932f2-a9d1-4f2a-9599-a872b605c1eb']","[5.25, 7.75, 2.75, 6.5, 4.0, 1.5, 9.0]","[8065, 8029, 8039, 8045, 8070, 8115, 8090]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'black', 'black', 'black', 'grey', 'grey', 'grey']","['The 2 dots remained separate & abruptly collided twice.', 'The dots collided twice but only briefly.', 'The dots moved slower and moved together & then apart twice.', 'The dots moved in their own space & then abruptly moved together twice.', 'The dots moved in their own space & then joined together & then moved apart. This occured twice.', 'The dots moved a little slower & moved together twice.', 'The dots moved relatively slow & then abruptly moved together quickly then apart. This occured twice.']",animals,I observed the speed of the balls & how often they moved together.,No
19,19,28019,5f25e860dd98342ce97e7403,7,23,52,48,7,7,"['81e3fe3f-5a7c-42d3-8ea7-c2bf3831288b', '204d8c5c-c9ac-4aef-956d-74de8c6eedc4', '83dec58f-0765-4ddc-b785-670d8025c467', '8e0deaa9-1ac5-4e69-817a-3204f157f360', '2c174300-1111-477c-b605-e34e6031cd26', '015f75aa-de90-4fdc-8657-d630f1963869', '9f7e489f-4076-4332-b57e-13a42d4c75fd']","['2c174300-1111-477c-b605-e34e6031cd26', '204d8c5c-c9ac-4aef-956d-74de8c6eedc4', '83dec58f-0765-4ddc-b785-670d8025c467', '81e3fe3f-5a7c-42d3-8ea7-c2bf3831288b', '8e0deaa9-1ac5-4e69-817a-3204f157f360', '9f7e489f-4076-4332-b57e-13a42d4c75fd', '015f75aa-de90-4fdc-8657-d630f1963869']","[6.5, 2.75, 4.0, 1.5, 5.25, 9.0, 7.75]","[7971, 8083, 8042, 8058, 8042, 8139, 8018]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'grey', 'black', 'black', 'grey', 'black', 'black']","['the grey dot swept towards the black dot and then the black dot re-directed so they collided together', 'the black dot slowly swept towards the grey, the grey redirected and they collided', 'They black dot swept towards the grey, they grey redirected and they collided. They then went separate ways before the grey swept towards the black, the black redirected and they collided', 'the grey dot slowly swept towards the black dot, the black redirected and they slowly moved towards and each other and bounced off of each other', 'the dots were moving freely before choosing to redirect and collide with each other simultaneously', 'the dots were moving freely until they both redirected and chose to collide quickly with each other', 'The dots were floating freely before they redirected to collide and bounce off each other. They repeated this.']",insects,"I think they're most like insects. Particularly flying ones. I didn't use any set strategies, I just wrote what I saw and used the same (or similar) pattern of language to make it clearer.",It was easy to follow and navigate - thank you.
20,20,28020,667a1f5e23bc5cee5bdb0a89,7,23,49,48,7,7,"['d3cc8306-21ab-4f88-ae4f-3970e4cd53ea', 'd445e5d9-95ae-4a8f-a6bf-53380fef78b4', '50bec0a0-7e7c-4edd-a8eb-394750dbdb77', '2ef99e5f-bc49-429b-b086-41ed4571b58a', 'e3160d16-fe5e-4987-918b-0921ab937804', '5a652d01-49a0-4b52-a54c-51c21b53e0fe', '7a2ccf3c-feb4-4b5c-9c03-44c10f774f9a']","['5a652d01-49a0-4b52-a54c-51c21b53e0fe', '50bec0a0-7e7c-4edd-a8eb-394750dbdb77', '7a2ccf3c-feb4-4b5c-9c03-44c10f774f9a', 'e3160d16-fe5e-4987-918b-0921ab937804', 'd3cc8306-21ab-4f88-ae4f-3970e4cd53ea', 'd445e5d9-95ae-4a8f-a6bf-53380fef78b4', '2ef99e5f-bc49-429b-b086-41ed4571b58a']","[7.75, 4.0, 9.0, 6.5, 1.5, 2.75, 5.25]","[7925, 7986, 7816, 7908, 8008, 7998, 8010]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'grey', 'black', 'black', 'grey', 'black', 'black']","['the dots circled then attacked each other', 'dots passed by and then flew together', 'dots went opposite then together', 'grey dot shadowed black, then rammed it', 'dots gently came together', 'slow random movement before coming together', 'random movement, medium force collision']",animals,"No, not at all",I'd really like to know what these were mimicking.
21,21,28021,5bdcdbe6ee652a0001eff5f2,8,8,58,48,7,7,"['0e704828-9ccd-480e-8056-3a2a8158df0f', 'c49bbdbd-6e52-4da5-887c-72db9cec7d93', '5dd4bcf1-ee00-4ee7-8a76-483bdc62202c', '39d4c0f1-9195-4761-98c6-457bad8a2291', '8bee64f6-a3cb-48f4-be48-142b9065f5d7', '453a1fa5-895a-4a5e-a4cf-25c0a35d74d2', 'f45daf2e-6d4e-4a6f-ab5b-1829d67d93fe']","['8bee64f6-a3cb-48f4-be48-142b9065f5d7', '39d4c0f1-9195-4761-98c6-457bad8a2291', 'f45daf2e-6d4e-4a6f-ab5b-1829d67d93fe', '0e704828-9ccd-480e-8056-3a2a8158df0f', '5dd4bcf1-ee00-4ee7-8a76-483bdc62202c', 'c49bbdbd-6e52-4da5-887c-72db9cec7d93', '453a1fa5-895a-4a5e-a4cf-25c0a35d74d2']","[6.5, 5.25, 9.0, 1.5, 4.0, 2.75, 7.75]","[8164, 8322, 8183, 8245, 8255, 8200, 8079]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'black', 'grey', 'black', 'grey', 'grey', 'black']","['the dots collided into eachother repeatedly', 'the dots moved towards the right then collided together.', 'the dots moved outwards before colliding together.', 'the dots moved outwards before colliding together.', 'the dots moved in a circular motion before hitting into eachother.', 'The dots collided into eachother.', 'the dots moved in separate directions before colliding together.']",balls,No.,Thank you!
22,22,28022,5f85bcb11941de066ef7d941,8,8,59,48,7,7,"['1a8cf3c1-690b-449c-bb36-fd3b251837c1', 'c496efe1-6c3e-480d-856f-af132dbe7048', '1d41f125-7386-42b4-8250-f6c540c627a8', '82cc23d1-ba4b-48c5-995a-a30d865ea249', '3c21b0c7-30d1-41a7-99ae-02e24be36ad3', '085d7298-e568-4752-a909-8eecf82e3ebc', '5b2465b2-47b6-4cc7-b06f-c362ff7454f8']","['82cc23d1-ba4b-48c5-995a-a30d865ea249', '085d7298-e568-4752-a909-8eecf82e3ebc', '1d41f125-7386-42b4-8250-f6c540c627a8', '1a8cf3c1-690b-449c-bb36-fd3b251837c1', '3c21b0c7-30d1-41a7-99ae-02e24be36ad3', 'c496efe1-6c3e-480d-856f-af132dbe7048', '5b2465b2-47b6-4cc7-b06f-c362ff7454f8']","[5.25, 7.75, 4.0, 1.5, 6.5, 2.75, 9.0]","[8021, 7983, 8023, 8002, 8007, 8036, 8031]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'grey', 'black', 'grey', 'grey', 'black', 'black']","['The two dots were moving and sometimes they crashed each other.', 'The two dots were moving around the box and also fighting in some moment.', 'The dots moving slowly but they fought each other.', 'The dots meet each other warmly.', 'The dots following each other and sometimes crashed one another.', 'The dots moving normally and in some moment they were fighting.', 'The dots looked like enemy of each other and fighting.']",magnets,Not at all.,No comments.
23,23,28023,6692fcc54896e26c1dad62bb,8,8,66,48,7,7,"['fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce', 'c496efe1-6c3e-480d-856f-af132dbe7048', '96c2a684-adc3-4f98-8b2a-c19c48e7f5a9', '8a889364-bfa4-42f7-8d4c-ee7478ea863c', '2fa02aa8-ef06-46e0-87af-9e3b7267ee79', '8845e64c-078b-4a3a-a732-1efe937de14a', '9f7e489f-4076-4332-b57e-13a42d4c75fd']","['96c2a684-adc3-4f98-8b2a-c19c48e7f5a9', 'fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce', '9f7e489f-4076-4332-b57e-13a42d4c75fd', '8a889364-bfa4-42f7-8d4c-ee7478ea863c', '2fa02aa8-ef06-46e0-87af-9e3b7267ee79', 'c496efe1-6c3e-480d-856f-af132dbe7048', '8845e64c-078b-4a3a-a732-1efe937de14a']","[4.0, 1.5, 9.0, 5.25, 6.5, 2.75, 7.75]","[7969, 8033, 7889, 7960, 7833, 7963, 7750]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'black', 'black', 'black', 'grey', 'black', 'grey']","['they attracted then repelled', 'they went back and forth', 'they attracted fast then repelled', 'they slowly attracted and repelled', 'they attracted and repelled', 'they very slowly attracted then repelled', 'they quickly attracted and slowly repelled']",magnets,no,instructions were slightly confusing 
24,24,28024,66338f4346e84e4f0469bc21,8,8,65,48,7,7,"['1b1159fc-de2b-4ae5-a736-d98d8524a366', '8fa1d226-bf98-4c72-8961-7121546d4a11', '50781782-fbf2-4226-a593-5173be906638', '86e934a2-75ef-4084-a167-ce0ca737532d', '1827c058-6388-491a-b84c-d4d6c512039e', '09060d5d-c3e1-451b-a3b5-4b2b567660ff', '5b2465b2-47b6-4cc7-b06f-c362ff7454f8']","['8fa1d226-bf98-4c72-8961-7121546d4a11', '50781782-fbf2-4226-a593-5173be906638', '86e934a2-75ef-4084-a167-ce0ca737532d', '09060d5d-c3e1-451b-a3b5-4b2b567660ff', '1827c058-6388-491a-b84c-d4d6c512039e', '1b1159fc-de2b-4ae5-a736-d98d8524a366', '5b2465b2-47b6-4cc7-b06f-c362ff7454f8']","[2.75, 4.0, 5.25, 7.75, 6.5, 1.5, 9.0]","[7952, 8040, 7952, 8029, 7904, 7962, 8039]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'black', 'grey', 'grey', 'grey', 'black', 'black']","['they moved around and bounced into eachother twice', 'they bumped into eachother twice again. the lighter one being more aggressive', 'now they hit eachother twice again but the black one seemed more aggressive', 'they hit eachother twice again at a steeper angle', 'same as before', 'now they slowly met and touched twice', 'they hit each other hard from a horizontal angle']",animals,no,no
25,25,28025,66a11be0e258f379c9ffb01f,8,8,63,48,7,7,"['d3cc8306-21ab-4f88-ae4f-3970e4cd53ea', '4a2adf87-0f15-4bc0-9837-899addfb179c', '1d41f125-7386-42b4-8250-f6c540c627a8', '0a4312a1-7156-4c68-9698-0f1495558bee', '5456278f-d454-4194-af69-2784112cffb9', '8ecf5da9-a68c-4392-8c1a-ecb9754dd9d9', '9301277e-6b35-4aa7-bd52-4f56ae0f029b']","['1d41f125-7386-42b4-8250-f6c540c627a8', '5456278f-d454-4194-af69-2784112cffb9', '0a4312a1-7156-4c68-9698-0f1495558bee', '8ecf5da9-a68c-4392-8c1a-ecb9754dd9d9', '9301277e-6b35-4aa7-bd52-4f56ae0f029b', '4a2adf87-0f15-4bc0-9837-899addfb179c', 'd3cc8306-21ab-4f88-ae4f-3970e4cd53ea']","[4.0, 6.5, 5.25, 7.75, 9.0, 2.75, 1.5]","[8133, 8180, 8060, 8088, 8134, 8131, 8171]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'grey', 'grey', 'grey', 'black', 'black', 'grey']","['dots would float away and then collide into each other', 'dots would charge at each other to the point of colliding. one dot always started the charge and the other seemed to brace itself for impact', 'dots seemed to drift away from each other and then toward each other in brief intervals', 'one dot would start moving quickly towards the other dot and the other dot would move to intercept the incoming dot', 'one dot would charge towards the other dot whilst the other dot was in a cycle of moving away from the first dot', 'dots gently drifted towards each other to the point of colliding and then would drift away from each other', 'dots gently drifted towards each other to the point of colliding. the black dot seemed to instigate the drift towards the grey dot']",magnets,Kept my eyes on both dots to see if any patterns emerged,not at this time
26,26,28026,6658dbf284cb793eeaa04b41,8,8,64,48,7,7,"['9d425f58-501f-43f3-955e-05126bd09bb5', 'd445e5d9-95ae-4a8f-a6bf-53380fef78b4', '5dd4bcf1-ee00-4ee7-8a76-483bdc62202c', '2d3d47a2-03c8-4642-84ec-a8f67c64868c', '40860eea-1c44-4896-96b1-ee2d42a6c522', '534a6ddb-dbec-42ac-b559-3f4cbdd66423', '8649b489-429a-4894-9c74-827e94f04566']","['40860eea-1c44-4896-96b1-ee2d42a6c522', '5dd4bcf1-ee00-4ee7-8a76-483bdc62202c', '9d425f58-501f-43f3-955e-05126bd09bb5', '2d3d47a2-03c8-4642-84ec-a8f67c64868c', 'd445e5d9-95ae-4a8f-a6bf-53380fef78b4', '534a6ddb-dbec-42ac-b559-3f4cbdd66423', '8649b489-429a-4894-9c74-827e94f04566']","[6.5, 4.0, 1.5, 5.25, 2.75, 7.75, 9.0]","[7992, 8198, 8035, 8034, 8098, 7934, 8083]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'grey', 'grey', 'black', 'black', 'black', 'grey']","['they crashed twice', 'the crashed into each other twice again', 'again, they touched each other twice but a bit slower this time', 'touched each other twice', 'mover around, touched each other twice', 'move slowly then touched each other quickly', 'move closer until touching then away then touching each other again']",animals,no,no
27,27,28027,659d6e087606f95235236d8e,8,8,71,48,7,7,"['31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50', '42a6675b-868f-488d-a671-17a04c97ab01', '83dec58f-0765-4ddc-b785-670d8025c467', '9cf1ba8f-113d-408d-831d-4cf31ca51b3b', 'e2c787c5-5358-4a21-bb35-c422b37ef982', '3dbdd697-e200-4003-92f8-47202577ad0a', '7a2ccf3c-feb4-4b5c-9c03-44c10f774f9a']","['3dbdd697-e200-4003-92f8-47202577ad0a', '9cf1ba8f-113d-408d-831d-4cf31ca51b3b', '31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50', 'e2c787c5-5358-4a21-bb35-c422b37ef982', '42a6675b-868f-488d-a671-17a04c97ab01', '7a2ccf3c-feb4-4b5c-9c03-44c10f774f9a', '83dec58f-0765-4ddc-b785-670d8025c467']","[7.75, 5.25, 1.5, 6.5, 2.75, 9.0, 4.0]","[8349, 8397, 8243, 8274, 8407, 8157, 8416]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'grey', 'grey', 'grey', 'black', 'black', 'black']","['The dots moved away from eachother and then bumped into eachother, I think 3 times', 'The dots moved away from eachother and bumped into eachother two times, they were also spinning around', 'Dots gently bumped into eachother twice', 'Dots surged together once and then more gently bumped another time', 'Dots bumped eachother from opposite ends of box', 'Dots were floating around then bumped together twice', 'Dots floating around and bumped into eachother twice, separating again each time']",magnets,"Counted the number of times the dots bumped together, tried to see how they were moving the rest of the time (e.g. fast or slow)",I found all of the animations quite similar to eachother so it was hard to know whether I should be describing each one very differently/how much detail to go into about their movements
28,28,28028,668173a56ae4ada528986b1d,8,8,68,48,7,7,"['8ed7c0fc-1490-4e35-a000-7f7357a0772a', '0bad25fa-4a38-4561-9d35-56f1108797cd', '1f7aa6f4-6516-4b90-8eeb-142b1437644b', '4cf04acf-6776-453a-a811-1c5e51c2ece4', 'debe6245-13a4-4a31-b28a-e7b25ce8fa93', '2d84acc9-9c9b-441c-9a1a-c901bc48b88f', 'abb20336-74c4-448b-a5f7-252c765a55f4']","['debe6245-13a4-4a31-b28a-e7b25ce8fa93', 'abb20336-74c4-448b-a5f7-252c765a55f4', '4cf04acf-6776-453a-a811-1c5e51c2ece4', '0bad25fa-4a38-4561-9d35-56f1108797cd', '1f7aa6f4-6516-4b90-8eeb-142b1437644b', '2d84acc9-9c9b-441c-9a1a-c901bc48b88f', '8ed7c0fc-1490-4e35-a000-7f7357a0772a']","[6.5, 9.0, 5.25, 2.75, 4.0, 7.75, 1.5]","[8027, 7999, 8029, 8045, 8029, 7938, 8072]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'black', 'black', 'black', 'black', 'grey', 'grey']","['Both dots struck each other twice head on.', 'Both dots struck each other, the grey dot was the one that struck first.', 'Both dots hit each other, the black hit first then both dots hit at the same time.', 'Both dots slowly struck each other twice, the black was the one that moved first.', 'Both dots were far apart and hit each other twice slowly.', 'Both dots bounced off each other twice at a fast speed. ', 'both dots very slowly hit each other, the black was the one to make the first move.']",magnets,I just watched both balls and noted their positions and speed. I noticed a trend of all balls hitting each other twice. But their positions and speed of hitting was different. Also one ball usually moved first before the other.,"I enjoyed taking part, everything was clearly explained and it was a fun experiment. I faced no technical issues."
29,29,28029,65577234800b1fea9ae3cf4d,8,8,67,48,7,7,"['1a8cf3c1-690b-449c-bb36-fd3b251837c1', '46c1720a-0af5-44e9-b008-09b89ef78bd9', '86e26a06-c6f9-47dc-bc1f-1c78f1f93251', '8e0deaa9-1ac5-4e69-817a-3204f157f360', 'd98f2d5f-eb3b-4ebd-b714-878343382f2a', '44ab78ba-bb99-4b6d-a69b-ede18f9116ec', '1be4605b-9f78-45d4-8eb0-87bdc69537e2']","['86e26a06-c6f9-47dc-bc1f-1c78f1f93251', '46c1720a-0af5-44e9-b008-09b89ef78bd9', '44ab78ba-bb99-4b6d-a69b-ede18f9116ec', '1a8cf3c1-690b-449c-bb36-fd3b251837c1', 'd98f2d5f-eb3b-4ebd-b714-878343382f2a', '1be4605b-9f78-45d4-8eb0-87bdc69537e2', '8e0deaa9-1ac5-4e69-817a-3204f157f360']","[4.0, 2.75, 7.75, 1.5, 6.5, 9.0, 5.25]","[8251, 8321, 8138, 8212, 8271, 8191, 8178]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'grey', 'black', 'grey', 'black', 'grey', 'grey']","['the dots move opposite of each then are pulled to together, almost like a magnet.', 'the black dot moves opposite of the grey dot then is pulled toward the grey dot.. its pull is stronger than the grey dots pull', 'both dots move randomly on their won the pulled together magnetically very fast and instant', 'in this one it seems the black dot has more motion than the grey dot before being pulled in together magnetically ', 'the black and grey dot has equal force in being pulled together. At first, it looked like the black dot was initiating the force then in the other bump it looked as though the grey dot was initiating the force', ""With this one i feel the grey dot's movement was less chaotic and the black dot movement was more round and in a circular motion before coming together or being pulled in within the frame"", 'this one was tricky because at first it looked like the dots each had different motions before being pulled in together']",magnets,I just focused in on the motions on the dots and how fast they were being pulled together.,Would like to do more studies like this one!
30,30,28030,66a643090a4f33f35327eeaa,8,8,74,48,7,7,"['b3a507ff-2289-4ad3-8922-1a3d0532e154', '59df47e5-696a-407f-aa33-94dab9b3e492', '1a1c3419-9320-46a3-8b48-10e9514c3e7d', '39d4c0f1-9195-4761-98c6-457bad8a2291', 'e3160d16-fe5e-4987-918b-0921ab937804', '905c9d73-dba9-472d-a6e4-ea3dcd3b3530', '16718611-6bca-4e79-8071-94d68c181ba1']","['905c9d73-dba9-472d-a6e4-ea3dcd3b3530', '1a1c3419-9320-46a3-8b48-10e9514c3e7d', 'e3160d16-fe5e-4987-918b-0921ab937804', '59df47e5-696a-407f-aa33-94dab9b3e492', '39d4c0f1-9195-4761-98c6-457bad8a2291', 'b3a507ff-2289-4ad3-8922-1a3d0532e154', '16718611-6bca-4e79-8071-94d68c181ba1']","[7.75, 4.0, 6.5, 2.75, 5.25, 1.5, 9.0]","[7938, 8023, 7995, 8001, 8048, 8016, 8063]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['grey', 'grey', 'black', 'grey', 'black', 'grey', 'black']","['collision', 'bashed together twice', 'magnetic attraction', 'uniting following each other', 'mirroring each other and colliding', 'merging into each other slowly', 'attacking each other']",magnets,no,no
31,31,28031,663ab8a4d5bff4596f9a9de7,8,8,80,48,7,7,"['d3cc8306-21ab-4f88-ae4f-3970e4cd53ea', 'c496efe1-6c3e-480d-856f-af132dbe7048', '114b2369-dce5-4979-8319-c64c85175e6a', '8e0deaa9-1ac5-4e69-817a-3204f157f360', '40860eea-1c44-4896-96b1-ee2d42a6c522', '65eed33d-db39-4b87-b8a4-de20693d3821', '9f7e489f-4076-4332-b57e-13a42d4c75fd']","['c496efe1-6c3e-480d-856f-af132dbe7048', 'd3cc8306-21ab-4f88-ae4f-3970e4cd53ea', '8e0deaa9-1ac5-4e69-817a-3204f157f360', '9f7e489f-4076-4332-b57e-13a42d4c75fd', '65eed33d-db39-4b87-b8a4-de20693d3821', '114b2369-dce5-4979-8319-c64c85175e6a', '40860eea-1c44-4896-96b1-ee2d42a6c522']","[2.75, 1.5, 5.25, 9.0, 7.75, 4.0, 6.5]","[8010, 8142, 8032, 7954, 7812, 8015, 8029]","[1.5, 2.75, 4.0, 5.25, 6.5, 7.75, 9.0]","['black', 'grey', 'grey', 'black', 'black', 'grey', 'black']","['touched', 'touched', 'slammed', 'hit', 'hit', 'touched', 'changed who went first to hit']",children,I watched how the balls hit one another and the force exerted.,"Thank you, it was interesting."
