,subID,stimset_rows,chargeSpeed,stim_dur,responses,movie,trial_num
2,28055,2,1.5,8323,both went up and slowly collided twice,8ed7c0fc-1490-4e35-a000-7f7357a0772a,2
1,28056,4,1.5,8298,meet,fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce,1
4,28057,14,1.5,7939,skimmed,81e3fe3f-5a7c-42d3-8ea7-c2bf3831288b,4
3,28058,13,1.5,9762,the two dots seems to be having an affair,1a8cf3c1-690b-449c-bb36-fd3b251837c1,3
2,28059,80,1.5,8095,The dots each moved in a slow circular motion and then hit each other twice but this time they moved slowly toward each other and seemed to bounce off each other when they made contact.,d3cc8306-21ab-4f88-ae4f-3970e4cd53ea,2
4,28060,19,1.5,8103,slowly came together twice,0e704828-9ccd-480e-8056-3a2a8158df0f,4
0,28061,19,1.5,8046,collided,0e704828-9ccd-480e-8056-3a2a8158df0f,0
0,28062,27,1.5,7999,bumps,8ed7c0fc-1490-4e35-a000-7f7357a0772a,0
3,28063,16,1.5,9791,Slowly attract and part,e4bc0778-6eb7-4065-bf77-a9b6e293735f,3
6,28064,17,1.5,8061,They clashed twice,31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50,6
0,28065,29,1.5,7942,"the black started on the left, bounced into the gray and they switched positions",1b1159fc-de2b-4ae5-a736-d98d8524a366,0
0,28066,25,1.5,8067,The dots moved clockwise and bounced together twice.,e838dadb-c02f-4273-ae93-210720dcd06c,0
4,28067,32,1.5,8032,The dots pivoted around a central point and touched a number of times,1f6c6525-a740-48c2-8dfc-9c4fb520c630,4
3,28068,27,1.5,8087,dots gently floating and bumping off of each other twice,8ed7c0fc-1490-4e35-a000-7f7357a0772a,3
6,28069,35,1.5,8184,bumped together,15dfbaca-4429-4c18-90f4-8d4804129e6f,6
1,28070,26,1.5,8284,The dots moved to the left and down and collided gently twice.,29e7c94f-a6bf-4f1d-8ea1-46efbdb6a836,1
6,28071,33,1.5,8036,steady grouping,9d425f58-501f-43f3-955e-05126bd09bb5,6
5,28072,21,1.5,8032,Like magnets,e5e05e73-9cd0-4990-8da2-4962e0a03e5d,5
6,28073,35,1.5,8034,the two dots gently nodded each other in a bromance,15dfbaca-4429-4c18-90f4-8d4804129e6f,6
6,28074,38,1.5,8075,friendship,7e595f18-f375-4ca5-b922-61b8d693804d,6
2,28075,30,1.5,8165,they roamed about and kissed each other,50919f52-6a9c-4824-b24f-2f1aebd58e1b,2
4,28076,31,1.5,8299,white steering close to the corner,95aaf072-b6be-4da4-9857-deaf20ab49f2,4
1,28077,39,1.5,8748,slowly circled almost mirror like then hit eachother twice,d3cc8306-21ab-4f88-ae4f-3970e4cd53ea,1
6,28078,40,1.5,8409,"one dot floated up, the other down and left",b3a507ff-2289-4ad3-8922-1a3d0532e154,6
5,28079,23,1.5,8038,coming close,31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50,5
3,28080,42,1.5,8151,"move away, attract and collide gently.",8ed7c0fc-1490-4e35-a000-7f7357a0772a,3
5,28081,43,1.5,8038,swimming toeards each other nicely ,fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce,5
6,28082,44,1.5,8108,bouncing off each other slowly,1f6c6525-a740-48c2-8dfc-9c4fb520c630,6
3,28083,46,1.5,8083,both meeting each other ,50919f52-6a9c-4824-b24f-2f1aebd58e1b,3
5,28084,47,1.5,8987,the speed of the balls were mild as they collided,38ad4b16-44e2-4e52-8d02-b23eca73a48d,5
4,28085,51,1.5,8070,Soft contact,7e595f18-f375-4ca5-b922-61b8d693804d,4
5,28086,50,1.5,8169,they are exchanging greetings,e5e05e73-9cd0-4990-8da2-4962e0a03e5d,5
2,28087,48,1.5,8067,The dots approached each other cautiously and interacted a little with each other,e4bc0778-6eb7-4065-bf77-a9b6e293735f,2
5,28088,52,1.5,8191,the two dots is moving friendly.,81e3fe3f-5a7c-42d3-8ea7-c2bf3831288b,5
6,28089,53,1.5,8061,"Circular movement but this time, the attack wasnt fast. It was at the normal movement speed and they collided",95aaf072-b6be-4da4-9857-deaf20ab49f2,6
6,28090,49,1.5,8229,attracting and colliding ,d3cc8306-21ab-4f88-ae4f-3970e4cd53ea,6
1,28091,54,1.5,8029,touching,15dfbaca-4429-4c18-90f4-8d4804129e6f,1
2,28092,55,1.5,8236,slow movements and then brief coming togethers,e838dadb-c02f-4273-ae93-210720dcd06c,2
6,28093,56,1.5,8049,circular mirrored movements from  dots then slowly bumping eachother,29e7c94f-a6bf-4f1d-8ea1-46efbdb6a836,6
2,28094,57,1.5,7987,They circled below the box and touched each other slowly,31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50,2
2,28095,60,1.5,8062,slower clashes,29e7c94f-a6bf-4f1d-8ea1-46efbdb6a836,2
0,28096,59,1.5,8033,Both dots attracted each other and bounce off twice.,1a8cf3c1-690b-449c-bb36-fd3b251837c1,0
6,28097,58,1.5,8422,mutual contact,0e704828-9ccd-480e-8056-3a2a8158df0f,6
2,28098,64,1.5,7954,Dots slowly pushed each other.,9d425f58-501f-43f3-955e-05126bd09bb5,2
6,28099,63,1.5,10093,Gray and black dot moved and collided slowly in the box ,d3cc8306-21ab-4f88-ae4f-3970e4cd53ea,6
5,28100,66,1.5,8051,they collided at the top right end of the box,fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce,5
1,28101,65,1.5,8226,the dots moving round and touching each other,1b1159fc-de2b-4ae5-a736-d98d8524a366,1
1,28102,67,1.5,8192,The dots moved slow but collided twice,1a8cf3c1-690b-449c-bb36-fd3b251837c1,1
6,28000,26,2.75,8116,The dots bounced off each other,88ff8e25-5b4f-453c-add2-298ef66c683c,6
5,28001,25,2.75,8075,"When the grey dot started to sink, the black dot rushed in to grab it",42a6675b-868f-488d-a671-17a04c97ab01,5
2,28002,28,2.75,8320,slowly hit each other,94eac034-9d70-40c0-89d4-d9a030a03d26,2
5,28003,29,2.75,8097,"The dots came together gently, twice.",cc654364-6ba7-42d1-b98c-c44f96b2e4e4,5
5,28004,32,2.75,8079,swirling around and bouncing off each other,46c1720a-0af5-44e9-b008-09b89ef78bd9,5
0,28005,35,2.75,8133,colliding then pushing apart,8dc79a0d-b826-4ac2-8483-04346b06960d,0
6,28006,36,2.75,9635,Slowly bounced,4a2adf87-0f15-4bc0-9837-899addfb179c,6
3,28007,33,2.75,7745,"Moves around slowly, accelerated into each other twice",c496efe1-6c3e-480d-856f-af132dbe7048,3
6,28008,31,2.75,8259,"The dots move in the same pattern, then one of the dots is pulled in towards the other to collide",3fd185a3-34a1-4f1a-9d01-aee3deee3988,6
4,28009,41,2.75,8066,bustling,59df47e5-696a-407f-aa33-94dab9b3e492,4
0,28010,39,2.75,8108,collision,32110051-52cf-4952-a6e5-4c5fe75760b7,0
4,28011,40,2.75,8112,slowly collided twice,42a6675b-868f-488d-a671-17a04c97ab01,4
4,28012,42,2.75,8083,The black dot pushed the grey dot to the edge,215ead11-5650-429d-b541-0b107fbb996a,4
4,28013,42,2.75,8208,the dots moved to the left of the screen and collided with each other x2,215ead11-5650-429d-b541-0b107fbb996a,4
5,28014,45,2.75,8084,the two dots hit eachother but in a soft way,88ff8e25-5b4f-453c-add2-298ef66c683c,5
2,28015,46,2.75,8293,the dots bounced off one another,c3cfe5d9-0b66-460b-a3db-a76a0df825ae,2
5,28016,51,2.75,8046,rotating,4a2adf87-0f15-4bc0-9837-899addfb179c,5
1,28017,48,2.75,8005,slow head-on collisions,32110051-52cf-4952-a6e5-4c5fe75760b7,1
2,28018,47,2.75,8039,The dots moved slower and moved together & then apart twice.,8dc79a0d-b826-4ac2-8483-04346b06960d,2
1,28019,52,2.75,8083,"the black dot slowly swept towards the grey, the grey redirected and they collided",204d8c5c-c9ac-4aef-956d-74de8c6eedc4,1
5,28020,49,2.75,7998,slow random movement before coming together,d445e5d9-95ae-4a8f-a6bf-53380fef78b4,5
5,28021,58,2.75,8200,The dots collided into eachother.,c49bbdbd-6e52-4da5-887c-72db9cec7d93,5
5,28022,59,2.75,8036,The dots moving normally and in some moment they were fighting.,c496efe1-6c3e-480d-856f-af132dbe7048,5
5,28023,66,2.75,7963,they very slowly attracted then repelled,c496efe1-6c3e-480d-856f-af132dbe7048,5
0,28024,65,2.75,7952,they moved around and bounced into eachother twice,8fa1d226-bf98-4c72-8961-7121546d4a11,0
5,28025,63,2.75,8131,dots gently drifted towards each other to the point of colliding and then would drift away from each other,4a2adf87-0f15-4bc0-9837-899addfb179c,5
4,28026,64,2.75,8098,"mover around, touched each other twice",d445e5d9-95ae-4a8f-a6bf-53380fef78b4,4
4,28027,71,2.75,8407,Dots bumped eachother from opposite ends of box,42a6675b-868f-488d-a671-17a04c97ab01,4
3,28028,68,2.75,8045,"Both dots slowly struck each other twice, the black was the one that moved first.",0bad25fa-4a38-4561-9d35-56f1108797cd,3
1,28029,67,2.75,8321,the black dot moves opposite of the grey dot then is pulled toward the grey dot.. its pull is stronger than the grey dots pull,46c1720a-0af5-44e9-b008-09b89ef78bd9,1
3,28030,74,2.75,8001,uniting following each other,59df47e5-696a-407f-aa33-94dab9b3e492,3
0,28031,80,2.75,8010,touched,c496efe1-6c3e-480d-856f-af132dbe7048,0
5,28032,73,2.75,8066,gray one slowly moved away in between collisions,215ead11-5650-429d-b541-0b107fbb996a,5
6,28033,83,2.75,8096,circular and then attraction collision,3fd185a3-34a1-4f1a-9d01-aee3deee3988,6
0,28034,81,2.75,8148,The black dot seemed to be drawn to the grey dot and bounced off it,59df47e5-696a-407f-aa33-94dab9b3e492,0
5,28035,84,2.75,8093,lazy hit,204d8c5c-c9ac-4aef-956d-74de8c6eedc4,5
0,28036,76,2.75,7954,bumped,94eac034-9d70-40c0-89d4-d9a030a03d26,0
5,28037,77,2.75,8183,The dots moved slowly apart then together,8dc79a0d-b826-4ac2-8483-04346b06960d,5
4,28038,86,2.75,8135,They were hitting each other but slower this time.,bcca6dd9-a0e7-4373-9ebc-93e6e619ca4a,4
2,28039,90,2.75,8011,The two dots clashed twice,d445e5d9-95ae-4a8f-a6bf-53380fef78b4,2
3,28040,92,2.75,8037,bumped into each other,32110051-52cf-4952-a6e5-4c5fe75760b7,3
2,28041,85,2.75,9457,reaching,112b96b3-6518-4053-ad9f-ff77320acc23,2
4,28042,91,2.75,8057,gently bumped ,88ff8e25-5b4f-453c-add2-298ef66c683c,4
5,28043,99,2.75,8051,magnetic,42a6675b-868f-488d-a671-17a04c97ab01,5
4,28044,96,2.75,8062,dots collide more frequently,8dc79a0d-b826-4ac2-8483-04346b06960d,4
4,28045,97,2.75,8179,they keep following each other,46c1720a-0af5-44e9-b008-09b89ef78bd9,4
5,28046,94,2.75,8022,Two gentle collisions between the dots,94eac034-9d70-40c0-89d4-d9a030a03d26,5
