chargeSpeed,most_representative_words
1.5,"['play', 'dance', 'game', 'sport', 'mingle']"
2.75,"['play', 'game', 'outplay', 'sport', 'misplay']"
4.0,"['play', 'game', 'sport', 'outplay', 'maneuver']"
5.25,"['fight', 'combat', 'battle', 'play', 'game']"
6.5,"['fight', 'sport', 'combat', 'battle', 'game']"
7.75,"['play', 'fight', 'game', 'battle', 'combat']"
9.0,"['fight', 'battle', 'fistfight', 'combat', 'play']"
