Participant,strategy,feedback_task,feedback_exp
1,I just tried to see if one dot seemed to be trying to get away from the other. If it did then I said they were chasing. If they didn't move away when crossing paths then I thought they were moving independently. ,no other feedback that I can think of. ,"no, everything went smoothly "
2,My general perception of the movement of the dots,No additional feedback to add.,Nothing else to add :)
3,i paid attention and used my judgement,no,no
4,nothing that I can think of,no,no
5,See if they move in consistent direction and path,nil,a bit long
6,"Once I had an idea of the situation I would repeat back to myself ""grey chasing"" or ""black chasing"" or ""grey partially independant' etc",none,no
7,"I followed the dots and attempted to discern whether their movements were random, or influenced by the other.","Strange, but enjoyable. Good luck with your research...","No, good luck with your research..."
8,no,n a,n a
9,I watched for the dots circling each other as well as one moving directly towards the other,no,no
10,Just solely focusing on the movements,"No, but thank you for the opportunity to participate.",
11,Followed the middle circles movements,No,No
12,"I dont know if that can be counted as a strategy but I tried to see which ball was running away from which. Also I if the movements of the escaping ball were fidgety, that meant that it was definitely being chased",Nothing comes to mind,Nothing comes to mind
13,I looked at if the circles were moving to or away from each other.,none,no
14,assessed the interactions between pairs of dots; whether one was following another one's pattern,,
15,just watching :),fun task... thanks!,all good!
16,Watching the movements,No,No
17,"Not really, just just judge whether the movement pattern was unlikely to have occurred by random movement",No,No
18,Just kept an eye out for any portion of the animation where one circle appeared to follow/attempt to corner the other,"no, all good",N/a
19,Track the movements remember the colours,,It was good. 
20,"Not really i just determined whether it was chasing based on the pattern of their movements, if they followed each other or moved in similar ways they must have been playing together.",,Wasnt boring.
21,no,very enjoyable made me think.good task.,no thankyou
22,looking at the direction the balls were travelling in,no,no
23,I just tried to take note if their movements were ever in sync. I focused on the dot that moved towards the other dot first.,Once I chose the dot I thought was chasing before I moved the slider and the screen advanced. Sorry about that.,It was pretty interesting despite the length!
24,No,,
25,"judge distances between dots, and whether one follows the other",good study,TIME WELL SPENT
26,No I just used my best judgement,No,No
27,concentrate and access whether they are feeding off each other's energy...dictated by their directions...,,Very interesting! thank you for the invite.
28,I tried to think how actual children behave and see what the dots were doing in relation to that.,"I found this really difficult. Some of the times the dots did not seem to be chasing each other, but they didn't exactly seem to be acting indipendently either. They seemed to be mirroring each others movements. ","I found the survey really interesting. I am autistic and I never 'get' why these questionaires often ask if I am facinated with numbers and dates. Also I like parties, museams, libraries and theaters all as much as each other. I love them all if the party is a party with friendly people or alternative people. I have been involved in the goth and punk scene since I was 20. "
29,looking for close proximity ,none,none
31,if the circle was following the other,no,no
32,just followed the balls,no,no
33,I just followed the dots and try to see if one was trying to follow or intercept the other one,no,no
34,none other than watching the moving dots,no,no
35,No,No,No
36,Not really,Thanks,Thanks
38,is one following the other,no,no
39,no,no,no
