stim_file,condition,subtlety,slider,RT,accuracy,subID,trial_ind
286e3344-db14-477e-ad2f-4aaa462d29bf,mimic,60,36.0,3.708,0,1,67
cf5e29cd-eacd-4164-96d2-05de1fad88ba,chase,30,84.0,2.842,1,1,68
7da9ad01-3df5-45e9-8edf-4af0795536e1,chase,120,86.0,2.685,1,1,69
68be0cf8-ea92-4566-b84a-cbd60b2e5547,wander,180,76.0,3.298,0,1,70
10a07293-2c74-4b8a-bbef-b0f436cde5fb,chase,150,63.0,2.839,1,1,71
47505654-05f0-4b92-a9a3-978c80bda46b,chase,0,86.0,2.627,1,1,72
37b0c4a3-57d4-4b4a-9bf7-e4d2eb48cee6,chase,0,99.0,3.257,1,1,73
9e873205-feb6-41c9-980d-930f2850eaef,mimic,150,28.0,2.917,0,1,74
35fbacfe-f7fd-45d5-9266-5f6631809d11,chase,60,86.0,2.55,1,1,75
e3a5008f-dda4-4675-824a-6b278e6ce08f,mimic,150,20.0,2.548,1,1,76
1841b8a9-ff1d-481d-80de-2134f2461e8b,chase,90,92.0,2.521,1,1,77
ff27abe6-51d5-45ca-9b97-247bc5079e60,mimic,120,60.0,2.901,0,1,78
3587071e-4537-406c-83f0-d8803f077fd2,mimic,60,18.0,2.781,1,1,79
ceedd529-39a5-4c29-8103-d6ac89521de6,chase,90,89.0,2.612,1,1,80
1247c2a3-9c1a-478d-ad2b-6640715d76a4,chase,150,20.0,2.363,1,1,81
1046d4b0-4bd4-4ae8-a4f2-949e08b5aa4a,mimic,0,27.0,2.995,1,1,82
3a9ac477-b8f9-4d19-bc88-0a1c0b7de6a8,mimic,60,25.0,3.174,1,1,83
806dce3c-11e6-49c6-8451-980c12e415b0,mimic,30,0.0,4.924,0,2,0
b70d0259-cb69-48f1-b026-46452cf6e70f,wander,180,51.0,4.646,0,2,1
d23dc934-a2e5-4952-b5f2-7acd20fccd30,mimic,30,15.0,2.704,0,2,2
31932267-3908-4599-ba56-ba5043757838,chase,30,100.0,2.205,1,2,3
5ce017a9-f595-403c-a861-53e49993751a,wander,180,72.0,2.452,0,2,4
a0f0c207-c5ff-40e5-a612-66cc47e3aca2,mimic,0,22.0,2.722,0,2,5
ceedd529-39a5-4c29-8103-d6ac89521de6,chase,90,51.0,2.131,1,2,6
7a0667e7-8139-4401-ac54-a32c486101b1,mimic,60,12.0,2.979,0,2,7
ff27abe6-51d5-45ca-9b97-247bc5079e60,mimic,120,35.0,2.649,0,2,8
65ae3786-93f4-4878-bcfe-7cee118774dc,mimic,0,0.0,3.137,1,2,9
aafa2477-e6f8-4a3c-83f4-90e901459a0a,mimic,30,0.0,2.791,0,2,10
b7261f19-79df-4505-b935-0cb890ebda9c,chase,120,65.0,2.294,1,2,11
4cd79935-2124-4c73-9bff-ce0554f08119,chase,150,0.0,2.487,1,2,12
cca827ad-af9d-4cfd-ae71-7e028e3f8520,chase,60,95.0,2.884,1,2,13
36abe6b0-5185-4dad-8201-c13c1fa8a4ac,mimic,90,48.0,3.642,1,2,14
22162d51-e2bc-4fd2-af29-7d21f36eca1d,chase,90,65.0,3.758,1,2,15
9093ecfa-6a76-4110-b88c-dd9330281781,chase,30,100.0,3.279,1,2,16
a5b2d14e-7379-437b-b4ce-1fc499a5afa1,mimic,120,57.0,2.803,1,2,17
2176e0c4-bf6c-4f4a-a64b-23825205a150,wander,180,100.0,3.165,0,2,18
a0907c50-1e49-490b-8fe4-a28c4b3b8be6,mimic,60,49.0,3.761,1,2,19
68be0cf8-ea92-4566-b84a-cbd60b2e5547,wander,180,33.0,2.031,0,2,20
8af66fd7-6ab4-47a3-a88c-02fd34772ac6,wander,180,7.0,2.791,1,2,21
4f077c82-959e-43e6-9381-8f6126e6ff29,mimic,60,0.0,2.517,1,2,22
bf1806ce-f5bf-4267-9b59-9311a18bb8e8,mimic,120,72.0,2.351,0,2,23
3d2cbd5f-05d3-4457-8c01-5b302d4c5de7,chase,120,61.0,2.795,1,2,24
cf5e29cd-eacd-4164-96d2-05de1fad88ba,chase,30,100.0,2.502,1,2,25
3587071e-4537-406c-83f0-d8803f077fd2,mimic,60,21.0,2.415,0,2,26
b4c4be26-aec9-443f-9bbd-25df99c2840d,mimic,150,51.0,2.831,1,2,27
c53236a2-f564-41ec-89aa-2bd90765b0a4,chase,30,100.0,2.693,1,2,28
89ce6bb6-b2cb-44cb-ba57-d78ab0224625,chase,90,97.0,3.828,1,2,29
08d6fa73-0f7f-4a5d-a343-c5539c9f44b7,mimic,30,4.0,2.745,1,2,30
64673679-e709-4919-9505-54ee39e19ae5,mimic,0,21.0,2.588,0,2,31
7bee52f4-919b-4633-b742-a0181f5f7f01,wander,180,58.0,2.236,1,2,32
802575f0-631d-4eeb-9e49-3b401b11b953,wander,180,27.0,2.433,0,2,33
1046d4b0-4bd4-4ae8-a4f2-949e08b5aa4a,mimic,0,26.0,2.156,1,2,34
908170e2-ae62-4685-8bcd-9089e16e95f2,mimic,90,60.0,2.317,1,2,35
a8c7fb1b-9db5-4f8f-a05c-2ea241668e0f,chase,90,100.0,2.851,1,2,36
977e0607-6332-4db4-ab12-9d17dce4dc85,wander,180,64.0,1.892,0,2,37
68c0fec8-cf83-48bf-8079-a5f414fe7504,chase,90,100.0,2.372,1,2,38
804f9681-f112-463c-a764-a40a823d6845,chase,60,100.0,2.402,1,2,39
00efb6ff-56f7-4917-9518-d8ff1ed4d352,mimic,0,16.0,2.464,1,2,40
7b3797d6-d4cc-4819-b3ad-adfd144217e2,chase,60,100.0,2.649,1,2,41
b04bf045-4291-437c-b53e-6d779af76038,mimic,90,80.0,2.736,0,2,42
c188e383-94d7-475e-9da5-6d1f0a1184bb,chase,0,100.0,2.585,1,2,43
4284d8dd-a24d-4019-8d51-ef5ea25d433a,mimic,120,39.0,3.275,1,2,44
75182d69-6502-4d35-9298-e331061c7829,chase,0,100.0,2.525,1,2,45
adf2a5c5-86f0-4a90-976a-f3fdfdf528fc,chase,60,100.0,2.335,1,2,46
275adee0-f228-423e-816a-e5e70b874bf3,chase,150,49.0,2.893,1,2,47
5d84c995-f49b-42d0-bf89-eb7f4bfcb1d4,chase,120,56.0,2.724,1,2,48
9dfa52b0-9e95-49de-bddb-e53316f2b4ae,chase,0,100.0,2.527,1,2,49
7c6817dd-b767-43f6-ac68-0526e98a6d9e,mimic,30,3.0,2.668,1,2,50
3273fde2-4b65-4cc7-b9b3-ef2604e8a514,chase,60,100.0,2.894,1,2,51
94a4e86e-f727-4ed5-85c3-c9ab9c1c8e73,chase,120,37.0,2.548,1,2,52
5d69d5c8-83dd-43c4-be85-f1c2ff45960d,chase,120,23.0,2.972,1,2,53
1c695094-312c-450a-ac7f-f994dabb958d,wander,180,7.0,3.923,0,2,54
57dbdc86-9c49-4214-a908-c4a254e90229,chase,30,100.0,2.388,1,2,55
ed0ef852-3813-4796-8ef5-3a8bbef06e1b,mimic,30,24.0,2.902,1,2,56
