subID,r_squared,nrmse,aic,center,obj_center,sigma,bias_xmin,bias_xmax,bias_lower,bias_upper,flipped
26000.0,0.9473422506516759,0.0867402856672494,-30.227715860890598,0.5524525018201315,0.6858484444050391,0.15624334892347796,0.05376907774966668,0.3377624824187899,0.035,0.30200000000000005,False
26001.0,0.9094759364897906,0.11784394901325078,-25.93751594030044,0.3133335537283052,0.4161874753358588,0.12627933375734804,0.2502927921288725,0.3773114265034998,0.21899999999999997,0.37555555555555553,False
26002.0,0.9518292888077546,0.0991031473962057,-28.362317096903737,0.27063732513097943,0.3152424137564439,0.052594409429827516,0.08545688071643316,0.32100056665023957,0.08199999999999999,0.32099999999999995,False
26003.0,0.9611479196636291,0.07613697109781647,-32.05309833320899,0.5343895637447,0.5343895637447,0.13863875249847402,0.020743781079892172,0.033619751974783174,0.0,0.0,False
26004.0,0.9417228298070852,0.07504483500799208,-32.25537361530798,0.44665228893547787,0.5008035490254921,0.22671950226718446,0.22422294261071574,0.2725578932446451,0.147,0.22199999999999998,False
26005.0,0.969716719240502,0.0663141097234806,-33.98693623326581,0.4071499182727393,0.3893223934095412,0.1491955724303171,0.2738908903394536,0.21720710355230588,0.24,0.20700000000000007,False
26006.0,0.9454029991962924,0.07958000174727342,-31.43389432838034,0.2432275720031228,0.22949980471005058,0.14128486716031924,0.3664892300272991,0.2859347104663793,0.304,0.28400000000000003,False
26007.0,0.9963832513066232,0.025897149138553496,-47.15071343487728,0.6928983590340584,0.7549255780875477,0.06769381910763257,2.5104065526077452e-05,0.3074171902822991,0.0,0.30000000000000004,False
26008.0,0.9306491850761163,0.09084686426665622,-29.58012000332483,0.30415867197168595,0.4528348758803196,0.15885165818183067,0.22572922424294478,0.3747497018712509,0.166,0.369,False
26009.0,0.9708018208189623,0.05860728394280312,-35.716548070618366,0.48050176763325914,0.5081210990109142,0.18538313298634215,0.1919052938783236,0.23269498628872132,0.146,0.19499999999999995,False
26010.0,0.9861528801712498,0.04942804380486378,-38.10132258506681,0.3842518984675309,0.43309975808001144,0.08497005045312077,0.045760251398375196,0.24051410085477287,0.038,0.24,False
26011.0,0.9652149509555178,0.07325790047404408,-32.59276852840125,0.40550656748036357,0.45145179196992674,0.11810062246619868,0.18541331308684003,0.2786048667658684,0.168,0.275,False
26012.0,0.9849694870076168,0.04387109862993378,-39.77099329771286,0.3961286614421066,0.5305119604085018,0.1554148991037132,0.15287722353464667,0.3480678690075397,0.113,0.3370000000000001,False
26013.0,0.15321014049284343,0.30153279701974967,-12.784270849210202,0.7944769531789018,1.275273310395255,0.5879791296813396,0.4219079007821893,0.5171589816569401,0.389,0.45100000000000007,False
26014.0,-0.27121870760382705,0.3422869352912883,-11.009482622356076,0.5511783855664313,,1.0,0.33508597491443365,0.6313808134759955,0.285,0.578,False
26015.0,0.9681779993318433,0.06742974061569032,-33.753367441478495,0.5070959226892301,0.5578846968852101,0.13691766413935044,0.03566561308493848,0.18775626551085944,0.016,0.16599999999999993,False
26016.0,0.9952828474304225,0.028121537179578646,-45.99707367958269,0.30865297811106146,0.3203648216153974,0.10464672593608297,0.11505784327202626,0.12108654903074711,0.075,0.12,False
26017.0,0.966862240551229,0.07480802668138672,-32.299621276578385,0.4433809311238749,0.5124362529261525,0.12948719045990012,0.3575088534108457,0.4151903582071582,0.35,0.41200000000000003,False
26018.0,0.9429504774034001,0.08658051332311495,-30.253527113371604,0.5360350551743849,0.7111556227094367,0.1735025525059348,0.08708208501827705,0.3786465514503521,0.061,0.33999999999999997,False
26019.0,0.9450524718783955,0.08765126229772029,-30.0814497260628,0.4778397141903653,0.8847707814926017,0.16093757306743134,0.12004269659662728,0.48425266793795574,0.09888888888888889,0.46799999999999997,False
26020.0,0.9725518218231827,0.05727085810744395,-36.03948716805429,0.3563566671825635,0.49053332952591666,0.1590427500834836,0.18519572044776714,0.3519652889396071,0.135,0.34299999999999997,False
26021.0,0.9774752842522273,0.05853266388651946,-35.73438452946331,0.3732290093347458,0.38757450413031264,0.13105074528629423,0.1110890262392294,0.11783433131145293,0.066,0.11099999999999999,False
26022.0,0.9377698011767843,0.08311945836001353,-30.824670280037694,0.3643938182198804,0.3627925780820982,0.18814458055262595,0.3252211876897614,0.2795010792258912,0.266,0.264,False
26025.0,0.9899746815002902,0.03610635138851906,-42.49801086529993,0.3904773250709007,0.681885121032124,0.1537042236905396,0.2499442750442328,0.46484190620246846,0.22699999999999998,0.45899999999999996,False
26026.0,0.9814833961875777,0.05038453845844586,-37.83299298623935,0.4548348514489523,0.6788120941534705,0.14891337585723605,0.28738315993280744,0.4568924951992932,0.275,0.44999999999999996,False
26027.0,0.8403319277126373,0.14362010424094326,-23.16817082685238,0.3663151270744742,0.42504495266063436,0.17903613266127727,0.40523398083824214,0.42072684545355665,0.382,0.41500000000000004,False
26028.0,0.9727178241360249,0.06528707378433611,-34.20545698941952,0.49242883917806307,0.5900022091349573,0.12707004780495343,0.014879564907653998,0.281238242358952,0.0,0.268,False
26029.0,0.9638419186276074,0.06206841302120753,-34.91325293028545,0.4505529579665041,0.6043454760002144,0.20349583565323348,0.1758614699960686,0.35707482108505806,0.121,0.32200000000000006,False
26030.0,0.9615239037665739,0.06731990159020916,-33.776191200742645,0.5211330266230503,0.5939567756248195,0.18845901027075856,0.07855643433323761,0.23940636918812908,0.032,0.18200000000000005,False
