,subID,stimset_rows,chargeSpeeds,stim_dur,responses,RT,movie,trial_num
52,26000,266,7.75,7661,29,3.39,085d7298-e568-4752-a909-8eecf82e3ebc,52
53,26000,266,7.75,7538,45,2.86,65eed33d-db39-4b87-b8a4-de20693d3821,53
59,26000,266,7.75,7635,73,2.29,7f445daf-d952-4bf3-b733-def683994895,59
62,26000,266,7.75,7684,91,1.69,8ecf5da9-a68c-4392-8c1a-ecb9754dd9d9,62
7,26000,266,9.0,7791,84,1.48,a5228b86-ba0a-42f2-aa38-23b5369f0e56,7
14,26000,266,9.0,7691,80,1.74,7d40f846-95bc-4c08-b7a1-b4a410852b77,14
21,26000,266,9.0,7693,90,1.63,8649b489-429a-4894-9c74-827e94f04566,21
22,26000,266,9.0,7622,86,1.95,132133b4-5554-4500-9494-87f534100012,22
39,26000,266,9.0,7758,85,1.48,6e2932f2-a9d1-4f2a-9599-a872b605c1eb,39
44,26000,266,9.0,7718,28,2.63,abb20336-74c4-448b-a5f7-252c765a55f4,44
51,26000,266,9.0,7286,18,4.29,8e6be05b-c10c-43db-b062-a559f5033312,51
63,26000,266,9.0,7730,68,1.1,2abe0875-f8ff-4373-aad8-bca142211a09,63
66,26000,266,9.0,7666,70,1.41,3322caf5-0aeb-4230-89db-c56b23e94819,66
67,26000,266,9.0,7681,89,1.34,9f7e489f-4076-4332-b57e-13a42d4c75fd,67
14,26001,360,1.5,8104,24.0,5.24,7e595f18-f375-4ca5-b922-61b8d693804d,14
17,26001,360,1.5,8131,4.0,2.2,95aaf072-b6be-4da4-9857-deaf20ab49f2,17
20,26001,360,1.5,8203,19.0,2.62,8ed7c0fc-1490-4e35-a000-7f7357a0772a,20
32,26001,360,1.5,8080,6.0,1.98,1b1159fc-de2b-4ae5-a736-d98d8524a366,32
44,26001,360,1.5,8127,15.0,3.15,e838dadb-c02f-4273-ae93-210720dcd06c,44
45,26001,360,1.5,8162,18.0,6.22,e5e05e73-9cd0-4990-8da2-4962e0a03e5d,45
49,26001,360,1.5,8212,28.0,8.32,e4bc0778-6eb7-4065-bf77-a9b6e293735f,49
