,subID,stimset_rows,chargeSpeeds,stim_dur,responses,RT,movie,trial_num
18,26000,,1.5,7934,0.0,4.41,95aaf072-b6be-4da4-9857-deaf20ab49f2,18
22,26000,,1.5,7961,6.0,1.61,38ad4b16-44e2-4e52-8d02-b23eca73a48d,22
25,26000,,1.5,7883,6.0,2.75,15dfbaca-4429-4c18-90f4-8d4804129e6f,25
28,26000,,1.5,7939,16.0,3.73,e4bc0778-6eb7-4065-bf77-a9b6e293735f,28
32,26000,,1.5,7921,14.0,2.94,7e595f18-f375-4ca5-b922-61b8d693804d,32
36,26000,,1.5,7933,16.0,1.99,e5e05e73-9cd0-4990-8da2-4962e0a03e5d,36
38,26000,,1.5,8014,18.0,2.28,29e7c94f-a6bf-4f1d-8ea1-46efbdb6a836,38
41,26000,,1.5,7934,8.0,1.56,1a8cf3c1-690b-449c-bb36-fd3b251837c1,41
59,26000,,1.5,7920,2.0,1.29,31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50,59
67,26000,,1.5,8007,45.0,2.14,50919f52-6a9c-4824-b24f-2f1aebd58e1b,67
0,26000,,2.75,7961,30.0,1.48,94eac034-9d70-40c0-89d4-d9a030a03d26,0
2,26000,,2.75,7929,9.0,1.86,c496efe1-6c3e-480d-856f-af132dbe7048,2
5,26000,,2.75,7899,10.0,2.71,32110051-52cf-4952-a6e5-4c5fe75760b7,5
14,26000,,2.75,7947,21.0,1.7,d445e5d9-95ae-4a8f-a6bf-53380fef78b4,14
15,26000,,2.75,7960,9.0,2.15,4a2adf87-0f15-4bc0-9837-899addfb179c,15
17,26000,,2.75,7974,4.0,2.21,46c1720a-0af5-44e9-b008-09b89ef78bd9,17
37,26000,,2.75,7944,10.0,3.02,bcca6dd9-a0e7-4373-9ebc-93e6e619ca4a,37
40,26000,,2.75,7958,,,88ff8e25-5b4f-453c-add2-298ef66c683c,40
45,26000,,2.75,7942,10.0,1.91,c49bbdbd-6e52-4da5-887c-72db9cec7d93,45
62,26000,,2.75,7971,17.0,4.49,112b96b3-6518-4053-ad9f-ff77320acc23,62
6,26000,,4.0,7953,4.0,4.18,114b2369-dce5-4979-8319-c64c85175e6a,6
9,26000,,4.0,7974,11.0,1.62,0890b767-b394-4f89-aea1-c60cab7014af,9
10,26000,,4.0,7929,11.0,1.45,9f53cd68-f278-45d6-806a-74eeef55bbcc,10
11,26000,,4.0,7965,9.0,1.79,68382d9c-6cc5-4669-84bf-c8058e3c1472,11
19,26000,,4.0,7930,21.0,4.39,609aaddc-b0c4-4442-b4ef-ba29fa1dbe22,19
26,26000,,4.0,7968,6.0,1.98,96c2a684-adc3-4f98-8b2a-c19c48e7f5a9,26
29,26000,,4.0,7961,14.0,2.46,50781782-fbf2-4226-a593-5173be906638,29
34,26000,,4.0,7923,23.0,7.27,48fe3ca9-b1df-491d-bef9-6d9c5edee227,34
39,26000,,4.0,7917,,,1f7aa6f4-6516-4b90-8eeb-142b1437644b,39
63,26000,,4.0,7852,41.0,2.92,7413c064-c0e5-4104-89aa-79d64ef9d6d9,63
3,26000,,5.25,7901,85.0,1.67,8a889364-bfa4-42f7-8d4c-ee7478ea863c,3
12,26000,,5.25,7915,9.0,2.71,5f5a825b-b433-4986-b5d6-5239eb407d32,12
13,26000,,5.25,7986,54.0,1.76,2ef99e5f-bc49-429b-b086-41ed4571b58a,13
24,26000,,5.25,7958,29.0,1.27,9ed3a785-369e-4eb1-b5ca-50d2602a44d4,24
27,26000,,5.25,7941,45.0,1.97,4cf04acf-6776-453a-a811-1c5e51c2ece4,27
31,26000,,5.25,7913,22.0,2.58,8b72023d-88b1-4615-b871-cac794edf1d9,31
33,26000,,5.25,7960,12.0,3.7,1b4e0da1-e8b8-4342-8d4f-9d2a551e7fed,33
55,26000,,5.25,7938,34.0,1.96,82cc23d1-ba4b-48c5-995a-a30d865ea249,55
61,26000,,5.25,7909,39.0,2.73,39d4c0f1-9195-4761-98c6-457bad8a2291,61
66,26000,,5.25,8001,24.0,4.39,9cf1ba8f-113d-408d-831d-4cf31ca51b3b,66
8,26000,,6.5,7902,29.0,1.38,d80f638e-7e4b-4e80-bc19-a4b764fd7614,8
16,26000,,6.5,7858,66.0,1.86,1827c058-6388-491a-b84c-d4d6c512039e,16
21,26000,,6.5,7871,60.0,1.75,5456278f-d454-4194-af69-2784112cffb9,21
30,26000,,6.5,7940,40.0,2.46,3c21b0c7-30d1-41a7-99ae-02e24be36ad3,30
47,26000,,6.5,7896,33.0,2.17,7c59d616-cf70-400a-8ebd-9b3cdfb854ec,47
51,26000,,6.5,7905,61.0,1.5,40860eea-1c44-4896-96b1-ee2d42a6c522,51
54,26000,,6.5,7933,26.0,1.96,2c174300-1111-477c-b605-e34e6031cd26,54
58,26000,,6.5,7951,17.0,2.87,8bee64f6-a3cb-48f4-be48-142b9065f5d7,58
64,26000,,6.5,7992,36.0,3.26,ed3846d1-c7e9-4e73-a1ab-cd413d18c0b8,64
68,26000,,6.5,7881,64.0,2.41,14c0e4c6-94d9-41ec-b44a-5f6c8678230e,68
4,26000,,7.75,7834,75.0,1.84,8aeee0c2-7419-4cbe-aa42-af10b66f80b4,4
23,26000,,7.75,7859,70.0,1.88,a57832a0-0b6a-4bdf-a636-adf042cd3fcc,23
35,26000,,7.75,7878,61.0,1.37,8845e64c-078b-4a3a-a732-1efe937de14a,35
43,26000,,7.75,7816,30.0,2.37,534a6ddb-dbec-42ac-b559-3f4cbdd66423,43
44,26000,,7.75,7956,16.0,1.85,3dbdd697-e200-4003-92f8-47202577ad0a,44
48,26000,,7.75,7889,69.0,2.25,905c9d73-dba9-472d-a6e4-ea3dcd3b3530,48
49,26000,,7.75,7764,66.0,4.52,50f23891-0e3f-40d3-8bcb-a5bcfcec1987,49
53,26000,,7.75,7283,62.0,1.62,981d9d90-47c5-4443-a939-26060914c7e4,53
57,26000,,7.75,7890,26.0,4.16,2d84acc9-9c9b-441c-9a1a-c901bc48b88f,57
69,26000,,7.75,7818,37.0,3.17,7b0c39f7-8bb3-4c19-94da-30117a8ec17d,69
1,26000,,9.0,7938,79.0,1.95,16718611-6bca-4e79-8071-94d68c181ba1,1
7,26000,,9.0,7926,18.0,1.7,1be4605b-9f78-45d4-8eb0-87bdc69537e2,7
20,26000,,9.0,7821,55.0,1.98,7a2ccf3c-feb4-4b5c-9c03-44c10f774f9a,20
42,26000,,9.0,7912,69.0,2.81,9301277e-6b35-4aa7-bd52-4f56ae0f029b,42
46,26000,,9.0,7869,65.0,2.02,91327185-f59e-4ae7-a000-fd66526bab82,46
50,26000,,9.0,7962,73.0,1.44,5b2465b2-47b6-4cc7-b06f-c362ff7454f8,50
52,26000,,9.0,7901,27.0,3.46,6a57f963-5846-4eaa-a5d2-0e658499a4a9,52
56,26000,,9.0,7883,80.0,1.96,059f8cfb-52c8-47fd-8d26-b0fec58eafae,56
60,26000,,9.0,7963,23.0,3.24,f45daf2e-6d4e-4a6f-ab5b-1829d67d93fe,60
65,26000,,9.0,7888,40.0,3.56,87da47db-3d5c-48b2-b3f2-123123d766f0,65
13,26001,,1.5,8204,17.0,2.93,15dfbaca-4429-4c18-90f4-8d4804129e6f,13
16,26001,,1.5,8140,28.0,2.97,9d425f58-501f-43f3-955e-05126bd09bb5,16
29,26001,,1.5,8270,18.0,3.62,0e704828-9ccd-480e-8056-3a2a8158df0f,29
35,26001,,1.5,8298,8.0,2.52,1a8cf3c1-690b-449c-bb36-fd3b251837c1,35
38,26001,,1.5,8194,15.0,4.04,1f6c6525-a740-48c2-8dfc-9c4fb520c630,38
41,26001,,1.5,8151,12.0,4.39,b3a507ff-2289-4ad3-8922-1a3d0532e154,41
44,26001,,1.5,8359,7.0,3.8,29e7c94f-a6bf-4f1d-8ea1-46efbdb6a836,44
45,26001,,1.5,8347,14.0,3.08,38ad4b16-44e2-4e52-8d02-b23eca73a48d,45
52,26001,,1.5,8196,12.0,3.23,fc87f268-5d06-4cb4-8db9-dbf7fb69a2ce,52
54,26001,,1.5,8356,11.0,2.8,d3cc8306-21ab-4f88-ae4f-3970e4cd53ea,54
5,26001,,2.75,8215,27.0,2.6,32110051-52cf-4952-a6e5-4c5fe75760b7,5
14,26001,,2.75,8258,35.0,2.33,3fd185a3-34a1-4f1a-9d01-aee3deee3988,14
23,26001,,2.75,8177,33.0,2.28,0bad25fa-4a38-4561-9d35-56f1108797cd,23
24,26001,,2.75,8179,29.0,3.25,8fa1d226-bf98-4c72-8961-7121546d4a11,24
25,26001,,2.75,8311,33.0,3.1,88ff8e25-5b4f-453c-add2-298ef66c683c,25
27,26001,,2.75,8229,28.0,5.49,c3cfe5d9-0b66-460b-a3db-a76a0df825ae,27
53,26001,,2.75,8182,33.0,4.25,94eac034-9d70-40c0-89d4-d9a030a03d26,53
60,26001,,2.75,8222,28.0,3.04,42a6675b-868f-488d-a671-17a04c97ab01,60
64,26001,,2.75,8255,23.0,4.4,cc654364-6ba7-42d1-b98c-c44f96b2e4e4,64
69,26001,,2.75,8219,23.0,2.58,d445e5d9-95ae-4a8f-a6bf-53380fef78b4,69
1,26001,,4.0,8341,28.0,2.55,fb491605-8f46-43ab-ba62-bfd86d95e4d6,1
4,26001,,4.0,8258,40.0,5.63,1f7aa6f4-6516-4b90-8eeb-142b1437644b,4
10,26001,,4.0,8223,59.0,2.88,609aaddc-b0c4-4442-b4ef-ba29fa1dbe22,10
17,26001,,4.0,8317,27.0,2.54,a0007ede-8266-4a38-bf86-2a3e66d5d5d4,17
18,26001,,4.0,8218,62.0,4.05,48fe3ca9-b1df-491d-bef9-6d9c5edee227,18
20,26001,,4.0,8296,65.0,3.16,0890b767-b394-4f89-aea1-c60cab7014af,20
33,26001,,4.0,8265,61.0,4.3,83dec58f-0765-4ddc-b785-670d8025c467,33
37,26001,,4.0,8281,62.0,2.06,50bec0a0-7e7c-4edd-a8eb-394750dbdb77,37
57,26001,,4.0,8314,67.0,2.42,9f53cd68-f278-45d6-806a-74eeef55bbcc,57
65,26001,,4.0,8217,35.0,2.83,50781782-fbf2-4226-a593-5173be906638,65
2,26001,,5.25,8373,73.0,2.6,8e0deaa9-1ac5-4e69-817a-3204f157f360,2
6,26001,,5.25,8201,32.0,4.75,82cc23d1-ba4b-48c5-995a-a30d865ea249,6
19,26001,,5.25,8256,61.0,3.89,35ae5b09-f580-4922-91bd-f22c23175a47,19
22,26001,,5.25,8329,36.0,3.61,27f4d7f8-d998-48b2-a3e4-f885f21c713d,22
32,26001,,5.25,8154,63.0,3.47,2ef99e5f-bc49-429b-b086-41ed4571b58a,32
36,26001,,5.25,8136,62.0,3.35,9cf1ba8f-113d-408d-831d-4cf31ca51b3b,36
46,26001,,5.25,8275,40.0,2.32,39d4c0f1-9195-4761-98c6-457bad8a2291,46
49,26001,,5.25,8236,67.0,3.89,9ed3a785-369e-4eb1-b5ca-50d2602a44d4,49
55,26001,,5.25,8224,67.0,3.17,384dc3de-9717-4531-83a1-683588fe1381,55
67,26001,,5.25,8299,71.0,5.66,8b72023d-88b1-4615-b871-cac794edf1d9,67
0,26001,,6.5,8373,59.0,3.37,8bee64f6-a3cb-48f4-be48-142b9065f5d7,0
12,26001,,6.5,8192,35.0,5.06,3c21b0c7-30d1-41a7-99ae-02e24be36ad3,12
26,26001,,6.5,8300,67.0,2.79,8dbfdd79-2b3f-4297-8ec2-92d59884dd68,26
