,iteration,init_slope,init_intercept,est_intercept,est_slope,ss_res,nrmse,r_squared,aic
0,1.0,0.1741102467097605,6.618752779364267,0.3280357159084077,0.3560714124568083,0.007515376984127474,0.1065568184846397,0.9291853156397093,-43.85699969308166
1,2.0,0.35985585639522233,6.377269333402159,0.32803571116463887,0.35607142342103326,0.007515376984127238,0.10655681848463804,0.929185315639711,-43.85699969308188
2,3.0,0.9927520126560064,8.790067611472898,0.32803570763082673,0.35607143167141714,0.007515376984127164,0.10655681848463751,0.9291853156397112,-43.85699969308195
3,4.0,0.7660430288039993,9.902506869488452,0.3280357093843239,0.3560714276936582,0.007515376984127185,0.10655681848463765,0.9291853156397112,-43.85699969308193
4,5.0,0.4281809809943069,8.348969434136738,0.32803571193788317,0.35607142197664937,0.007515376984127242,0.10655681848463806,0.9291853156397109,-43.85699969308188
5,6.0,0.9440023920498464,0.9928579894217509,0.32803570506824625,0.35607143407640746,0.0075153769841272994,0.10655681848463847,0.929185315639711,-43.856999693081825
6,7.0,0.030001283336981377,2.1673508019104717,0.32803571837804807,0.35607140663201914,0.007515376984127685,0.1065568184846412,0.9291853156397077,-43.85699969308146
7,8.0,0.611898818777888,9.969288957390363,0.32803571081973726,0.35607142415999954,0.007515376984127219,0.1065568184846379,0.9291853156397111,-43.8569996930819
8,9.0,0.7158986754097225,2.23631571042312,0.3280356884447438,0.3560714225977849,0.007515376984132833,0.1065568184846777,0.9291853156397109,-43.85699969307667
9,10.0,0.932495220080716,3.0779341730532366,0.328035678350277,0.3560714166693637,0.007515376984139375,0.10655681848472408,0.9291853156397102,-43.85699969307058
10,11.0,0.36700364418183884,5.040909354735873,0.32803570955948386,0.35607142713342554,0.007515376984127191,0.10655681848463769,0.9291853156397112,-43.856999693081924
11,12.0,0.7569146307447862,3.276784614511913,0.32803557134186906,0.356071352419567,0.007515376984360875,0.10655681848629434,0.9291853156396687,-43.856999692864264
12,13.0,0.10016236611718443,8.6321307991379,0.3280357190941025,0.35607140487430583,0.007515376984127763,0.10655681848464175,0.9291853156397071,-43.8569996930814
13,14.0,0.0017318873665207457,0.6397203876747124,0.3280357054955278,0.35607143604369973,0.007515376984127197,0.10655681848463774,0.9291853156397109,-43.85699969308192
14,15.0,0.40806147820177385,3.285352056802142,0.3280357070637225,0.3560714328774483,0.007515376984127174,0.10655681848463758,0.9291853156397111,-43.856999693081946
15,16.0,0.12542353676782025,4.107962080620225,0.32803571499862605,0.3560714147100272,0.007515376984127394,0.10655681848463915,0.9291853156397099,-43.85699969308174
16,17.0,0.5744964573281629,8.833324037894267,0.3280357102064334,0.3560714257962597,0.007515376984127188,0.10655681848463767,0.9291853156397112,-43.856999693081924
17,18.0,0.4320633200222015,8.223074057680705,0.32803571158185646,0.35607142268839814,0.007515376984127229,0.10655681848463797,0.929185315639711,-43.85699969308189
18,19.0,0.19837031063816968,8.15781868193442,0.3280357157392315,0.3560714128489816,0.007515376984127457,0.10655681848463959,0.9291853156397094,-43.856999693081676
19,20.0,0.14975027660545737,6.888154466284964,0.32803571662555414,0.3560714105939313,0.007515376984127547,0.10655681848464023,0.9291853156397087,-43.8569996930816
20,21.0,0.02004136715434024,2.126994466643265,0.3280357196148983,0.35607140377845486,0.007515376984127807,0.10655681848464205,0.9291853156397067,-43.856999693081356
21,22.0,0.9169656794050398,7.5663824955917205,0.3280357070724754,0.3560714327867248,0.007515376984127179,0.1065568184846376,0.9291853156397111,-43.85699969308194
22,23.0,0.6344691835663102,5.89470185927228,0.3280357076279877,0.3560714316614321,0.007515376984127169,0.10655681848463754,0.9291853156397112,-43.856999693081946
23,24.0,0.8275588561088616,7.397803641832821,0.3280357078229725,0.3560714311105317,0.007515376984127177,0.10655681848463758,0.9291853156397112,-43.85699969308194
24,25.0,0.580415915799448,8.082905758910222,0.32803570989088987,0.35607142654372426,0.007515376984127184,0.10655681848463765,0.9291853156397112,-43.85699969308193
25,26.0,0.4831816644761058,1.5540970124039482,0.3280356834917658,0.35607141987990054,0.007515376984135687,0.10655681848469792,0.9291853156397106,-43.85699969307401
26,27.0,0.02700566934254678,1.5460561633326546,0.32803571778655993,0.3560714081981387,0.0075153769841276264,0.10655681848464078,0.9291853156397081,-43.85699969308152
27,28.0,0.6045202688195129,9.371814226739895,0.3280357105809687,0.3560714249853042,0.00751537698412721,0.10655681848463783,0.9291853156397111,-43.8569996930819
28,29.0,0.9819605120631061,8.590742612952717,0.3280357075308845,0.3560714317108164,0.007515376984127184,0.10655681848463765,0.9291853156397111,-43.85699969308193
29,30.0,0.44679035733458494,7.72497956631448,0.32803571113224156,0.35607142360704347,0.007515376984127231,0.106556818484638,0.929185315639711,-43.85699969308189
30,31.0,0.15461666550513786,3.2664203104276024,0.32803571233165063,0.3560714208316583,0.007515376984127264,0.10655681848463822,0.9291853156397107,-43.85699969308186
31,32.0,0.3405095162645324,6.723514646533017,0.3280357119019947,0.35607142182421014,0.007515376984127242,0.10655681848463806,0.929185315639711,-43.85699969308188
32,33.0,0.3506116768887907,6.527639013437538,0.32803571154172284,0.35607142262287816,0.007515376984127228,0.10655681848463797,0.929185315639711,-43.856999693081896
33,34.0,0.9879328152622399,6.3836062616458085,0.3280351689251313,0.3560711163175339,0.007515376987647412,0.10655681850959343,0.9291853156389966,-43.85699968980311
34,35.0,0.9062679071217988,4.796580281508922,0.32803540933404757,0.35607125655664096,0.007515376985219933,0.10655681849238441,0.9291853156394944,-43.85699969206412
