,subID,stimset_rows,chargeSpeed,stim_dur,responses,movie,trial_num,similarity_play,similarity_fight,similarity_play_fight
0,28043,99,5.25,8012,Bumped together,9ed3a785-369e-4eb1-b5ca-50d2602a44d4,0,0.22778558731079102,0.27269527316093445,-0.04490968585014343
2,28044,96,5.25,8104,slow headon collision,1b4e0da1-e8b8-4342-8d4f-9d2a551e7fed,2,0.09869904071092606,0.20780900120735168,-0.10910996049642563
6,28045,97,5.25,8305,rivals,04b8ff17-66ff-4d6b-a0aa-a91efebb4368,6,0.2929207980632782,0.4044734537601471,-0.1115526556968689
1,28046,94,5.25,8055,Both dots moving then the grey one moved sharply and bumped against the black one twice,384dc3de-9717-4531-83a1-683588fe1381,1,0.15820229053497314,0.0866861641407013,0.07151612639427185
6,28047,95,5.25,8206,"Dots moved around and grey started to move faster towards black dot and then they black one reacted and also move faster towards grey dot and then they hit each other then they moved apart, this happened twice.",82cc23d1-ba4b-48c5-995a-a30d865ea249,6,0.17549508810043335,0.16087709367275238,0.01461799442768097
5,28048,89,5.25,8282,The two dot meet each other twice,27f4d7f8-d998-48b2-a3e4-f885f21c713d,5,0.1703105866909027,0.18755799531936646,-0.017247408628463745
0,28049,88,5.25,8069,The black dot was moving towards the gray dot and it hit the grey dot twice,8b72023d-88b1-4615-b871-cac794edf1d9,0,0.18501675128936768,0.1342075765132904,0.05080917477607727
3,28050,98,5.25,8365,the ball came together ,2d3d47a2-03c8-4642-84ec-a8f67c64868c,3,0.36724188923835754,0.19984933733940125,0.1673925518989563
2,28051,4,5.25,8539,2 dots collide,9cf1ba8f-113d-408d-831d-4cf31ca51b3b,2,0.18481053411960602,0.22042830288410187,-0.03561776876449585
6,28052,6,5.25,8556,i dont know,9ed3a785-369e-4eb1-b5ca-50d2602a44d4,6,0.1709401160478592,0.22996512055397034,-0.059025004506111145
1,28053,3,5.25,8131,Colliding ,82cc23d1-ba4b-48c5-995a-a30d865ea249,1,0.3238259553909302,0.4559154212474823,-0.13208946585655212
0,28054,8,5.25,7982,ai,39d4c0f1-9195-4761-98c6-457bad8a2291,0,0.3245834410190582,0.28159013390541077,0.04299330711364746
3,28055,2,5.25,8233,the grey dot quickly hits the black,8a889364-bfa4-42f7-8d4c-ee7478ea863c,3,0.20721931755542755,0.15217754244804382,0.05504177510738373
0,28056,4,5.25,8040,collide,9cf1ba8f-113d-408d-831d-4cf31ca51b3b,0,0.27803245186805725,0.4310681223869324,-0.15303567051887512
3,28057,14,5.25,8026,collided,1b4e0da1-e8b8-4342-8d4f-9d2a551e7fed,3,0.3351637125015259,0.48290887475013733,-0.14774516224861145
6,28058,13,5.25,10128,the black dot seem to be the one causing an issue in this case,27f4d7f8-d998-48b2-a3e4-f885f21c713d,6,0.10341373831033707,0.027929749339818954,0.07548398897051811
4,28059,80,5.25,8040,"The dots were a little towards the left side of the box and moved slightly in a upward motion before moving towards each other to make contact twice. This time they moved faster than previously. They did not move lighting fast, but they did not move slowly either.",8e0deaa9-1ac5-4e69-817a-3204f157f360,4,0.04322938248515129,-0.008814569562673569,0.05204395204782486
3,28060,19,5.25,8045,bounced off each other twice,35ae5b09-f580-4922-91bd-f22c23175a47,3,0.2541846036911011,0.2752717435359955,-0.02108713984489441
1,28061,19,5.25,8062,collided quickly and bounced off,35ae5b09-f580-4922-91bd-f22c23175a47,1,0.17543286085128784,0.23184171319007874,-0.056408852338790894
6,28062,27,5.25,8008,collisions,27f4d7f8-d998-48b2-a3e4-f885f21c713d,6,0.25414302945137024,0.39464882016181946,-0.14050579071044922
0,28063,16,5.25,9403,Bounced off each other,2d3d47a2-03c8-4642-84ec-a8f67c64868c,0,0.28413257002830505,0.32616397738456726,-0.04203140735626221
2,28064,17,5.25,8097,They clashed twice,0a4312a1-7156-4c68-9698-0f1495558bee,2,0.19621983170509338,0.394891619682312,-0.19867178797721863
4,28065,29,5.25,7990,this one is harded....but slower bouncing into one another,0a4312a1-7156-4c68-9698-0f1495558bee,4,0.1670905351638794,0.20292437076568604,-0.03583383560180664
