,subID,PSE_subt,range_subt,bias_subt,sigma_subt,PSE_pf,slope_pf,bias_pf,social_skill,attn_switch,img,attn_to_det,comm,posAffect,negAffect,neuroticism,extraversion,openness,agreeableness,conscientiousness,loneliness,nfriends
0,30002.0,0.5529509502277088,0.9008213238514855,0.3155037025430308,0.1033595669543934,0.4869459670131092,0.7842857132220876,0.5474613514221653,21.0,23.0,9.0,10.0,16.0,20.0,0.0,38.0,28.0,31.0,34.0,39.0,56.0,3.0
1,30004.0,0.2768959343552792,0.8058338247396377,0.9994581811203578,0.0768660452604529,0.127092856903579,0.4692857213297545,0.8297442798703303,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
2,30005.0,0.3205831949598149,0.7101310746171048,0.8617297901377517,0.1153528375683775,0.4983036472023455,0.8421428532569274,0.5090497732577942,17.0,29.0,21.0,16.0,16.0,20.0,21.0,51.0,39.0,40.0,43.0,19.0,41.0,5.0
3,30006.0,0.4648232418961557,0.9893963329571449,0.8895718055150366,0.0792208985984395,0.2602627293664379,0.7250000026906381,1.0,8.0,10.0,5.0,10.0,3.0,25.0,0.0,18.0,41.0,31.0,44.0,57.0,30.0,4.0
4,30008.0,0.3251177869162705,0.5822519257303093,0.6927098441068518,0.1725848032860475,0.3224085790625859,0.5110714376376323,0.6856342823828039,5.0,15.0,12.0,17.0,12.22222222222222,28.0,4.0,27.0,46.0,42.54545454545455,46.0,50.0,45.0,5.0
5,30009.0,0.4895738571064396,0.7210436151361144,0.6367060862812857,0.1270228616930065,0.4212422521730673,0.6179285746202062,0.6273758245768252,10.0,21.0,8.0,8.0,12.22222222222222,18.0,17.0,48.0,38.0,42.0,44.0,29.0,32.0,9.0
6,30010.0,0.419273206163381,0.6879831073440233,0.7419902917895216,0.1257778890022537,0.4475367920188171,0.74428571197142,0.6527001733286617,13.0,12.0,9.0,21.0,11.0,29.0,11.0,32.0,43.0,35.0,37.0,48.0,43.27777777777778,5.0
7,30011.0,0.3825255893456694,0.8783898394651879,0.9209316606391144,0.10446386522336,0.6206777367335601,0.6885714268862493,0.23318041904369594,21.0,14.0,17.0,18.0,9.0,15.0,1.0,31.0,21.0,42.0,38.0,53.0,31.0,2.0
8,30013.0,0.3186032318511019,0.5944617681977196,0.612884857421496,0.0873380843520618,0.6006366839362105,0.5796428622353549,0.361229106676142,12.0,11.0,9.0,12.0,8.0,33.0,4.0,31.0,48.0,35.0,44.0,54.0,36.0,5.0
9,30014.0,0.4070279594756171,0.9961781622749921,0.9290324979383473,0.0722054798282495,0.5060876173611683,0.987773624271956,0.008179038680336564,12.0,12.0,14.0,13.0,11.11111111111111,18.0,0.0,24.0,46.0,33.0,44.0,48.0,33.0,10.0
10,30016.0,0.3208284994058807,0.6012796486407941,0.6956206539728063,0.1815969181458739,0.5522161547362651,0.5882142840040663,0.42541196336217507,7.0,17.0,9.0,11.0,10.0,22.0,7.0,38.0,44.0,47.0,42.0,32.0,40.0,5.0
11,30017.0,0.5509971796197045,0.9984047915932448,0.1813533156770752,0.0676255222244547,0.3942479488520986,0.9996428582613625,1.0,24.0,18.0,10.0,5.0,19.0,0.0,33.0,57.0,13.0,28.0,33.0,32.0,79.0,1.0
12,30018.0,0.4776413697954618,0.9043676779366858,0.989079034620649,0.0749245367478057,0.5085197079174562,0.5589285748880441,0.48920377078710686,15.0,15.0,13.0,18.0,9.0,16.0,2.0,33.0,29.0,40.0,40.0,40.0,54.0,3.0
13,30019.0,0.1892402433161013,0.5746596427805636,0.9275628375039411,0.1208184481297142,0.7291396503504556,0.5507142807734972,0.21913089524257912,19.0,22.0,11.0,14.0,13.0,18.0,7.0,37.0,28.0,36.0,34.0,46.0,49.0,3.0
14,30020.0,0.5507682045615743,0.5772240210410715,0.37436532019237306,0.1073112422036759,0.3288389535343822,0.6357142803397099,0.7986927996451543,10.0,14.0,9.0,11.0,6.0,15.0,12.0,48.0,30.0,50.0,47.0,54.0,44.0,4.0
15,30022.0,0.3739323218934789,0.9999996187274249,0.9999530195994956,0.0253002324174249,0.4521428574301977,1.0,1.0,14.0,12.0,14.0,14.444444444444445,11.0,24.0,0.0,24.0,40.0,39.0,43.0,44.0,55.0,1.0
16,30024.0,0.5287288833768315,0.8478144146740476,0.4927465141378931,0.123031833431153,0.2538153941697216,0.4524285793426118,0.7034089933658244,8.0,10.0,10.0,23.0,3.0,20.0,3.0,24.0,48.0,46.0,49.0,51.0,40.0,10.0
17,30027.0,0.3221519475918983,0.7271915227556058,0.9408617866244591,0.1184814353677412,0.5994526106943783,0.8339274716327265,0.0006021465499630832,9.0,8.0,6.0,17.0,5.0,27.0,0.0,20.0,46.0,50.0,48.0,58.0,29.55555555555556,10.0
18,30028.0,0.3217713692582785,0.7823558999425396,0.9676042964388539,0.1312794311491271,0.3624631340514103,0.6457142881486733,0.7506720325415248,20.0,21.0,14.0,15.0,14.0,6.0,13.0,46.0,25.0,37.0,39.0,46.0,63.0,3.0
19,30029.0,0.3721002572179432,0.6069733372002268,0.8966351562018532,0.1372783050396306,0.3974938816472392,0.6317857116301611,0.6758810099864915,12.0,10.0,11.0,16.0,7.0,28.0,0.0,16.0,40.0,33.0,47.0,53.0,47.0,1.0
20,30030.0,0.0254055524082817,0.384819290289503,0.8051460470040442,0.13951988252471,0.3250049465295467,0.3616428595161273,0.599138409402395,18.0,19.0,11.0,18.0,11.0,17.0,12.0,41.0,35.0,40.0,37.0,46.0,54.0,0.0
21,30031.0,0.4192994275685456,0.8478366220217404,0.8901527724791991,0.0577273775732475,1.0,0.2849999996497556,0.2289377245876591,24.0,14.0,14.0,11.0,19.0,12.0,19.0,56.0,15.0,46.0,39.0,32.0,55.0,2.0
22,30032.0,0.1916047471999004,0.6712503733822811,0.9666475944691557,0.1101124902185247,0.4705059791410515,0.4682142917830889,0.5259682083871937,12.0,17.0,4.0,14.0,9.0,18.0,9.0,44.0,35.0,49.0,39.0,30.0,40.0,3.0
23,30033.0,0.3607900995327894,0.9978230755789911,0.9912794776482239,0.0587946851501435,0.376057880428632,0.8721428586707899,1.0,6.0,12.0,12.0,15.0,7.0,26.0,0.0,26.0,49.0,35.0,43.0,52.0,44.0,7.0
24,30034.0,0.2747529104659794,0.779638490958561,0.988514760796837,0.1169322464961165,0.3985853283303867,0.5385714264123169,0.6183694454714159,3.0,12.0,5.0,11.0,6.0,27.0,7.0,31.0,48.0,42.0,48.0,43.63636363636363,26.0,20.0
25,30035.0,0.4031246165952122,0.7633328515461618,0.9865917360153961,0.0979167451417732,0.2563946480842206,0.5864285741061732,0.8454231366682419,8.0,15.0,5.0,9.0,3.0,29.0,7.0,39.0,47.0,52.0,51.0,32.0,42.0,5.0
26,30036.0,0.4888857301111329,0.7760449418960953,0.6604816442864303,0.1108171147319654,0.4132877008940363,0.6782142874489502,0.6827598860278221,12.0,13.0,11.0,11.0,15.0,24.444444444444443,20.0,43.0,40.0,43.0,45.0,51.0,51.0,6.0
