,subID,subtlety,block_type,responses_subt_1,responses_pf,RT,accuracy,rating180,diff_from_180,social_skill,attn_switch,img,attn_to_det,comm,posAffect,negAffect,neuroticism,extraversion,openness,agreeableness,conscientiousness,loneliness,nfriends
25,30006,120.0,1.0,11.0,,3291.1666666666665,1.0,0.6666666666666666,10.333333333333334,8.0,10.0,5.0,10.0,3.0,25.0,0.0,18.0,41.0,31.0,44.0,57.0,30.0,4.0
26,30006,150.0,1.0,0.6666666666666666,,3504.5,0.6666666666666666,0.6666666666666666,0.0,8.0,10.0,5.0,10.0,3.0,25.0,0.0,18.0,41.0,31.0,44.0,57.0,30.0,4.0
27,30006,180.0,1.0,0.6666666666666666,,3606.0,0.5,0.6666666666666666,0.0,8.0,10.0,5.0,10.0,3.0,25.0,0.0,18.0,41.0,31.0,44.0,57.0,30.0,4.0
28,30008,0.0,1.0,84.83333333333333,,2570.8333333333335,1.0,22.5,62.33333333333333,5.0,15.0,12.0,17.0,12.22222222222222,28.0,4.0,27.0,46.0,42.54545454545455,46.0,50.0,45.0,5.0
29,30008,30.0,1.0,89.0,,2517.5,1.0,22.5,66.5,5.0,15.0,12.0,17.0,12.22222222222222,28.0,4.0,27.0,46.0,42.54545454545455,46.0,50.0,45.0,5.0
30,30008,60.0,1.0,64.66666666666667,,3370.5,1.0,22.5,42.16666666666667,5.0,15.0,12.0,17.0,12.22222222222222,28.0,4.0,27.0,46.0,42.54545454545455,46.0,50.0,45.0,5.0
31,30008,90.0,1.0,77.0,,3436.1666666666665,1.0,22.5,54.5,5.0,15.0,12.0,17.0,12.22222222222222,28.0,4.0,27.0,46.0,42.54545454545455,46.0,50.0,45.0,5.0
32,30008,120.0,1.0,48.0,,4621.333333333333,0.6666666666666666,22.5,25.5,5.0,15.0,12.0,17.0,12.22222222222222,28.0,4.0,27.0,46.0,42.54545454545455,46.0,50.0,45.0,5.0
33,30008,150.0,1.0,39.833333333333336,,4134.5,0.8333333333333334,22.5,17.333333333333336,5.0,15.0,12.0,17.0,12.22222222222222,28.0,4.0,27.0,46.0,42.54545454545455,46.0,50.0,45.0,5.0
34,30008,180.0,1.0,22.5,,3929.1666666666665,1.0,22.5,0.0,5.0,15.0,12.0,17.0,12.22222222222222,28.0,4.0,27.0,46.0,42.54545454545455,46.0,50.0,45.0,5.0
35,30009,0.0,1.0,91.5,,4073.5,0.8333333333333334,23.833333333333332,67.66666666666667,10.0,21.0,8.0,8.0,12.22222222222222,18.0,17.0,48.0,38.0,42.0,44.0,29.0,32.0,9.0
36,30009,30.0,1.0,91.5,,3296.5,0.8333333333333334,23.833333333333332,67.66666666666667,10.0,21.0,8.0,8.0,12.22222222222222,18.0,17.0,48.0,38.0,42.0,44.0,29.0,32.0,9.0
37,30009,60.0,1.0,71.83333333333333,,3086.1666666666665,0.8333333333333334,23.833333333333332,48.0,10.0,21.0,8.0,8.0,12.22222222222222,18.0,17.0,48.0,38.0,42.0,44.0,29.0,32.0,9.0
38,30009,90.0,1.0,48.833333333333336,,3384.0,0.6666666666666666,23.833333333333332,25.000000000000004,10.0,21.0,8.0,8.0,12.22222222222222,18.0,17.0,48.0,38.0,42.0,44.0,29.0,32.0,9.0
39,30009,120.0,1.0,35.666666666666664,,3466.1666666666665,0.5,23.833333333333332,11.833333333333332,10.0,21.0,8.0,8.0,12.22222222222222,18.0,17.0,48.0,38.0,42.0,44.0,29.0,32.0,9.0
40,30009,150.0,1.0,16.5,,2761.1666666666665,0.8333333333333334,23.833333333333332,-7.333333333333332,10.0,21.0,8.0,8.0,12.22222222222222,18.0,17.0,48.0,38.0,42.0,44.0,29.0,32.0,9.0
41,30009,180.0,1.0,23.833333333333332,,3515.1666666666665,0.8333333333333334,23.833333333333332,0.0,10.0,21.0,8.0,8.0,12.22222222222222,18.0,17.0,48.0,38.0,42.0,44.0,29.0,32.0,9.0
42,30010,0.0,1.0,93.0,,3655.1666666666665,1.0,21.5,71.5,13.0,12.0,9.0,21.0,11.0,29.0,11.0,32.0,43.0,35.0,37.0,48.0,43.27777777777778,5.0
43,30010,30.0,1.0,92.0,,4029.3333333333335,1.0,21.5,70.5,13.0,12.0,9.0,21.0,11.0,29.0,11.0,32.0,43.0,35.0,37.0,48.0,43.27777777777778,5.0
44,30010,60.0,1.0,84.83333333333333,,3497.8333333333335,1.0,21.5,63.33333333333333,13.0,12.0,9.0,21.0,11.0,29.0,11.0,32.0,43.0,35.0,37.0,48.0,43.27777777777778,5.0
45,30010,90.0,1.0,55.5,,3898.8333333333335,0.8333333333333334,21.5,34.0,13.0,12.0,9.0,21.0,11.0,29.0,11.0,32.0,43.0,35.0,37.0,48.0,43.27777777777778,5.0
46,30010,120.0,1.0,41.333333333333336,,3296.0,0.8333333333333334,21.5,19.833333333333336,13.0,12.0,9.0,21.0,11.0,29.0,11.0,32.0,43.0,35.0,37.0,48.0,43.27777777777778,5.0
47,30010,150.0,1.0,32.0,,3649.6666666666665,0.16666666666666666,21.5,10.5,13.0,12.0,9.0,21.0,11.0,29.0,11.0,32.0,43.0,35.0,37.0,48.0,43.27777777777778,5.0
48,30010,180.0,1.0,21.5,,3539.0,0.3333333333333333,21.5,0.0,13.0,12.0,9.0,21.0,11.0,29.0,11.0,32.0,43.0,35.0,37.0,48.0,43.27777777777778,5.0
49,30011,0.0,1.0,99.33333333333333,,2295.0,1.0,9.333333333333334,90.0,21.0,14.0,17.0,18.0,9.0,15.0,1.0,31.0,21.0,42.0,38.0,53.0,31.0,2.0
50,30011,30.0,1.0,94.5,,2123.1666666666665,1.0,9.333333333333334,85.16666666666667,21.0,14.0,17.0,18.0,9.0,15.0,1.0,31.0,21.0,42.0,38.0,53.0,31.0,2.0
51,30011,60.0,1.0,92.66666666666667,,2187.6666666666665,1.0,9.333333333333334,83.33333333333334,21.0,14.0,17.0,18.0,9.0,15.0,1.0,31.0,21.0,42.0,38.0,53.0,31.0,2.0
52,30011,90.0,1.0,73.16666666666667,,2509.6666666666665,1.0,9.333333333333334,63.833333333333336,21.0,14.0,17.0,18.0,9.0,15.0,1.0,31.0,21.0,42.0,38.0,53.0,31.0,2.0
53,30011,120.0,1.0,42.0,,2674.6666666666665,1.0,9.333333333333334,32.666666666666664,21.0,14.0,17.0,18.0,9.0,15.0,1.0,31.0,21.0,42.0,38.0,53.0,31.0,2.0
54,30011,150.0,1.0,15.166666666666666,,2896.0,0.6666666666666666,9.333333333333334,5.833333333333332,21.0,14.0,17.0,18.0,9.0,15.0,1.0,31.0,21.0,42.0,38.0,53.0,31.0,2.0
55,30011,180.0,1.0,9.333333333333334,,2714.5,0.5,9.333333333333334,0.0,21.0,14.0,17.0,18.0,9.0,15.0,1.0,31.0,21.0,42.0,38.0,53.0,31.0,2.0
