,subID,PSE_subt,range_subt,bias_subt,PSE_pf,range_pf,bias_pf,social_skill,comm,loneliness,posAffect
175,30224.0,0.171332283758714,0.5067838702206349,0.9456112744123593,0.6117913647116247,0.6491841030805433,0.5075005959658366,19.0,15.0,48.0,21.0
176,30228.0,0.4450784393804913,0.874329933991863,0.9071623818848022,0.3109058119254859,0.725388794602716,0.5919549534359083,4.0,5.0,51.0,24.0
177,30229.0,0.3850912527909874,0.8178203223181619,0.8985833976764307,0.4029297908570139,0.6597975917135678,0.751232720550332,26.0,24.0,57.0,23.0
178,30230.0,0.3045810574410247,0.49057859184998076,0.6782894944223326,0.3424687714472973,0.6644734227649152,0.8451328043668145,21.0,13.0,49.0,12.0
179,30231.0,0.2932911523720668,0.8990407944176875,0.9661244791997683,0.6640836573606029,0.7598866614195436,0.563582697680824,7.0,6.0,28.0,35.0
180,30232.0,0.3450210412378827,0.7306840003037798,0.7391646994999981,0.4055503531519741,0.5853626490038263,0.759997116993789,20.0,15.0,44.0,20.0
181,30234.0,0.4114142611078158,0.8905330383512025,0.9056716519710756,0.5990672935294271,0.7661867926329665,0.6059788648377525,15.0,4.0,60.0,28.0
182,30235.0,0.0,0.29724259811051235,0.8772097313316654,0.2771552349812616,0.5015911349390848,0.7608058627275184,26.0,24.0,70.0,21.0
183,30236.0,0.3711025861464228,0.5308248241080447,0.5823512290094897,0.4509167428641065,0.49091784963869833,0.6239299483653457,12.0,5.0,30.0,26.0
184,30237.0,0.4626231139934366,0.8849999989557127,0.7971014506852329,0.3272302816758686,0.7061193851429027,0.8439341866228981,15.0,13.0,41.0,20.0
185,30239.0,0.4893048931809891,0.8960196972570568,0.5355592791785436,0.4203750914773763,0.7093315633687354,0.7339565611065672,27.0,23.0,78.0,21.0
186,30240.0,0.4807103956876914,0.5711331865185444,0.5286982216382382,0.4485681427790404,0.3875229477987926,0.6171338642828607,7.0,5.0,35.0,28.88888888888889
187,30241.0,0.4604499367806729,0.9999998829635944,0.9400545125426568,0.6848366698403885,0.974652484646139,0.013757822903118578,10.0,16.0,43.0,20.0
188,30243.0,0.3492516785764396,0.3189861573360665,0.5734516912923762,0.5042882552990509,0.43698884539791516,0.6090100376257505,9.0,10.0,42.0,35.0
189,30244.0,0.3445591218280083,0.7741083979809781,0.9755312445503258,0.6784203453832293,0.8663448130157205,0.10210819666566255,21.0,17.0,46.0,28.0
190,30245.0,0.4565289237409428,0.6766656436073054,0.5309290652693153,0.3400670391579808,0.41674499353682126,0.6593790187310044,12.0,4.0,23.47058823529412,27.0
191,30246.0,0.0,0.5,1.0,0.8118814738439116,1.0,0.0,9.0,3.0,20.0,40.0
192,30248.0,0.4781647548871991,0.9438835909581144,0.8525052630838086,0.3244386173268812,0.7561319077091746,0.8705444354916521,14.0,12.0,50.0,7.0
193,30249.0,0.5283722239419313,0.6348518987885601,0.4187626750726756,0.0,0.02007040341125438,0.6863668137059921,27.0,21.0,44.0,11.0
194,30250.0,0.33674925183644,0.7484285980513814,0.6944770118511642,0.6230029939464404,0.4745199437727652,0.47854753609234024,8.0,4.0,36.0,21.0
195,30251.0,0.4081726118162143,0.44713759509495515,0.6046817559648454,0.4173818053415089,0.44455889723033426,0.6173002796751672,14.0,15.0,53.0,25.0
196,30252.0,0.363612705082257,0.6882763855954632,0.9999977302036799,0.3398696298379052,0.8623641080209354,0.9619621192388419,9.0,4.0,28.0,21.0
197,30254.0,0.4828802419872989,0.7449503137326987,0.9049239527000243,0.5694962889853781,0.6688751934480159,0.6299767761588762,7.0,14.0,43.0,24.0
198,30255.0,0.2118558694648354,0.6475278669990974,0.9290918202394658,0.650745433596636,0.6659232929300946,0.3373620633154034,22.0,8.0,44.0,18.0
199,30256.0,0.2701011431849431,0.7248142510171113,0.9692503491028412,0.7101288160038269,0.5249650358973719,0.49391193608276895,9.0,6.0,45.0,21.0
200,30257.0,0.4359953451673937,0.788940125983636,0.7522178357168506,0.4814475572745951,0.6702924715001888,0.6610789831125075,21.0,15.0,31.0,30.0
201,30259.0,0.3804680164265107,0.9427725875010152,0.9697666815708994,0.4371749812873863,0.6757298428220999,0.7070761265314738,11.0,9.0,42.0,23.0
202,30260.0,0.46526008686739,0.947052329526058,0.6159256886368444,0.4998579332065023,0.6443466013182257,0.7409042813250981,14.0,5.0,30.0,19.0
203,30262.0,0.3700168739633456,0.5003277141295948,0.7031243483913417,0.4336640774480572,0.4248763451683213,0.5926415612515402,8.0,6.0,30.0,14.0
204,30263.0,0.2774998903198334,0.6492515065794436,0.8836068711102987,0.5121281601480926,0.6347150277180984,0.6110300453944066,12.0,12.0,29.0,21.0
205,30264.0,0.4540234056691046,0.717782359311064,0.364174747711552,0.5342203137851715,0.2675080527734491,0.5239277304255116,23.0,18.0,42.0,21.0
206,30266.0,0.392699674608998,0.6115193852376645,0.7459198525206167,0.5109537745092835,0.4122079791670349,0.5546029692552443,12.0,11.0,40.0,25.0
207,30270.0,0.4487661052423647,0.8214917250444778,0.9119987100538179,0.5874166247875533,0.7653202526005608,0.3445311681798713,5.0,5.0,34.0,38.0
208,30273.0,0.0,0.34973007487746577,0.8143346827505165,0.3634718439692134,0.6725990895822997,0.5541176560241228,19.0,22.0,51.0,26.0
209,30274.0,0.3424723898337691,0.7640875758911142,0.9976203343378856,0.5889280662801822,0.6318190104365184,0.46176226113388397,14.0,8.0,25.0,20.0
210,30277.0,0.3926285385359185,0.5433223986399931,0.441619170554384,0.8587974350646699,0.4050736171930868,0.30643506092294626,15.0,9.0,39.05555555555556,21.0
211,30278.0,0.4616238237645589,0.44767965349147754,0.5571139837305457,0.417446259846024,0.48599308201289637,0.6026037021960722,12.0,16.0,42.0,35.0
212,30279.0,0.4050420297441115,0.6390684371401869,0.46425581616623235,0.343701020232435,0.37689043479704004,0.7045032717883428,21.0,14.0,64.0,3.0
213,30281.0,0.4249389860855201,0.7334362926639619,0.52925938335131,0.8288203260623827,0.38063942650247196,0.5973903020990037,17.0,17.0,56.0,19.0
214,30282.0,0.1454338489171609,0.33194398312475515,0.7255686629214255,0.7885408454356532,0.4924297745779507,0.4733030163873458,13.0,13.0,47.0,20.0
215,30284.0,0.4438098273881736,0.5609220402110171,0.5910640982182245,0.5795671585783492,0.48015168236101835,0.6058099670911588,12.0,8.0,51.0,23.0
