,subID,subtlety,block_type,responses_subt_1,responses_pf,RT,accuracy,rating180,diff_from_180,social_skill,attn_switch,img,attn_to_det,comm,posAffect,negAffect,neuroticism,extraversion,openness,agreeableness,conscientiousness,loneliness,nfriends
29,30008,30.0,1.0,86.5,,2497.0,1.0,23.5,63.0,5.0,15.0,12.0,17.0,12.22222222222222,28.0,4.0,27.0,46.0,42.54545454545455,46.0,50.0,45.0,5.0
30,30008,60.0,1.0,72.0,,3130.0,1.0,23.5,48.5,5.0,15.0,12.0,17.0,12.22222222222222,28.0,4.0,27.0,46.0,42.54545454545455,46.0,50.0,45.0,5.0
31,30008,90.0,1.0,80.0,,2618.5,1.0,23.5,56.5,5.0,15.0,12.0,17.0,12.22222222222222,28.0,4.0,27.0,46.0,42.54545454545455,46.0,50.0,45.0,5.0
32,30008,120.0,1.0,53.0,,4714.5,1.0,23.5,29.5,5.0,15.0,12.0,17.0,12.22222222222222,28.0,4.0,27.0,46.0,42.54545454545455,46.0,50.0,45.0,5.0
33,30008,150.0,1.0,33.0,,3591.0,1.0,23.5,9.5,5.0,15.0,12.0,17.0,12.22222222222222,28.0,4.0,27.0,46.0,42.54545454545455,46.0,50.0,45.0,5.0
34,30008,180.0,1.0,23.5,,3648.0,1.0,23.5,0.0,5.0,15.0,12.0,17.0,12.22222222222222,28.0,4.0,27.0,46.0,42.54545454545455,46.0,50.0,45.0,5.0
35,30009,0.0,1.0,94.5,,4143.0,1.0,16.0,78.5,10.0,21.0,8.0,8.0,12.22222222222222,18.0,17.0,48.0,38.0,42.0,44.0,29.0,32.0,9.0
36,30009,30.0,1.0,95.5,,3570.5,1.0,16.0,79.5,10.0,21.0,8.0,8.0,12.22222222222222,18.0,17.0,48.0,38.0,42.0,44.0,29.0,32.0,9.0
37,30009,60.0,1.0,87.0,,3073.0,1.0,16.0,71.0,10.0,21.0,8.0,8.0,12.22222222222222,18.0,17.0,48.0,38.0,42.0,44.0,29.0,32.0,9.0
38,30009,90.0,1.0,49.5,,3237.5,1.0,16.0,33.5,10.0,21.0,8.0,8.0,12.22222222222222,18.0,17.0,48.0,38.0,42.0,44.0,29.0,32.0,9.0
39,30009,120.0,1.0,14.5,,2990.0,0.5,16.0,-1.5,10.0,21.0,8.0,8.0,12.22222222222222,18.0,17.0,48.0,38.0,42.0,44.0,29.0,32.0,9.0
40,30009,150.0,1.0,6.0,,2780.0,1.0,16.0,-10.0,10.0,21.0,8.0,8.0,12.22222222222222,18.0,17.0,48.0,38.0,42.0,44.0,29.0,32.0,9.0
41,30009,180.0,1.0,16.0,,2734.0,1.0,16.0,0.0,10.0,21.0,8.0,8.0,12.22222222222222,18.0,17.0,48.0,38.0,42.0,44.0,29.0,32.0,9.0
42,30010,0.0,1.0,94.0,,3644.5,1.0,5.5,88.5,13.0,12.0,9.0,21.0,11.0,29.0,11.0,32.0,43.0,35.0,37.0,48.0,43.27777777777778,5.0
43,30010,30.0,1.0,95.5,,3299.0,1.0,5.5,90.0,13.0,12.0,9.0,21.0,11.0,29.0,11.0,32.0,43.0,35.0,37.0,48.0,43.27777777777778,5.0
44,30010,60.0,1.0,81.0,,3561.0,1.0,5.5,75.5,13.0,12.0,9.0,21.0,11.0,29.0,11.0,32.0,43.0,35.0,37.0,48.0,43.27777777777778,5.0
45,30010,90.0,1.0,62.0,,3566.0,1.0,5.5,56.5,13.0,12.0,9.0,21.0,11.0,29.0,11.0,32.0,43.0,35.0,37.0,48.0,43.27777777777778,5.0
46,30010,120.0,1.0,48.0,,3245.5,1.0,5.5,42.5,13.0,12.0,9.0,21.0,11.0,29.0,11.0,32.0,43.0,35.0,37.0,48.0,43.27777777777778,5.0
47,30010,150.0,1.0,35.5,,3373.0,0.0,5.5,30.0,13.0,12.0,9.0,21.0,11.0,29.0,11.0,32.0,43.0,35.0,37.0,48.0,43.27777777777778,5.0
48,30010,180.0,1.0,5.5,,3438.0,0.0,5.5,0.0,13.0,12.0,9.0,21.0,11.0,29.0,11.0,32.0,43.0,35.0,37.0,48.0,43.27777777777778,5.0
49,30011,0.0,1.0,100.0,,2283.0,1.0,8.0,92.0,21.0,14.0,17.0,18.0,9.0,15.0,1.0,31.0,21.0,42.0,38.0,53.0,31.0,2.0
50,30011,30.0,1.0,94.5,,1893.5,1.0,8.0,86.5,21.0,14.0,17.0,18.0,9.0,15.0,1.0,31.0,21.0,42.0,38.0,53.0,31.0,2.0
51,30011,60.0,1.0,93.5,,2060.0,1.0,8.0,85.5,21.0,14.0,17.0,18.0,9.0,15.0,1.0,31.0,21.0,42.0,38.0,53.0,31.0,2.0
52,30011,90.0,1.0,70.5,,2415.5,1.0,8.0,62.5,21.0,14.0,17.0,18.0,9.0,15.0,1.0,31.0,21.0,42.0,38.0,53.0,31.0,2.0
53,30011,120.0,1.0,49.0,,2367.0,1.0,8.0,41.0,21.0,14.0,17.0,18.0,9.0,15.0,1.0,31.0,21.0,42.0,38.0,53.0,31.0,2.0
54,30011,150.0,1.0,12.0,,2780.0,1.0,8.0,4.0,21.0,14.0,17.0,18.0,9.0,15.0,1.0,31.0,21.0,42.0,38.0,53.0,31.0,2.0
55,30011,180.0,1.0,8.0,,2540.0,0.5,8.0,0.0,21.0,14.0,17.0,18.0,9.0,15.0,1.0,31.0,21.0,42.0,38.0,53.0,31.0,2.0
56,30013,0.0,1.0,79.5,,3626.5,1.0,25.5,54.0,12.0,11.0,9.0,12.0,8.0,33.0,4.0,31.0,48.0,35.0,44.0,54.0,36.0,5.0
57,30013,30.0,1.0,83.5,,3651.5,1.0,25.5,58.0,12.0,11.0,9.0,12.0,8.0,33.0,4.0,31.0,48.0,35.0,44.0,54.0,36.0,5.0
58,30013,60.0,1.0,75.5,,3072.5,1.0,25.5,50.0,12.0,11.0,9.0,12.0,8.0,33.0,4.0,31.0,48.0,35.0,44.0,54.0,36.0,5.0
59,30013,90.0,1.0,78.0,,4411.5,1.0,25.5,52.5,12.0,11.0,9.0,12.0,8.0,33.0,4.0,31.0,48.0,35.0,44.0,54.0,36.0,5.0
60,30013,120.0,1.0,51.5,,4124.5,1.0,25.5,26.0,12.0,11.0,9.0,12.0,8.0,33.0,4.0,31.0,48.0,35.0,44.0,54.0,36.0,5.0
61,30013,150.0,1.0,29.0,,4088.0,1.0,25.5,3.5,12.0,11.0,9.0,12.0,8.0,33.0,4.0,31.0,48.0,35.0,44.0,54.0,36.0,5.0
62,30013,180.0,1.0,25.5,,4016.5,1.0,25.5,0.0,12.0,11.0,9.0,12.0,8.0,33.0,4.0,31.0,48.0,35.0,44.0,54.0,36.0,5.0
63,30014,0.0,1.0,100.0,,1925.0,1.0,0.0,100.0,12.0,12.0,14.0,13.0,11.11111111111111,18.0,0.0,24.0,46.0,33.0,44.0,48.0,33.0,10.0
64,30014,30.0,1.0,100.0,,2091.0,1.0,0.0,100.0,12.0,12.0,14.0,13.0,11.11111111111111,18.0,0.0,24.0,46.0,33.0,44.0,48.0,33.0,10.0
65,30014,60.0,1.0,100.0,,2025.5,1.0,0.0,100.0,12.0,12.0,14.0,13.0,11.11111111111111,18.0,0.0,24.0,46.0,33.0,44.0,48.0,33.0,10.0
66,30014,90.0,1.0,100.0,,2245.0,1.0,0.0,100.0,12.0,12.0,14.0,13.0,11.11111111111111,18.0,0.0,24.0,46.0,33.0,44.0,48.0,33.0,10.0
67,30014,120.0,1.0,0.0,,2409.5,1.0,0.0,0.0,12.0,12.0,14.0,13.0,11.11111111111111,18.0,0.0,24.0,46.0,33.0,44.0,48.0,33.0,10.0
68,30014,150.0,1.0,0.5,,2853.5,1.0,0.0,0.5,12.0,12.0,14.0,13.0,11.11111111111111,18.0,0.0,24.0,46.0,33.0,44.0,48.0,33.0,10.0
69,30014,180.0,1.0,0.0,,2612.0,0.5,0.0,0.0,12.0,12.0,14.0,13.0,11.11111111111111,18.0,0.0,24.0,46.0,33.0,44.0,48.0,33.0,10.0
70,30016,0.0,1.0,93.0,,3503.0,1.0,17.0,76.0,7.0,17.0,9.0,11.0,10.0,22.0,7.0,38.0,44.0,47.0,42.0,32.0,40.0,5.0
