,subID,block_type,subtlety,chargeSpeeds,responses_subt_1,responses_subt_2,pred_color,responses_pf,RT,movie,trial_num,stim_dur,subt_norm,chargeSpeed_norm,accuracy,responses_pf_rev,chargeSpeed_norm_rev,social_skill,attn_switch,img,attn_to_det,comm,posAffect,negAffect,neuroticism,extraversion,openness,agreeableness,conscientiousness,loneliness,nfriends
20,30002,1,180.0,,0.0,grey,grey,,1309.0,46975d67-ead1-4d29-93d2-9fbd40dad49d,48,5740,0.0,,1.0,,,21.0,23.0,9.0,10.0,16.0,20.0,0.0,38.0,28.0,31.0,34.0,39.0,56.0,3.0
21,30002,1,90.0,,17.0,black,black,,2044.0,68c0fec8-cf83-48bf-8079-a5f414fe7504,49,5671,0.5,,1.0,,,21.0,23.0,9.0,10.0,16.0,20.0,0.0,38.0,28.0,31.0,34.0,39.0,56.0,3.0
22,30002,1,150.0,,11.0,grey,grey,,2303.0,99fed5db-be9d-4d5f-8fef-1baaad5f1b70,50,5631,0.1666666666666666,,1.0,,,21.0,23.0,9.0,10.0,16.0,20.0,0.0,38.0,28.0,31.0,34.0,39.0,56.0,3.0
23,30002,1,120.0,,7.0,grey,grey,,2237.0,b7261f19-79df-4505-b935-0cb890ebda9c,51,5651,0.3333333333333333,,1.0,,,21.0,23.0,9.0,10.0,16.0,20.0,0.0,38.0,28.0,31.0,34.0,39.0,56.0,3.0
24,30002,1,0.0,,100.0,black,black,,1653.0,c188e383-94d7-475e-9da5-6d1f0a1184bb,52,5635,1.0,,1.0,,,21.0,23.0,9.0,10.0,16.0,20.0,0.0,38.0,28.0,31.0,34.0,39.0,56.0,3.0
25,30002,1,30.0,,100.0,black,black,,1455.0,a4bd654a-f8f1-44b4-907f-0114e1caa391,53,5637,0.8333333333333334,,1.0,,,21.0,23.0,9.0,10.0,16.0,20.0,0.0,38.0,28.0,31.0,34.0,39.0,56.0,3.0
26,30002,1,180.0,,6.0,grey,black,,1447.0,b70d0259-cb69-48f1-b026-46452cf6e70f,54,5718,0.0,,0.0,,,21.0,23.0,9.0,10.0,16.0,20.0,0.0,38.0,28.0,31.0,34.0,39.0,56.0,3.0
27,30002,1,60.0,,62.0,black,black,,2005.0,8d9b8961-4fb1-4413-b875-966e01b9963a,55,5657,0.6666666666666666,,1.0,,,21.0,23.0,9.0,10.0,16.0,20.0,0.0,38.0,28.0,31.0,34.0,39.0,56.0,3.0
28,30002,1,150.0,,0.0,black,grey,,2368.0,10a07293-2c74-4b8a-bbef-b0f436cde5fb,70,5617,0.1666666666666666,,0.0,,,21.0,23.0,9.0,10.0,16.0,20.0,0.0,38.0,28.0,31.0,34.0,39.0,56.0,3.0
29,30002,1,0.0,,100.0,grey,grey,,1439.0,75182d69-6502-4d35-9298-e331061c7829,71,5615,1.0,,1.0,,,21.0,23.0,9.0,10.0,16.0,20.0,0.0,38.0,28.0,31.0,34.0,39.0,56.0,3.0
30,30002,1,90.0,,2.0,black,black,,1575.0,22162d51-e2bc-4fd2-af29-7d21f36eca1d,72,5628,0.5,,1.0,,,21.0,23.0,9.0,10.0,16.0,20.0,0.0,38.0,28.0,31.0,34.0,39.0,56.0,3.0
31,30002,1,60.0,,64.0,black,black,,1909.0,35fbacfe-f7fd-45d5-9266-5f6631809d11,73,5654,0.6666666666666666,,1.0,,,21.0,23.0,9.0,10.0,16.0,20.0,0.0,38.0,28.0,31.0,34.0,39.0,56.0,3.0
32,30002,1,30.0,,100.0,grey,grey,,2502.0,31932267-3908-4599-ba56-ba5043757838,74,5617,0.8333333333333334,,1.0,,,21.0,23.0,9.0,10.0,16.0,20.0,0.0,38.0,28.0,31.0,34.0,39.0,56.0,3.0
33,30002,1,150.0,,0.0,grey,black,,2532.0,7e113c5d-92b4-4c01-9588-dae0fb76eb5f,75,5667,0.1666666666666666,,0.0,,,21.0,23.0,9.0,10.0,16.0,20.0,0.0,38.0,28.0,31.0,34.0,39.0,56.0,3.0
34,30002,1,0.0,,100.0,grey,grey,,1675.0,19c65966-3d88-4851-afe4-ae34c498748c,76,5627,1.0,,1.0,,,21.0,23.0,9.0,10.0,16.0,20.0,0.0,38.0,28.0,31.0,34.0,39.0,56.0,3.0
35,30002,1,150.0,,77.0,grey,grey,,1211.0,9c46112a-3307-42b7-8386-bdf38ba679af,77,5670,0.1666666666666666,,1.0,,,21.0,23.0,9.0,10.0,16.0,20.0,0.0,38.0,28.0,31.0,34.0,39.0,56.0,3.0
36,30002,1,30.0,,97.0,grey,grey,,1726.0,0a730462-ba50-4dbe-97c6-911f61a40346,78,5633,0.8333333333333334,,1.0,,,21.0,23.0,9.0,10.0,16.0,20.0,0.0,38.0,28.0,31.0,34.0,39.0,56.0,3.0
37,30002,1,180.0,,1.0,black,black,,1827.0,2d4bdbd9-d1de-4787-8cc8-a317b9d4c68d,79,5720,0.0,,1.0,,,21.0,23.0,9.0,10.0,16.0,20.0,0.0,38.0,28.0,31.0,34.0,39.0,56.0,3.0
38,30002,1,90.0,,78.0,black,black,,1595.0,16088d09-c11d-4b03-8c77-f92a33554c1e,80,5639,0.5,,1.0,,,21.0,23.0,9.0,10.0,16.0,20.0,0.0,38.0,28.0,31.0,34.0,39.0,56.0,3.0
39,30002,1,60.0,,74.0,black,grey,,1578.0,7b3797d6-d4cc-4819-b3ad-adfd144217e2,81,5610,0.6666666666666666,,0.0,,,21.0,23.0,9.0,10.0,16.0,20.0,0.0,38.0,28.0,31.0,34.0,39.0,56.0,3.0
40,30002,1,60.0,,74.0,grey,grey,,1568.0,8bb5c4ad-b420-47c6-8e6a-c74a127a30ce,82,5636,0.6666666666666666,,1.0,,,21.0,23.0,9.0,10.0,16.0,20.0,0.0,38.0,28.0,31.0,34.0,39.0,56.0,3.0
41,30002,1,120.0,,0.0,black,black,,2211.0,3d2cbd5f-05d3-4457-8c01-5b302d4c5de7,83,5629,0.3333333333333333,,1.0,,,21.0,23.0,9.0,10.0,16.0,20.0,0.0,38.0,28.0,31.0,34.0,39.0,56.0,3.0
42,30004,1,60.0,,100.0,black,black,,3308.0,249089b6-ef6d-4ddb-973d-6d7b9d53baf8,0,5648,0.6666666666666666,,1.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
43,30004,1,90.0,,94.0,black,black,,3635.0,68c0fec8-cf83-48bf-8079-a5f414fe7504,1,5671,0.5,,1.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
44,30004,1,0.0,,99.0,grey,grey,,3455.0,53613c0d-b07e-4b22-b6ec-56dda26edc8f,2,5628,1.0,,1.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
45,30004,1,60.0,,100.0,black,black,,3491.0,cca827ad-af9d-4cfd-ae71-7e028e3f8520,3,5619,0.6666666666666666,,1.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
46,30004,1,30.0,,100.0,black,black,,4028.0,cf5e29cd-eacd-4164-96d2-05de1fad88ba,4,5665,0.8333333333333334,,1.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
47,30004,1,180.0,,0.0,black,black,,5803.0,5dbc75c6-6973-4ae1-aaf0-d3b84feb4723,5,5716,0.0,,1.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
48,30004,1,180.0,,,missed,black,,10005.0,0ea53c63-8350-4a50-8dec-ccbbf0e401dc,6,5701,0.0,,,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
49,30004,1,150.0,,1.0,black,black,,3488.0,1247c2a3-9c1a-478d-ad2b-6640715d76a4,7,5656,0.1666666666666666,,1.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
50,30004,1,180.0,,68.0,grey,black,,3738.0,21ca5095-0a92-499b-9d26-d8a5f4a0841a,8,5727,0.0,,0.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
51,30004,1,180.0,,0.0,black,grey,,3574.0,46975d67-ead1-4d29-93d2-9fbd40dad49d,9,5728,0.0,,0.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
52,30004,1,30.0,,100.0,grey,grey,,2589.0,c6499c88-e947-4ab5-8cde-3013da4d084f,10,5693,0.8333333333333334,,1.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
53,30004,1,180.0,,2.0,grey,black,,3189.0,2d4bdbd9-d1de-4787-8cc8-a317b9d4c68d,11,5741,0.0,,0.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
54,30004,1,150.0,,71.0,grey,black,,3423.0,2a1ab94f-201b-4fa2-9947-1eab7365fb0f,12,5628,0.1666666666666666,,0.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
55,30004,1,0.0,,100.0,black,black,,3011.0,49e5ac90-6e7f-4243-9552-8c4c10545895,13,5637,1.0,,1.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
56,30004,1,0.0,,100.0,grey,grey,,3929.0,19c65966-3d88-4851-afe4-ae34c498748c,28,5665,1.0,,1.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
57,30004,1,150.0,,10.0,grey,grey,,3032.0,275adee0-f228-423e-816a-e5e70b874bf3,29,5637,0.1666666666666666,,1.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
58,30004,1,30.0,,100.0,grey,grey,,3034.0,9093ecfa-6a76-4110-b88c-dd9330281781,30,5668,0.8333333333333334,,1.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
59,30004,1,150.0,,0.0,black,black,,3518.0,4cd79935-2124-4c73-9bff-ce0554f08119,31,5667,0.1666666666666666,,1.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
60,30004,1,30.0,,100.0,black,black,,3559.0,0ea51ff3-f8ac-4d29-a981-0a167d74909c,32,5653,0.8333333333333334,,1.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
61,30004,1,60.0,,99.0,grey,grey,,2692.0,3273fde2-4b65-4cc7-b9b3-ef2604e8a514,33,5632,0.6666666666666666,,1.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
62,30004,1,0.0,,99.0,grey,grey,,3198.0,72e764e1-0b34-4efd-96db-5df7934b2395,34,5638,1.0,,1.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
63,30004,1,120.0,,83.0,grey,grey,,5290.0,5d69d5c8-83dd-43c4-be85-f1c2ff45960d,35,5704,0.3333333333333333,,1.0,,,21.0,20.0,9.0,15.0,15.0,25.0,11.0,38.0,26.181818181818183,50.0,50.0,46.0,56.0,3.0
