,subID,block_type,subtlety,chargeSpeeds,responses_subt_1,responses_subt_2,pred_color,responses_pf,RT,movie,trial_num,stim_dur,subt_norm,chargeSpeed_norm,accuracy,responses_pf_rev,chargeSpeed_norm_rev
0,30004,1,60.0,,100.0,black,black,,3308.0,249089b6-ef6d-4ddb-973d-6d7b9d53baf8,0,5648,0.6666666666666666,,1.0,,
1,30004,1,90.0,,94.0,black,black,,3635.0,68c0fec8-cf83-48bf-8079-a5f414fe7504,1,5671,0.5,,1.0,,
2,30004,1,0.0,,99.0,grey,grey,,3455.0,53613c0d-b07e-4b22-b6ec-56dda26edc8f,2,5628,1.0,,1.0,,
3,30004,1,60.0,,100.0,black,black,,3491.0,cca827ad-af9d-4cfd-ae71-7e028e3f8520,3,5619,0.6666666666666666,,1.0,,
4,30004,1,30.0,,100.0,black,black,,4028.0,cf5e29cd-eacd-4164-96d2-05de1fad88ba,4,5665,0.8333333333333334,,1.0,,
5,30004,1,180.0,,0.0,black,black,,5803.0,5dbc75c6-6973-4ae1-aaf0-d3b84feb4723,5,5716,0.0,,1.0,,
6,30004,1,180.0,,,missed,black,,10005.0,0ea53c63-8350-4a50-8dec-ccbbf0e401dc,6,5701,0.0,,,,
7,30004,1,150.0,,1.0,black,black,,3488.0,1247c2a3-9c1a-478d-ad2b-6640715d76a4,7,5656,0.16666666666666666,,1.0,,
8,30004,1,180.0,,68.0,grey,black,,3738.0,21ca5095-0a92-499b-9d26-d8a5f4a0841a,8,5727,0.0,,0.0,,
9,30004,1,180.0,,0.0,black,grey,,3574.0,46975d67-ead1-4d29-93d2-9fbd40dad49d,9,5728,0.0,,0.0,,
10,30004,1,30.0,,100.0,grey,grey,,2589.0,c6499c88-e947-4ab5-8cde-3013da4d084f,10,5693,0.8333333333333334,,1.0,,
11,30004,1,180.0,,2.0,grey,black,,3189.0,2d4bdbd9-d1de-4787-8cc8-a317b9d4c68d,11,5741,0.0,,0.0,,
12,30004,1,150.0,,71.0,grey,black,,3423.0,2a1ab94f-201b-4fa2-9947-1eab7365fb0f,12,5628,0.16666666666666666,,0.0,,
13,30004,1,0.0,,100.0,black,black,,3011.0,49e5ac90-6e7f-4243-9552-8c4c10545895,13,5637,1.0,,1.0,,
28,30004,1,0.0,,100.0,grey,grey,,3929.0,19c65966-3d88-4851-afe4-ae34c498748c,28,5665,1.0,,1.0,,
29,30004,1,150.0,,10.0,grey,grey,,3032.0,275adee0-f228-423e-816a-e5e70b874bf3,29,5637,0.16666666666666666,,1.0,,
30,30004,1,30.0,,100.0,grey,grey,,3034.0,9093ecfa-6a76-4110-b88c-dd9330281781,30,5668,0.8333333333333334,,1.0,,
31,30004,1,150.0,,0.0,black,black,,3518.0,4cd79935-2124-4c73-9bff-ce0554f08119,31,5667,0.16666666666666666,,1.0,,
32,30004,1,30.0,,100.0,black,black,,3559.0,0ea51ff3-f8ac-4d29-a981-0a167d74909c,32,5653,0.8333333333333334,,1.0,,
