,subID,stimset_rows,chargeSpeed,responses,movie,trial_num,neg_score,neu_score,pos_score,pos-neg,pos-neu,neg-neu,neu-neg
2,24058,96,1.5,talking and exploring the park,e5e05e73-9cd0-4990-8da2-4962e0a03e5d,2,0.008222190663218498,0.44690173864364624,0.544875979423523,0.5366537887603045,0.09797424077987671,-0.43867954798042774,0.43867954798042774
0,24075,46,1.5,playing together ,50919f52-6a9c-4824-b24f-2f1aebd58e1b,0,0.008245174773037434,0.8942495584487915,0.097505122423172,0.08925994765013456,-0.7967444360256195,-0.8860043836757541,0.8860043836757541
6,24017,31,1.5,"the dots were gently bumping into each other repeatedly, much gentler than before",95aaf072-b6be-4da4-9857-deaf20ab49f2,6,0.008893140591681004,0.25881990790367126,0.7322868704795837,0.7233937298879027,0.4734669625759125,-0.24992676731199026,0.24992676731199026
1,24026,3,1.5,The dots were coming together in a more friendly was,15dfbaca-4429-4c18-90f4-8d4804129e6f,1,0.011655103415250778,0.5663101077079773,0.4220348000526428,0.41037969663739204,-0.14427530765533447,-0.5546550042927265,0.5546550042927265
3,24083,7,1.5,Walking around before getting called to walk and meet in a centre point.,38ad4b16-44e2-4e52-8d02-b23eca73a48d,3,0.011682434938848019,0.9384866952896118,0.04983077198266983,0.03814833704382181,-0.888655923306942,-0.9268042603507638,0.9268042603507638
6,24005,27,1.5,moving NW and slowly meeting,8ed7c0fc-1490-4e35-a000-7f7357a0772a,6,0.012531520798802376,0.9178163409233093,0.06965217739343643,0.057120656594634056,-0.8481641635298729,-0.905284820124507,0.905284820124507
2,24046,15,1.5,Going to the movies,e838dadb-c02f-4273-ae93-210720dcd06c,2,0.013028422370553017,0.6286720037460327,0.3582996428012848,0.3452712204307318,-0.2703723609447479,-0.6156435813754797,0.6156435813754797
4,24015,9,1.5,greeting each other,7e595f18-f375-4ca5-b922-61b8d693804d,4,0.013126643374562263,0.7803070545196533,0.20656618475914001,0.19343954138457775,-0.5737408697605133,-0.7671804111450911,0.7671804111450911
2,24099,86,1.5,They are calmer this time. I would say they are playing together.,1f6c6525-a740-48c2-8dfc-9c4fb520c630,2,0.01343518402427435,0.44212856888771057,0.5444362759590149,0.5310010919347405,0.10230770707130432,-0.4286933848634362,0.4286933848634362
2,24049,73,1.5,coming together softly,95aaf072-b6be-4da4-9857-deaf20ab49f2,2,0.013476954773068428,0.31833890080451965,0.6681840419769287,0.6547070872038603,0.34984514117240906,-0.3048619460314512,0.3048619460314512
3,24061,89,1.5,Meeting and bouncing,50919f52-6a9c-4824-b24f-2f1aebd58e1b,3,0.014114752411842346,0.7406964898109436,0.24518881738185883,0.23107406497001648,-0.4955076724290848,-0.7265817373991013,0.7265817373991013
3,24035,19,1.5,moving in slow circles before slowly approaching each other,0e704828-9ccd-480e-8056-3a2a8158df0f,3,0.01507015060633421,0.9151055812835693,0.06982421875,0.05475406814366579,-0.8452813625335693,-0.9000354306772351,0.9000354306772351
4,24069,42,1.5,playing frisbee,8ed7c0fc-1490-4e35-a000-7f7357a0772a,4,0.01683385856449604,0.770026683807373,0.21313942968845367,0.19630557112395763,-0.5568872541189194,-0.753192825242877,0.753192825242877
1,24091,25,1.5,playing red rover,e838dadb-c02f-4273-ae93-210720dcd06c,1,0.017293723300099373,0.7464821338653564,0.2362239807844162,0.21893025748431683,-0.5102581530809402,-0.7291884105652571,0.7291884105652571
6,24010,11,1.5,all the dots came together slowly,e5e05e73-9cd0-4990-8da2-4962e0a03e5d,6,0.017579425126314163,0.6830561757087708,0.299364298582077,0.28178487345576286,-0.3836918771266937,-0.6654767505824566,0.6654767505824566
3,24034,94,1.5,Engaging in a playful dance,7e595f18-f375-4ca5-b922-61b8d693804d,3,0.018454063683748245,0.556796133518219,0.42474982142448425,0.406295757740736,-0.13204631209373474,-0.5383420698344707,0.5383420698344707
6,24093,10,1.5,They are peaceful ,29e7c94f-a6bf-4f1d-8ea1-46efbdb6a836,6,0.018938502296805382,0.32198816537857056,0.6590732932090759,0.6401347909122705,0.33708512783050537,-0.3030496630817652,0.3030496630817652
6,24023,57,1.5,The dots move randomly and then slowly collide or connect with each other.,31e1789e-459a-4f3d-bfdd-2f4c8c4e9f50,6,0.019641585648059845,0.9328726530075073,0.0474858395755291,0.027844253927469254,-0.8853868134319782,-0.9132310673594475,0.9132310673594475
0,24096,33,1.5,Interacting or bumping into each other,9d425f58-501f-43f3-955e-05126bd09bb5,0,0.0196454506367445,0.9261873364448547,0.05416722595691681,0.03452177532017231,-0.8720201104879379,-0.9065418858081102,0.9065418858081102
0,24057,12,1.5,They were playing a game together,1f6c6525-a740-48c2-8dfc-9c4fb520c630,0,0.019995354115962982,0.8907138705253601,0.08929069340229034,0.06929533928632736,-0.8014231771230698,-0.8707185164093971,0.8707185164093971
5,24076,36,1.5,interacting with each other by playing,1a8cf3c1-690b-449c-bb36-fd3b251837c1,5,0.020048633217811584,0.9275344610214233,0.052416928112506866,0.03236829489469528,-0.8751175329089165,-0.9074858278036118,0.9074858278036118
4,24048,67,1.5,high five,1a8cf3c1-690b-449c-bb36-fd3b251837c1,4,0.021024281159043312,0.38280966877937317,0.5961660146713257,0.5751417335122824,0.21335634589195251,-0.36178538762032986,0.36178538762032986
3,24021,50,1.5,running around and seeing each other,e5e05e73-9cd0-4990-8da2-4962e0a03e5d,3,0.02449692413210869,0.841794490814209,0.13370856642723083,0.10921164229512215,-0.7080859243869781,-0.8172975666821003,0.8172975666821003
